,3FGL,CLASS1-3FGL,3FGL-BSL,3FGL-1FGL,3FGL-2FGL
414,J0335.3-4459,bll,,J0335.5-4501,J0335.3-4501
415,J0336.1+7500,,,J0334.2+7501,J0336.0+7504
416,J0336.5+3210,fsrq,,,J0337.0+3200c
417,J0336.9-3622,fsrq,,,
418,J0336.9-1304,fsrq,,,
419,J0338.1-2443,bll,,,
420,J0338.5+1303,bcu,,,J0338.2+1306
421,J0339.2-1738,bcu,,J0339.1-1734,J0339.2-1734
422,J0339.5-0146,fsrq,,J0339.2-0143,J0339.4-0144
423,J0340.3+4130,PSR,,J0340.4+4130,J0340.4+4131
424,J0340.4+5302,,,J0341.5+5304,J0340.5+5307
425,J0340.4-2423,,,,J0340.7-2421
426,J0340.5-2119,bll,,,J0340.6-2113
427,J0342.2+3857,fsrq,,J0342.2+3859,J0342.4+3859
428,J0342.3+3148c,,,,J0341.8+3148c
429,J0342.6-3006,bcu,,,
430,J0342.8+1321,,,,
431,J0343.2-2534,fsrq,,J0343.4-2536,
432,J0343.3-6443,bcu,,,
433,J0343.3+3622,bcu,,,
434,J0345.1-2353,bll,,J0345.2-2355,J0345.2-2356
435,J0345.3+3236,,,,
436,J0348.1+4431,,,,
437,J0348.4+6039,,,,
438,J0348.6-2748,fsrq,,J0348.5-2751,J0348.6-2750
439,J0348.7-1606,bll,,,
440,J0349.2-1158,bll,,,
441,J0349.9-2102,fsrq,J0349.8-2102,J0349.9-2104,J0350.0-2104
442,J0351.0-2816,,,,
443,J0351.1+0128,ssrq,,,
444,J0351.4-3248,,,,
445,J0352.9+5655,bcu,,J0352.8+5658,J0353.2+5653
446,J0353.0-3622,bll,,,
447,J0353.0-6831,bll,,,
448,J0354.1+4643,bcu,,,
449,J0354.6+8011,bll,,J0354.6+8009,J0354.1+8010
450,J0356.3-6948,bcu,,,
451,J0357.1+2325,bcu,,,
452,J0357.1-4957,bll,,J0357.1-4949,J0357.0-4950
453,J0357.9+3206,PSR,J0357.5+3205,J0357.8+3205,J0357.8+3205
454,J0358.7+0633,bcu,,,
455,J0358.8+6002,fsrq,,,J0359.1+6003
456,J0359.3-2612,bll,,,
457,J0359.5+5413,,,J0359.5+5410,J0359.5+5410
458,J0359.7+7649,,,,
459,J0401.0-5359,,,,
460,J0401.4+2109,fsrq,,,
461,J0401.8-3144,fsrq,,J0401.3-3152,J0401.6-3153
462,J0402.1-2618,bll,,J0402.1-2618,J0402.0-2616
463,J0402.7+2616,,,,
464,J0403.7-2442,fsrq,,,
465,J0403.9-3604,FSRQ,,J0403.9-3603,J0403.9-3604
466,J0405.5-1307,fsrq,,J0405.6-1309,J0405.8-1309
467,J0407.1-3825,fsrq,J0407.6-3829,J0407.4-3827,J0407.3-3826
468,J0407.5+0740,bll,,J0407.5+0749,J0407.7+0740
469,J0409.4+3158,bcu,,,
470,J0409.8-0358,bll,,J0409.9-0357,J0409.8-0357
471,J0412.0+0229,,,,
472,J0413.6-5334,fsrq,J0412.9-5341,J0413.4-5334,J0413.5-5332
473,J0414.9-0840,,,,
474,J0415.7-4351,,,,J0416.0-4355
475,J0416.6-1850,fsrq,,J0416.5-1851,J0416.7-1849
476,J0416.8+0104,bll,,J0416.8+0107,J0416.8+0105
477,J0418.0-0251,bcu,,,
478,J0418.2+3412,,,,
479,J0418.5+3813c,rdg,,J0419.0+3811,
480,J0419.1+6636,,,,J0418.9+6636
481,J0420.4+1448,,,,
482,J0420.4-6013,,,,
483,J0420.6-3742,,,,J0420.9-3743
484,J0421.6+1950,,,,
485,J0422.1-0642,fsrq,,J0422.0-0647,J0422.1-0645
486,J0423.2-0119,FSRQ,J0423.1-0112,J0423.2-0118,J0423.2-0120
487,J0423.5+5442,,,,
488,J0423.8+4150,bll,,J0423.8+4148,J0423.8+4149
489,J0424.7+0035,bll,,J0424.8+0036,J0424.7+0034
490,J0425.0-5331,bll,,,J0424.3-5332
491,J0425.2+6319,bcu,,,
492,J0425.8+5600,,,,
493,J0426.3+3510,,,,
494,J0426.3+6827,bcu,,,
495,J0426.6+0459,bcu,,,J0426.6+0509c
496,J0426.7+5437,,,J0426.5+5437,J0426.7+5434
497,J0427.3-3900,bcu,,,
498,J0427.9-6704,,,,J0427.2-6705
499,J0428.6-3756,bll,J0428.7-3755,J0428.6-3756,J0428.6-3756
500,J0429.8+2843,bcu,,,
501,J0429.8+3611c,,,,
502,J0430.1-3103,,,,
503,J0430.2-2508,bll,,J0430.4-2509,J0430.4-2507
504,J0430.5+1655,bcu,,,
505,J0431.6+7403,bcu,,,
506,J0431.7+3503,,,,
507,J0432.5+0539,,,,
508,J0433.1+3228,bcu,,J0433.5+3230,J0433.7+3233
509,J0433.6+2905,bll,,J0433.5+2905,J0433.5+2905
510,J0433.7-6028,bcu,,,J0433.4-6029
511,J0434.0-5726,bcu,,,J0433.9-5726
512,J0434.0-2010,bll,,J0434.1-2018,J0434.1-2014
513,J0434.3-1411c,,,,
514,J0434.4-2341,bcu,,,J0435.1-2341
515,J0434.6+0921,bcu,,,
516,J0437.2-4713,PSR,,J0437.2-4715,J0437.3-4712
517,J0437.7-7330,,,,J0438.0-7331
518,J0438.3-1258,fsrq,,J0438.8-1250,J0439.0-1252
519,J0438.8-4519,bll,,,J0438.8-4521
520,J0439.6-3159,bcu,,,
521,J0439.9-1859,bcu,,J0439.8-1857,J0439.8-1858
522,J0440.3-2500,bll,,,
523,J0440.3+1444,bcu,,,J0440.4+1433
524,J0440.8+2751,bll,,J0440.6+2748,J0440.9+2749
525,J0442.6-0017,fsrq,,J0442.7-0019,J0442.7-0017
526,J0444.5+3425,bcu,,,
527,J0444.6-6012,fsrq,,J0445.2-6008,
528,J0447.1-2540,,,,
529,J0447.8-2119,fsrq,,,J0448.6-2118
530,J0448.6-1632,bll,,J0448.5-1633,J0448.5-1633
531,J0449.0+1121,fsrq,,J0448.6+1118,J0448.9+1121
532,J0449.4-4350,bll,J0449.7-4348,J0449.5-4350,J0449.4-4350
533,J0451.6+7231,,,,
534,J0451.7+5722,,,,
535,J0453.2-2808,fsrq,,J0453.2-2805,J0453.1-2807
536,J0453.2+6321,bcu,,,
537,J0454.6-6825,pwn,,,
538,J0455.7-4617,fsrq,,J0455.6-4618,J0456.1-4613
539,J0456.2-6924,,,,J0455.8-6920
540,J0456.3+2702,bcu,,,J0456.5+2658
541,J0456.3-3131,fsrq,,J0456.4-3132,J0456.5-3132
542,J0457.0-2324,FSRQ,J0457.1-2325,J0457.0-2325,J0457.0-2325
543,J0457.0+0643,fsrq,,J0457.9+0649,
544,J0500.3+5237,spp,,J0500.1+5237,
545,J0501.2-0157,fsrq,,J0501.0-0200,J0501.2-0155
546,J0501.8+3046,bcu,,,
547,J0502.5+0612,fsrq,,,J0502.5+0607
548,J0502.6+1759,,,,
549,J0502.7+3438,bcu,,,
550,J0503.4+4522,bcu,,J0503.2+4526,J0503.3+4517
551,J0503.5+6538,bll,,,
552,J0505.3+0459,fsrq,,,J0505.5+0501
553,J0505.3-0422,fsrq,,J0505.8-0416,J0505.8-0411
554,J0505.5+0416,bll,,J0505.2+0420,J0505.4+0419
555,J0505.5-1558,bcu,,,
556,J0505.9+6114,bll,,,J0505.9+6116
557,J0506.3-0357,,,J0505.8-0416,
558,J0506.9+0321,,,,
559,J0506.9-5435,bcu,,J0506.9-5435,J0506.7-5435
560,J0507.1-6102,fsrq,,J0507.3-6103,J0507.5-6102
561,J0507.5-0906,,,,J0506.5-0901
562,J0508.0+6736,bll,J0507.9+6739,J0507.9+6738,J0508.0+6737
563,J0508.2-1936,bcu,,,J0508.1-1936
564,J0509.3+1012,fsrq,,J0509.2+1015,J0509.2+1013
565,J0509.4+0541,bll,,J0509.3+0540,J0509.4+0542
566,J0509.7-0400,bll,,,
567,J0509.7-6418,bcu,,,
568,J0510.0+1802,fsrq,,J0510.0+1800,J0509.9+1802
569,J0512.0-3737,,,,
570,J0512.2+2918,bcu,,,
571,J0512.9+4038,bcu,,,J0512.9+4040
572,J0514.4+5603,fsrq,,,
573,J0514.6-4406,,,J0515.6-4404,J0515.0-4411
574,J0515.3-4557,fsrq,,,J0516.5-4601
575,J0515.5-0123,bcu,,,
576,J0515.8+1526,bll,,J0515.9+1528,J0515.9+1528
577,J0516.3+7351,bll,,J0515.2+7355,J0515.5+7355
578,J0516.6+1012,,,,
579,J0516.7-6207,bll,J0516.2-6200,J0516.7-6207,J0516.8-6207
580,J0517.1+2628c,,,,J0516.7+2634
581,J0517.4+4540,fsrq,,,J0517.0+4532
582,J0517.5+0902,fsrq,,J0517.6+0857,J0517.5+0900
583,J0519.2-4542,rdg,,,
584,J0519.3+2746,bcu,,,
585,J0519.5+0852,bcu,,,
586,J0521.4-1740,fsrq,,,J0521.4-1736
587,J0521.7+0103,bcu,,J0521.6+0103,J0521.9+0108
588,J0521.7+2113,bll,,J0521.7+2114,J0521.7+2113
589,J0521.9-3847,bcu,,,
590,J0522.9-3628,BCU,,J0522.8-3632,J0523.0-3628
591,J0523.3-2528,,,J0523.5-2529,J0523.3-2530
592,J0523.7+3328,,,,
593,J0524.4+2839,,,J0524.1+2842,J0524.1+2843
594,J0524.5-6937,,,,
595,J0525.2-6614,,,,
596,J0525.3-4558,fsrq,,,
597,J0525.6-6013,bcu,,,J0525.5-6011
598,J0525.8-2014,bcu,,,
599,J0526.0+4253,bcu,,,J0526.6+4308
600,J0526.2-4829,fsrq,,J0526.3-4829,J0526.1-4829
601,J0526.4+2247,,,,J0526.6+2248
602,J0526.6-6825e,GAL,J0538.4-6856,J0538.9-6914,J0526.6-6825e
603,J0526.6+6321,bcu,,,J0526.8+6326
604,J0527.3+6647,,,J0527.6+6646,
605,J0528.3+1815,bcu,,,
606,J0529.1+0933,bcu,,,J0529.2+0935
607,J0529.2-5917,bll,,,
608,J0529.2+3822,,,,J0529.3+3821
609,J0529.8-7242,bcu,,,
610,J0530.8+1330,FSRQ,J0531.0+1331,J0531.0+1331,J0530.8+1333
611,J0532.0-4827,BCU,,,J0532.0-4826
612,J0532.7+0732,FSRQ,,J0532.9+0733,J0532.7+0733
613,J0533.0-3939,bcu,,,
614,J0533.2+4822,fsrq,,J0533.0+4825,J0533.0+4823
615,J0533.2+5944,,,,
616,J0533.6-8323,fsrq,,J0533.0-8324,J0531.8-8324
617,J0533.8-3754,,,,
618,J0534.0+6759,PSR,,J0533.9+6758,J0533.9+6759
619,J0534.5+2201i,PWN,J0534.6+2201,,J0534.5+2201
620,J0534.5+2201s,PWN,J0534.6+2201,,J0534.5+2201
621,J0534.5+2201,PSR,J0534.6+2201,J0534.5+2200,J0534.5+2201
622,J0535.3-6559,,,,
623,J0535.6-2749,bcu,,,
624,J0535.7-0617c,,,,
625,J0536.4-3347,,,J0536.2-3348,J0536.2-3348
626,J0537.0-7113,,,,
627,J0537.0+0957,,,,
628,J0537.4+3604c,,,,
629,J0537.4-5717,bll,,J0537.7-5717,J0537.7-5716
630,J0538.4-3909,bcu,,J0538.4-3910,J0538.5-3909
631,J0538.8-4405,BLL,J0538.8-4403,J0538.8-4404,J0538.8-4405
632,J0538.8-0341,,,,
633,J0538.9+1646,,,,
634,J0539.2-0536,,,J0540.9-0547,J0538.5-0534c
635,J0539.8+1434,fsrq,,,
636,J0539.9-7553,,,,J0540.1-7554
637,J0540.0+1208,,,,
638,J0540.0-2837,fsrq,,J0539.1-2847,J0539.3-2841
639,J0540.3+2756e,SNR,,J0538.6+2717,J0538.1+2718
640,J0540.4+5823,bll,,,J0540.4+5822
641,J0540.5-5416,fsrq,,,J0540.4-5415
642,J0540.8+3503c,,,,
643,J0541.1+3553,,,J0541.1+3542c,J0540.3+3549c
644,J0542.2-8737,bcu,,,
645,J0542.5-0907c,bcu,,,
646,J0543.9-5531,bll,,J0543.8-5531,J0543.9-5532
647,J0544.7+2239,,,,
648,J0545.6+6019,,,J0545.6+6022,J0545.6+6018
649,J0546.4+0031c,,,J0547.0+0020c,J0547.1+0020c
650,J0550.3-4521,,,,
651,J0550.6-3217,bll,,,
652,J0553.5-2036,bcu,,,
653,J0554.1+3104,PSR,,J0553.9+3105,J0553.9+3104
654,J0556.0-4353,bll,,,J0555.9-4348
655,J0556.2+3933,,,,
656,J0557.7-0720,,,,
657,J0558.1-3838,bll,,J0557.6-3831,J0558.2-3837
658,J0558.6-7459,bll,,J0559.2-7500,J0558.7-7501
659,J0559.8+3042,,,,
660,J0600.4-1934,,,,J0600.8-1949
661,J0600.9-3943,fsrq,,,
662,J0601.0+3837,bll,,J0600.9+3838,J0600.9+3839
663,J0601.2-7036,fsrq,,J0600.7-7037,J0601.1-7037
664,J0601.5+2309,,,,
665,J0602.2+5314,bcu,,,J0602.3+5315
666,J0602.8-4016,bcu,,J0603.0-4012,J0602.7-4011
667,J0603.3+2042,,,,
668,J0603.8+2155,bcu,,,
669,J0604.1-4817,bll,,J0604.2-4817,J0604.2-4817
670,J0604.7-4849,bcu,,,
671,J0605.0+3756,PSR,,J0605.3+3800,J0605.3+3758
672,J0605.0-0000,,,J0605.1+0005,J0605.0+0001
673,J0605.9+2039c,,,,
674,J0606.4-4729,bcu,,,
675,J0607.4+4739,bll,,J0607.2+4739,J0607.4+4739
676,J0608.0-0835,fsrq,,J0608.2-0837,J0608.0-0836
677,J0608.1-1522,fsrq,,J0608.0-1521,J0608.0-1521
678,J0608.2-2306,,,,
679,J0608.6+5328,,,,
680,J0609.2+2051c,,,,
681,J0609.3+2131,psr,,,
682,J0609.4-0248,bll,,J0609.3-0244,J0609.4-0248
683,J0609.6-2851,,,,
684,J0609.7-1841,,,,J0609.6-1847
685,J0610.2-2059,PSR,,J0610.7-2059,J0610.3-2059
686,J0610.6+1728,spp,,,
687,J0611.1-6100,fsrq,,,J0611.8-6059
688,J0611.2+4323,bcu,,,J0611.0+4321
689,J0611.5+1957,,,,
690,J0611.7+2759,bcu,,,
691,J0612.8+4122,bll,,J0612.7+4120,J0612.8+4122
692,J0613.8-0201,PSR,J0613.9-0202,J0613.7-0200,J0613.8-0200
693,J0614.1-3329,PSR,J0614.3-3330,J0614.1-3328,J0614.1-3329
694,J0615.4-3116,bll,,,
695,J0617.2+5701,bll,,J0616.9+5701,J0616.9+5701
696,J0617.2+2234e,SNR,J0617.4+2234,J0617.2+2233,J0617.2+2234e
697,J0617.6-1717,bll,,J0617.7-1718,J0617.6-1716
698,J0618.0+7819,fsrq,,,
699,J0618.2-2429,bcu,,,
700,J0618.9-1138,bcu,,,
701,J0619.4+2242,,,,
702,J0620.4+2644,bcu,,,
703,J0621.0+2514,PSR,,J0621.5+2508,J0621.2+2508
704,J0622.2+3747,PSR,,J0622.2+3751,J0621.9+3750
705,J0622.4-2606,bll,,J0622.3-2604,
706,J0622.9+3326,BCU,,,J0622.9+3326
707,J0623.1-4143,,,,
708,J0623.3+3043,bcu,,,
709,J0625.2+4440,bll,,J0625.4+4440,J0625.2+4441
710,J0626.0-5436,fsrq,,J0625.9-5430,
711,J0626.6-4259,bcu,,J0626.6-4254,J0626.8-4258
712,J0626.8+1743,,,,
713,J0627.0-3529,rdg,,J0627.3-3530,J0627.1-3528
714,J0627.9-1517,bcu,,,
715,J0628.4+2429,,,,
716,J0629.0-6248,bll,,,J0628.9-6246
717,J0629.4-1959,bll,,J0629.6-2000,J0629.3-2001
718,J0630.2-0929c,,,,
719,J0630.3+6906,bcu,,,
720,J0630.9-2406,bll,,J0630.9-2406,J0630.9-2406
721,J0631.2+2019,bcu,,,
722,J0631.5+1036,PSR,J0631.8+1034,J0631.4+1037,J0631.5+1035
723,J0631.6+0644,spp,,,J0631.6+0640
724,J0633.7+0632,PSR,J0633.5+0634,J0633.7+0632,J0633.7+0633
725,J0633.9+1746,PSR,J0634.0+1745,J0633.9+1746,J0633.9+1746
726,J0634.1+0424,,,,
727,J0634.7-2334,fsrq,,,J0635.0-2334
728,J0635.7-7517,fsrq,,J0636.1-7521,J0635.5-7516
729,J0636.7+7115,,,,
730,J0637.5+0418,,,,J0637.0+0416c
731,J0638.4+5704,,,,
732,J0638.6+7324,fsrq,,J0639.9+7325,
733,J0639.9+3250,,,,
734,J0640.0-1252,bcu,,,
735,J0640.9+0752,spp,,,
736,J0641.1+1004,,,,J0641.1+1006c
737,J0641.8-0319,bcu,,,
738,J0643.2+0859,fsrq,J0643.2+0858,J0643.2+0859,J0643.2+0858
739,J0643.4-5358,bcu,,,
740,J0644.3-6713,bcu,,,J0644.2-6713
741,J0644.6+6035,,,J0645.5+6033,J0644.6+6034
742,J0644.6-2853,bcu,,,
743,J0645.9-3914,fsrq,,,
744,J0646.4-5452,bcu,,,
745,J0647.0-5134,bcu,,,J0647.7-5132
746,J0647.1-4415,bcu,,,
747,J0647.6-6058,bcu,,J0648.6-6052,J0647.8-6102
748,J0647.6+0032,,,J0647.3+0031,J0647.7+0032
749,J0647.8+1751,,,,
750,J0648.1+1606,bcu,,,
751,J0648.1-3045,fsrq,,,
752,J0648.8+1516,bll,,J0648.8+1516,J0648.9+1516
753,J0648.8-1740,fsrq,,J0648.7-1740,J0648.7-1739
754,J0649.6-3138,bcu,,,J0649.7-3138
755,J0650.4-1636,bcu,,J0650.6-1635,J0650.4-1632
756,J0650.5+2055,bcu,,,
757,J0650.7+2503,bll,,J0650.7+2503,J0650.7+2505
758,J0650.9+6524,,,,
759,J0651.3+4014,bcu,,,
760,J0652.0-4808,bcu,,,
761,J0653.6+2817,bcu,,,J0653.7+2818
762,J0654.4+4514,FSRQ,J0654.3+4513,J0654.3+4514,J0654.2+4514
763,J0654.4+5042,fsrq,J0654.3+5042,J0654.4+5042,J0654.5+5043
764,J0654.5+0926,bcu,,,
765,J0656.2-0323,fsrq,,J0656.2-0321,J0656.2-0320
766,J0656.4+4232,bll,,,
767,J0657.6-4701,,,,
768,J0658.3-5832,bcu,,,
769,J0658.6+0636,bcu,,J0658.5+0641,J0658.4+0633
770,J0658.8+2318,,,,
771,J0659.2-0439c,,,,
772,J0659.5+1414,PSR,,J0659.8+1414,J0659.7+1417
773,J0700.0+1709,bcu,,,J0700.3+1710
774,J0700.2+1304,bcu,,J0659.9+1303,
775,J0700.3-6310,bcu,,,
776,J0700.6-6610,bll,J0700.0-6611,J0700.4-6611,J0700.3-6611
777,J0700.6+3557,,,,
778,J0701.4-4634,fsrq,,J0702.0-4628,J0701.7-4630
779,J0702.7-1952,bll,,J0702.2-1954,J0702.7-1951
780,J0703.4-3914,bcu,,,J0703.1-3912
781,J0704.1-1043,,,,J0705.3-1043c
782,J0704.3-4828,,,,
783,J0705.7-0006,,,,
784,J0706.1-4849,bcu,,J0706.3-4849,J0706.7-4845
785,J0706.5+3744,bll,,J0706.5+3744,J0706.5+3744
786,J0707.0+7741,bll,,J0707.3+7742,J0706.5+7741
787,J0707.2+6101,bll,,,
788,J0707.5-3111,,,,
789,J0707.7-1035c,,,,
790,J0708.7+1747,,,,
791,J0708.9+2239,bcu,,,J0709.0+2236
792,J0709.7-0256,bll,,,J0709.3-0256
793,J0710.3+5908,bll,,J0710.6+5911,J0710.5+5908
794,J0710.5+4732,bll,,J0711.4+4731,J0710.8+4733
795,J0711.1-1037,,,,
796,J0712.2-3806,,,,
797,J0712.2-6436,bcu,,,
798,J0712.6+5033,bll,J0712.9+5034,J0712.7+5033,J0712.9+5032
799,J0713.9+1933,fsrq,J0714.2+1934,J0714.0+1935,J0714.0+1933
800,J0714.7-3924,,,,
801,J0716.0-4525,,,,
802,J0718.7-4319,bll,,J0718.7-4320,J0718.7-4320
803,J0718.9-5004,,,J0718.8-4958,J0719.2-5000
804,J0719.3+3307,fsrq,J0719.4+3302,J0719.3+3306,J0719.3+3306
805,J0720.0-4010,bcu,,,
806,J0721.4+0404,fsrq,,J0721.4+0401,J0721.5+0404c
807,J0721.5-0221,,,,J0721.2-0223
808,J0721.9+7120,BLL,J0722.0+7120,J0721.9+7120,J0721.9+7120
809,J0722.2-2648,,,,
810,J0723.2-0728,bcu,,,
811,J0723.7+2050,bcu,,,
812,J0724.1+2857,fsrq,,J0723.6+2908,J0723.9+2901
813,J0725.2+1425,FSRQ,,J0725.3+1431,J0725.3+1426
814,J0725.4-5007,,,,
815,J0725.7-0550,,,,J0725.8-0549
816,J0725.8-3532,,,,
817,J0725.8+0212,,,,
818,J0725.8-0054,bcu,,J0725.9-0053,J0726.0-0053
819,J0726.6-4727,fsrq,,,J0727.0-4726
820,J0728.0+4828,bcu,,,
821,J0729.5-3127,bcu,,,
822,J0729.7-1448,PSR,,,
823,J0730.2-1141,fsrq,J0730.4-1142,J0730.3-1141,J0730.2-1141
824,J0730.3+6720,fsrq,,,
825,J0730.5+3307,bll,,,J0729.9+3304
826,J0730.5-0537,bcu,,,
827,J0730.5-6606,bcu,,,J0730.6-6607
828,J0731.7-1914c,,,J0731.2-1910c,
829,J0731.8-3010,,,,
830,J0732.2-4638,bcu,,,
831,J0733.3+5904,,,,
832,J0733.5+5153,bcu,,,
833,J0733.8+5021,fsrq,,,J0733.9+5023
834,J0733.8+4108,bll,,,
835,J0734.3-7709,bcu,,J0734.1-7715,J0734.2-7706
836,J0734.7-1558,PSR,,J0734.7-1557,J0734.6-1558
837,J0737.2-3233,,,J0737.4-3239,J0737.1-3235
838,J0737.8-8245,,,,J0737.5-8246
839,J0738.1+1741,bll,J0738.2+1738,J0738.2+1741,J0738.0+1742
840,J0739.4+0137,fsrq,,J0739.1+0138,J0739.2+0138
841,J0739.8+1312,,,,
842,J0740.6-5230,,,,
843,J0740.8+6621,PSR,,,
844,J0742.4-8133c,bcu,,,
845,J0742.6+5444,fsrq,,J0742.2+5443,J0742.6+5442
846,J0742.6-5623,fsrq,,,
847,J0742.7-2824,PSR,,J0742.8-2822,J0742.4-2821
848,J0742.7-3110,,,J0743.0-3110,J0742.7-3113
849,J0744.1-3804,bcu,,,
850,J0744.1-2523,,,J0744.1-2523,J0744.1-2523
851,J0744.3+1715,,,,
852,J0744.3+7434,bll,,J0745.2+7438,J0745.0+7436
853,J0744.8-4028,bcu,,,
854,J0746.4+2540,fsrq,,J0746.6+2548,J0746.6+2549
855,J0746.4-0225,,,,J0746.0-0222
856,J0746.6-0706,bcu,,J0746.5-0711,J0746.5-0713
857,J0746.6-4756,bcu,,,J0746.5-4758
858,J0746.9+8511,bcu,,,J0745.9+8512
859,J0747.2-3311,bcu,,,J0747.5-3305
860,J0747.4-0734,,,,
861,J0747.4+0904,bll,,,
862,J0747.5-4927,,,,
863,J0748.0-1639,bcu,,,J0747.2-1654
864,J0748.3+2401,fsrq,,,
865,J0748.5+7910,bcu,,,J0745.5+7910
866,J0748.7-5116,,,,
867,J0748.8-2208,,,,J0748.5-2204
868,J0748.8+4929,bcu,,,
869,J0749.0+4459,,,,J0747.7+4501
870,J0749.4+1059,bcu,,,
871,J0749.5+1320,,,,
872,J0750.6+1232,fsrq,,J0750.6+1235,J0750.6+1230
873,J0751.2+1806,PSR,,J0751.1+1807,J0751.1+1809
874,J0751.7-2944,,,,
875,J0752.6-1629,,,,J0753.2-1634
876,J0753.1+5353,bll,,J0752.8+5353,J0753.0+5352
877,J0754.4-1148,bll,,J0754.4-1147,J0754.4-1147
878,J0754.8+4824,bll,,,J0754.8+4824
879,J0755.2-2633,,,,
880,J0756.3-6433,bcu,,,J0756.3-6433
881,J0757.0+0956,bll,,J0757.2+0956,J0757.1+0957
882,J0757.5-0536,,,,
883,J0758.1+1130,fsrq,,,
884,J0758.6-1451,,,J0758.6-1450,J0758.8-1448
885,J0758.7+3747,rdg,,,
886,J0758.9+2705,bll,,,
887,J0800.6-4806,,,,
888,J0800.9+4401,bll,,J0800.5+4407,J0801.5+4401
889,J0802.0+1005,bll,,,
890,J0802.3-5610,,,J0802.4-5622,J0802.7-5615
891,J0802.3-0941,,,,J0802.6-0940
892,J0803.3-0339,bcu,,J0803.1-0339,J0803.2-0339
893,J0804.0-3629,bcu,,,
894,J0804.4+0418,bcu,,,
895,J0805.0-0622,bcu,,,
896,J0805.2-0112,fsrq,,,J0805.2-0121
897,J0805.4+7534,bll,,J0804.7+7534,J0805.3+7535
898,J0805.4+6144,fsrq,,J0806.2+6148,J0805.5+6145
899,J0806.6+5933,bll,,,
900,J0807.1-0541,bll,,J0807.0-0544,J0807.1-0543
901,J0807.1+7744,bcu,,,
902,J0807.9+4946,fsrq,,,
903,J0808.2-0751,fsrq,,J0808.2-0750,J0808.2-0750
904,J0809.5+4045,fsrq,,,
905,J0809.5+5342,fsrq,,,
906,J0809.6+3456,bll,,J0809.4+3455,
907,J0809.8+5218,bll,,J0809.5+5219,J0809.8+5218
908,J0810.5-5214,,,,
909,J0811.2-7529,bll,,J0811.1-7527,J0811.1-7527
910,J0811.3+0146,bll,,J0811.2+0148,J0811.4+0149
911,J0812.0+0237,bll,,,
912,J0812.9+5555,bll,,,
913,J0813.3+6509,bcu,,,J0812.6+6511
914,J0813.5-0356,,,,
915,J0814.1-1012,bll,,J0814.5-1011,J0814.0-1006
916,J0814.5+2943,bll,,,
917,J0814.7+6428,bll,,,J0814.7+6429
918,J0816.1-5044,,,,
919,J0816.4-1311,bll,,J0816.4-1311,J0816.4-1311
920,J0816.5+2049,bll,,,J0816.9+2049
921,J0816.7-2421,bcu,,,J0816.7-2420
922,J0816.7+5739,bll,,J0816.7+5739,J0816.5+5739
923,J0817.8-0935,bll,,J0818.0-0938,J0818.2-0935
924,J0818.0+3237,,,,J0817.9+3238
925,J0818.2+4223,bll,J0818.3+4222,J0818.2+4222,J0818.2+4223
926,J0818.8+2751,bll,,,J0819.3+2750
927,J0820.4+3640,bll,,,
928,J0820.9-1258,bll,,,
929,J0822.6-4250e,SNR,,J0823.3-4248,J0823.0-4246
930,J0822.9+4041,fsrq,,,J0823.0+4041
931,J0823.3-4205c,,,,
932,J0823.6-4838,,,,
933,J0824.1+2434,fsrq,,,
934,J0824.9+5551,fsrq,J0824.9+5551,J0825.0+5555,J0824.9+5552
935,J0824.9+3916,fsrq,,,J0824.7+3914
936,J0825.4-0213,bcu,,,
937,J0825.8-3217,bcu,,J0825.9-3216,J0825.9-3216
938,J0825.9-2230,bll,J0826.0-2228,J0825.8-2230,J0825.9-2229
939,J0826.0+0307,bll,,J0825.9+0309,J0825.9+0308
940,J0826.3-5056,,,,
941,J0826.3-6400,,,,
942,J0827.2-0711,bcu,,,
943,J0828.5+5217,fsrq,,,
944,J0828.8-2420,bcu,,,
945,J0829.3+0901,fsrq,,J0828.9+0901,
946,J0829.6-1137,bcu,,,
947,J0829.8-5239,,,,
948,J0830.3-5855,bcu,,,
949,J0830.5-4452,,,,
950,J0830.7+2408,FSRQ,,J0830.5+2407,J0830.5+2407
951,J0830.8+2629,,,,
952,J0831.9+0430,bll,,J0831.6+0429,J0831.9+0429
953,J0832.6+4914,bll,,,
954,J0832.8-4321,,,,
955,J0833.1-4511e,PWN,,,J0833.1-4511e
956,J0834.1+4223,fsrq,,J0834.4+4221,J0834.3+4221
957,J0834.5-4825,,,,
958,J0834.6+6101,,,,
959,J0834.7+4403,bll,,,J0834.3+4400
960,J0835.3-4510,PSR,J0835.4-4510,J0835.3-4510,J0835.3-4510
961,J0835.4+0930,bll,,J0835.4+0936,
962,J0836.3+2143,bcu,,,
963,J0836.5-2020,fsrq,,,
964,J0838.1-4615,spp,,,
965,J0838.8-2829,,,J0838.6-2828,J0838.8-2828
966,J0838.9-4056c,,,,
967,J0839.1-4739,spp,,,
968,J0839.5+0102,fsrq,,J0839.5+0059,J0839.6+0059
969,J0839.6+3538,bll,,,J0839.7+3541
970,J0839.6-4133,,,,
971,J0839.6+1803,bll,,,J0839.4+1802
972,J0840.8+1315,ssrq,,J0840.8+1310,J0840.7+1310
973,J0841.3-3554,bcu,,J0841.4-3558,J0841.3-3556
974,J0841.4+7053,FSRQ,,J0842.2+7054,J0841.6+7052
