,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL
1253,J1653.9+3945,BZB,J1653.9+3946,J1653.9+3945
1254,J1653.9-4627c,,,
1255,J1656.1-3256,bzq,,J1656.2-3257
1256,J1656.4-0738,,,
1257,J1656.5+6012,bzq,,J1656.9+6017
1258,J1656.9-2008,agu,,
1259,J1657.1-1027,agu,,J1656.9-1033
1260,J1657.5-4652,,,
1261,J1657.9+4809,bzq,,
1262,J1658.1-4743,,,
1263,J1658.4-5322,PSR,,J1658.8-5317
1264,J1659.2-0142,,,
1265,J1700.2+6831,bzq,,J1700.1+6830
1266,J1700.8-4912,,,
1267,J1701.2-3007,glc,,J1701.1-3005
1268,J1702.5-5654,,,J1702.4-5653
1269,J1703.2-6217,bzq,,J1702.7-6217
1270,J1704.3+1235,,,
1271,J1704.6-0529,,,
1272,J1704.9-4618,,,
1273,J1708.4+1003c,,,
1274,J1709.0-0821,,,
1275,J1709.7-4429,PSR,J1709.7-4428,J1709.7-4429
1276,J1709.7+4319,bzq,,J1709.6+4320
1277,J1710.0-0323,,,
1278,J1710.5-5020,,,
1279,J1712.4-3941,spp,,J1711.7-3944c
1280,J1714.0+0751,PSR,,J1713.9+0750
1281,J1714.5-3829,spp,J1714.7-3827,J1714.5-3830c
1282,J1714.8+6836,bzq,,
1283,J1715.4-4024c,agu,,
1284,J1716.6-0526c,,,
1285,J1717.3-2809,,,
1286,J1717.5-5802,psr,,
1287,J1717.7-3342,bzb,,J1717.9-3343
1288,J1718.1-3725,spp,,J1717.9-3729c
1289,J1718.3-3827,PSR,,J1718.2-3825
1290,J1718.4-3056,agu,,
1291,J1719.3+1744,bzb,J1719.3+1746,J1719.2+1745
1292,J1721.0+0711,,,J1721.1+0713
1293,J1721.5-0718c,,,
1294,J1722.5-0420,,,J1722.4-0421
1295,J1722.7+1013,bzq,,J1722.5+1012
1296,J1724.0+4003,bzq,,J1724.0+4002
1297,J1724.9-0508c,,,J1725.2-0509
1298,J1725.0+1151,bzb,,J1725.0+1151
1299,J1725.1-7714,agu,,
1300,J1725.2+5853,bzb,,J1725.5+5854
1301,J1726.6-3545,,,
1302,J1727.1+4531,bzq,,J1727.3+4525
1303,J1727.1-0704,glc,,
1304,J1727.3-4611,spp,,
1305,J1727.6+0647,,,
1306,J1727.8-2308,,,
1307,J1727.9+1220,bzq,,
1308,J1728.0-2737c,,,
1309,J1728.2+5015,bzb,,J1727.9+5010
1310,J1728.2+0429,bzq,,J1728.2+0431
1311,J1729.5-0854,,,
1312,J1730.5-3350,PSR,,
1313,J1730.6-2409,,,J1730.4-2406
1314,J1730.6-0353,,,J1730.7-0352
1315,J1730.7+0023,bzq,,
1316,J1730.8+5427,,,
1317,J1731.3+3718,bzb,,J1730.8+3716
1318,J1731.6-3234c,spp,,
1319,J1731.8-3004,agu,,J1732.0-2957
1320,J1731.9-2703c,,,
1321,J1732.5-3131,PSR,,J1732.5-3131
1322,J1733.1-1307,bzq,,J1733.0-1308
1323,J1733.2-2913c,,,
1324,J1733.4-2812c,,,
1325,J1734.3+3858,bzq,,J1734.4+3859
1326,J1734.7-2533,,,
1327,J1735.9+2033,,,J1735.7+2031
1328,J1736.0-4443,glc,,J1735.9-4438
1329,J1736.6+0626,bzq,,J1736.3+0628
1330,J1737.2-3213,spp,,
1331,J1738.9+8716,,,J1739.4+8717
1332,J1738.9-2908,spp,,
1333,J1739.5+4955,bzq,,
1334,J1739.6-2726,,,
1335,J1740.2+5212,bzq,,J1740.0+5209
1336,J1740.3+4738,bzq,,
1337,J1740.4-3054c,spp,J1741.4-3046,J1740.3-3053c
1338,J1741.0+1347,,,
1339,J1741.1-6750,,,
1340,J1741.9-2054,PSR,J1742.1-2054,
1341,J1742.0-2540c,,,
1342,J1742.1+5948,bzb,,J1742.1+5947
1343,J1742.5-3323,,,
1344,J1743.2-2304,,,
1345,J1743.9-3039c,,,
1346,J1744.1+1934,bzb,,J1744.2+1934
1347,J1744.1-7620,,,J1743.8-7620
1348,J1744.6-1135,PSR,,J1744.4-1134
1349,J1745.1-1729,agu,,
1350,J1745.5-0751,bzb,,J1745.6-0751
1351,J1745.5-3028c,spp,,
1352,J1745.6+1015,psr,,J1745.5+1018
1353,J1745.6+0203,,,
1354,J1745.6-2858,spp,,
1355,J1746.0+2316,,,
1356,J1746.5-3238,,,J1746.7-3233
1357,J1746.6-2851c,,,J1746.4-2849c
1358,J1747.1-3000,PSR,,
1359,J1747.2-3507,,,
1360,J1747.3-2825c,,,
1361,J1747.5-4036,psr,,J1747.4-4035
1362,J1747.6+0324,,,
1363,J1748.0-2447,glc,,J1747.9-2448
1364,J1748.6-2913,,,J1748.3-2916c
1365,J1748.7-2020,glc,,J1748.7-2020
1366,J1748.8+3418,,,
1367,J1748.8+7006,bzb,,J1748.5+7004
1368,J1748.9-3923,,,
1369,J1749.1+0515,,,
1370,J1749.1+4323,bzb,,J1749.0+4323
1371,J1749.7-3134c,,,
1372,J1751.5+0938,bzb,J1751.5+0935,J1751.5+0937
1373,J1753.8-5012,agu,,J1754.0-5002
1374,J1753.8-4446,,,
1375,J1754.1-2930,,,
1376,J1754.3+3212,bzb,,J1754.3+3212
1377,J1754.4-2538c,,,J1754.5-2537c
1378,J1755.5-6423,agu,,
1379,J1756.5+5523,bzb,,J1756.6+5524
1380,J1757.5-6028,,,
1381,J1758.8-2402c,,,
1382,J1759.2-3853,,,
1383,J1759.2-4819,agu,,
1384,J1759.4-2954,,,
1385,J1759.5-0521,,,
1386,J1800.5+7829,bzb,J1802.2+7827,J1800.4+7827
1387,J1800.8-2400,,,J1800.5-2359c
1388,J1801.3-2326e,SNR,J1801.6-2327,
1389,J1801.7+4405,bzq,,
1390,J1802.3-2445c,spp,,
1391,J1802.6-3940,bzq,J1802.6-3939,J1802.5-3939
1392,J1802.8-6706,,,
1393,J1803.3-2148,,,J1803.1-2147c
1394,J1803.6+2523c,agu,,
1395,J1805.0-0845,,,J1807.0-0906
1396,J1805.6-2136e,SNR,J1805.3-2138,
1397,J1805.8+0612,,,J1806.2+0609
1398,J1806.7+6948,bzb,,J1807.0+6945
1399,J1807.7-0419,,,
1400,J1808.3-3356,,,
1401,J1808.5-2037c,,,
1402,J1808.6-1950c,glc,,J1808.5-1954c
1403,J1809.4+2042,agu,,
1404,J1809.7+2909,bzb,,J1809.6+2908
1405,J1809.8-2332,PSR,,J1809.8-2332
1406,J1810.7+1742,psr,,J1810.3+1741
1407,J1810.8+1606,,,J1811.0+1607
1408,J1811.0+5340,agu,,
1409,J1811.1-1905c,spp,,J1810.9-1905c
1410,J1811.3-2421,,,
1411,J1811.3+0339,bzb,,J1811.3+0340
1412,J1813.4-1246,PSR,J1813.5-1248,J1813.3-1246
1413,J1813.5+3143,bzb,,J1813.4+3141
1414,J1813.6-2821,,,
1415,J1813.7-1139c,,,
1416,J1813.7+0617,bzb,,
1417,J1814.1-1735c,,J1814.3-1739,J1814.0-1736c
1418,J1815.6-6407,agu,,
1419,J1816.5+4511,,,J1816.7+4509
1420,J1816.7-4942,agu,,
1421,J1817.6-1651c,,,J1817.6-1651c
1422,J1818.6+0903,bzq,,J1818.1+0905
1423,J1818.7+2138,agu,,
1424,J1819.3-1523,,,J1819.4-1518c
1425,J1820.6+3625,,,
1426,J1820.6-3219,,,J1820.5-3216
1427,J1821.8+0830,,,
1428,J1823.1-1338c,,,J1823.2-1336c
1429,J1823.4-3014,PSR,,J1823.4-3009
1430,J1823.6-3453,agu,,J1823.5-3454
1431,J1823.7+6856,bzb,,
1432,J1823.8+4312,,,
1433,J1824.0+5650,bzb,,J1824.0+5651
1434,J1824.5-1351e,PWN,,
1435,J1824.5+1013,,,J1824.6+1013
1436,J1824.8-2449,glc,,J1824.5-2449
1437,J1825.1-5231,agu,,
1438,J1826.1-1256,PSR,J1825.9-1256,J1826.1-1256
1439,J1826.3-1450,HMB,J1826.3-1451,J1826.2-1450
1440,J1827.4-0846,,,
1441,J1827.4-1445c,,,
1442,J1827.6+1149,,,
1443,J1828.3-1124c,spp,,J1827.9-1128c
1444,J1828.7+3231,,,
1445,J1829.1+2725,agu,,
1446,J1829.1-0340c,,,
1447,J1829.2+5402,bzb,,J1829.8+5404
1448,J1829.3-2419,agu,,J1829.3-2423
1449,J1829.7+4846,rdg,,J1829.8+4845
1450,J1829.8-0204c,,,
1451,J1830.0+1325,agu,,
1452,J1830.1+0617,bzq,J1830.3+0617,J1830.1+0618
1453,J1830.2-4441,agu,,
1454,J1830.4-1634,,,
1455,J1830.9-3132,,,
1456,J1831.2-1518,,,
1457,J1832.0-0200,,,J1831.5-0200c
1458,J1832.2-6502,,,J1833.2-6502
1459,J1832.7-5700,bzb,,J1832.6-5700
1460,J1833.1-0437c,,,
1461,J1833.6-1032,PSR,,J1833.5-1034
1462,J1833.6-2104,bzq,J1833.4-2106,J1833.6-2103
1463,J1834.3-0848,spp,,
1464,J1834.7-0705c,spp,,J1834.7-0709c
1465,J1835.4+1036,,,
1466,J1835.4+1349,,,J1835.3+1345
1467,J1835.5-0649,,,
1468,J1835.6-3258,glc,,J1835.3-3255
1469,J1836.2+5926,PSR,J1836.2+5924,
1470,J1836.2+3137,bzb,,J1836.3+3135
1471,J1836.8-0623c,agu,,
1472,J1837.3-0700c,,,J1837.5-0659c
1473,J1837.9+3821,,,
1474,J1838.7+4759,bzb,,J1838.6+4756
1475,J1839.0-0102,,,
1476,J1839.0-0539,,,
1477,J1839.3-0558c,,,
1478,J1839.7-0334c,spp,,
1479,J1840.3-0413c,spp,,
1480,J1841.2-0459c,spp,,
1481,J1841.7+3221,bzb,,J1841.9+3220
1482,J1842.3+2740,,,
1483,J1842.3-5839,,,J1842.3-5845
1484,J1842.8-0359c,,,J1842.9-0359c
1485,J1843.7-0312c,,,
1486,J1844.3+1548,,,J1844.1+1547
1487,J1844.3-0343c,,J1844.1-0335,J1844.2-0342c
1488,J1844.7+5716,agu,,
1489,J1844.9-1116,,,J1845.9-1133
1490,J1846.4+0920,PSR,,J1846.4+0919
1491,J1846.6-2519,,,
1492,J1847.2-0236,,,J1846.8-0233c
1493,J1848.2-0139c,,J1848.6-0138,J1848.1-0145c
1494,J1848.5+3216,BZQ,J1847.8+3223,
1495,J1848.6+3241,agu,,
1496,J1849.3-0055,spp,,J1849.0-0055c
1497,J1849.4+6706,bzq,J1849.4+6706,J1849.3+6705
1498,J1849.5+2744,bzb,,
1499,J1849.7-4310,bzb,,J1849.6-4314
1500,J1849.9-0125c,,,J1849.7-0121c
1501,J1850.7-0014c,spp,,J1850.2-0019c
1502,J1852.5+4856,bzq,,J1852.5+4853
1503,J1852.7+0047c,spp,,J1853.1+0032c
1504,J1852.8+0156c,,,
1505,J1855.9+0121e,SNR,,
1506,J1856.2+0450c,,,
1507,J1857.2+0055c,,,
1508,J1857.6+0211,,,
1509,J1857.8+0355c,,,J1857.9+0352c
1510,J1858.1-2510,agu,,
1511,J1858.3-2218,,,J1858.1-2218
1512,J1858.5+0129c,,,
1513,J1859.3+0312c,,,
1514,J1901.1+0427,,,
1515,J1902.0-5109,PSR,,J1902.0-5110
1516,J1902.3-1106,,,
1517,J1902.5-6746,bzq,,J1902.3-6802
1518,J1902.7-7053,,,J1901.6-7051
1519,J1903.3+5539,bzb,,J1903.0+5539
1520,J1904.8-0705,,,J1904.4-0703
1521,J1904.9-3720c,,,J1903.8-3718c
1522,J1906.5+0720,,,J1906.6+0716c
1523,J1907.9+0602,PSR,,J1907.9+0602
1524,J1908.8-0132,,,J1908.5-0138
1525,J1911.0+0905,snr,J1911.0+0905,J1910.9+0906c
1526,J1911.1-2005,bzq,J1911.2-2011,J1911.2-2007
1527,J1911.5-1908,agu,,
1528,J1912.0+1609,agu,,
1529,J1913.4+4440,,,
1530,J1913.8-1237,,,
1531,J1914.0+1436,,,
1532,J1914.4+0951c,,,
1533,J1916.1+1106,spp,,J1916.0+1110c
1534,J1917.0-3027,,,J1916.9-3028
1535,J1917.6-1921,bzb,,J1917.7-1922
1536,J1918.2-4110,bzb,,J1918.4-4108
