,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL
1732,J2147.4-7534,bzq,,
1733,J2148.2+0659,bzq,,J2148.5+0654
1734,J2149.6+0326,bzb,,J2149.7+0327
1735,J2150.2-1412,bzb,,J2150.3-1410
1736,J2150.8-2738,bzq,,
1737,J2151.5-3021,bzq,,
1738,J2152.4+1735,bzb,,J2152.5+1734
1739,J2154.0-1138,bzq,,
1740,J2157.4+3129,bzq,J2157.5+3125,J2157.4+3129
1741,J2157.9-1501,bzq,,J2157.9-1503
1742,J2158.8-3013,bzb,J2158.8-3014,J2158.8-3013
1743,J2159.9+1023,bzb,,
1744,J2200.1-6931,,,
1745,J2201.2+5926,,,
1746,J2201.9-8335,bzq,,J2201.6-8327
1747,J2202.8+4216,bzb,J2202.4+4217,J2202.8+4216
1748,J2203.4+1726,bzq,J2203.2+1731,J2203.5+1726
1749,J2204.6+0442,bzb,,J2204.6+0442
1750,J2206.6+6500,,,
1751,J2206.6-0029,bzb,,J2207.1-0021
1752,J2208.1-5345,bzq,J2207.0-5347,J2207.8-5344
1753,J2210.1+5913,,,
1754,J2211.9+2355,bzq,,J2212.1+2358
1755,J2212.6+0702,,,J2212.9+0654
1756,J2213.1-2527,bzq,,J2213.1-2529
1757,J2213.7-4754,,,
1758,J2214.7+3000,PSR,J2214.8+3002,J2214.8+3002
1759,J2215.7+5135,psr,,J2216.1+5139
1760,J2217.1+2422,bzb,,J2217.1+2423
1761,J2219.1+1805,bzq,,J2219.3+1804
1762,J2219.6+5850,,,
1763,J2221.0+6307,,,
1764,J2221.6-5223,bzb,,J2222.5-5218
1765,J2222.0-3503,bzq,,
1766,J2223.4+0104,agu,,J2223.3+0103
1767,J2225.6-0454,bzq,,J2225.8-0457
1768,J2227.8+0051,,,
1769,J2228.6-1633,,,J2228.5-1633
1770,J2229.0+6114,PSR,J2229.0+6114,J2229.0+6114
1771,J2229.7-0832,bzq,J2229.8-0829,J2229.7-0832
1772,J2231.0+6512,,,
1773,J2232.4+1143,bzq,J2232.4+1141,J2232.5+1144
1774,J2234.7+0945,psr,,J2234.8+0944
1775,J2234.9-4831,bzq,,J2235.7-4817
1776,J2236.1-3628,agu,,
1777,J2236.4+2828,bzb,,J2236.2+2828
1778,J2236.5-1431,BZB,,J2236.4-1432
1779,J2237.2+6316,,,
1780,J2237.2-3920,bzq,,J2237.2-3919
1781,J2238.4+5902,PSR,,J2238.4+5903
1782,J2239.8+5825,PSR,,
1783,J2241.7-5236,PSR,J2241.7-5239,J2241.9-5236
1784,J2243.2-2540,bzb,,J2243.1-2541
1785,J2243.9+2021,bzb,,J2244.0+2021
1786,J2244.1+4059,bzb,,J2243.4+4104
1787,J2246.3+1549,,,J2246.3+1549
1788,J2246.8-5203,agu,,
1789,J2247.2-0002,bzb,,J2247.3+0000
1790,J2247.8+4412,agu,,
1791,J2249.1+5758,,,
1792,J2250.0+3825,bzb,,J2250.1+3825
1793,J2250.2-4205,agu,,
1794,J2250.7+6305c,,,
1795,J2250.8-2808,agn,,J2250.8-2809
1796,J2251.1-4927,,,J2251.2-4928
1797,J2251.8+4211,,,
1798,J2251.9+4032,bzb,,J2251.7+4030
1799,J2253.9+1609,BZQ,J2254.0+1609,J2253.9+1608
1800,J2254.1+1401,bzb,,
1801,J2255.2+2408,bzb,,
1802,J2256.4-2009,bzb,,J2256.3-2009
1803,J2256.9-1023,psr,,J2256.9-1024
1804,J2257.5+6222c,,,
1805,J2257.9-3646,,,J2257.9-3643
1806,J2258.0-2759,bzq,,J2258.0-2757
1807,J2258.8-5524,bzb,,J2258.9-5525
1808,J2259.0-8254,,,J2259.9-8255
1809,J2300.0-3553,,,
1810,J2300.6+3139,bzb,,J2300.4+3138
1811,J2302.7+4443,PSR,J2302.9+4443,J2302.8+4443
1812,J2304.7+3703,bzb,,J2304.3+3709
1813,J2308.0+1457,,,J2307.3+1452
1814,J2309.8-3627,,,J2310.0-3627
1815,J2310.9+0204,bzb,,J2310.9+0204
1816,J2311.0+3425,bzq,,J2311.0+3425
1817,J2314.0+1446,bzb,,J2314.1+1444
1818,J2315.7-5014,bzb,,J2315.9-5014
1819,J2317.3-4534,,,
1820,J2319.1-4208,bzb,,
1821,J2319.3-3830,,,
1822,J2321.0+2737,bzq,,J2321.6+2726
1823,J2322.2+3206,bzq,,J2322.0+3208
1824,J2322.6+3435,bzb,,J2322.6+3435
1825,J2323.0-4918,agu,,J2323.0-4919
1826,J2323.4+5849,snr,,J2323.4+5849
1827,J2323.6-0316,bzq,,J2323.5-0315
1828,J2323.8+4212,bzb,,J2323.5+4211
1829,J2324.6+0801,agu,,
1830,J2324.7-4042,bzb,,
1831,J2325.3+3957,bzb,J2325.3+3959,J2325.2+3957
1832,J2325.3-3557,bzq,,J2325.5-3559
1833,J2325.4+1650,,,
1834,J2325.4-4758,bzb,,J2325.6-4758
1835,J2327.5+0940,bzq,J2327.3+0947,J2327.7+0943
1836,J2327.9-4037,agu,,
1837,J2329.2+3755,bzb,,J2329.2+3755
1838,J2329.2-4956,bzq,,J2329.2-4954
1839,J2329.7-4744,bzq,,J2330.3-4745
1840,J2330.2+1107,bzq,,
1841,J2330.6-3723,bzb,,
1842,J2330.9-2144,bzq,,J2331.0-2145
1843,J2331.8-1607,bzq,,
1844,J2332.5-5535,,,J2333.0-5535
1845,J2333.3+6237,spp,,
1846,J2334.3+0734,bzq,,J2334.3+0735
1847,J2334.8+1431,bzb,,J2334.7+1429
1848,J2336.3-4111,bzq,,
1849,J2338.1-0229,bzq,,J2338.3-0231
1850,J2339.0+2125,bzb,,J2339.0+2123
1851,J2339.6-0532,,J2339.8-0530,J2339.7-0531
1852,J2341.7+8016,bzb,,J2341.6+8015
1853,J2343.3-4752,,,
1854,J2343.6+3437,bzb,,J2343.6+3437
1855,J2345.0-1553,BZQ,J2345.5-1559,J2344.6-1554
1856,J2347.0+5142,bzb,,J2347.1+5142
1857,J2347.2+0707,,,J2347.3+0710
1858,J2347.9-1629,bzq,,J2348.0-1629
1859,J2350.2-3002,,,J2350.1-3005
1860,J2351.6-7558,,,
1861,J2352.0+1753,,,J2352.1+1752
1862,J2353.3+6643c,,,
1863,J2353.5-3034,bzb,,
1864,J2354.2-6615,,,J2355.9-6613
1865,J2356.0-5256,,,J2356.0-5253
1866,J2356.1+4034,,,J2356.1+4037
1867,J2356.3+0432,,,J2357.2+0445
1868,J2358.4-1811,,,J2358.5-1809
1869,J2358.9+6325,spp,,
1870,J2359.0-3037,bzb,,J2359.0-3035
1871,J2359.4+6751c,,,
1872,J2359.6+6543c,,,
