,4FGLDR4,CLASS1-4FGLDR4,4FGLDR4-3FGL
0,J0000.3-7355,,
1,J0000.5+0743,,
2,J0000.7+2530,,
3,J0001.2+4741,bcu,
4,J0001.2-0747,bll,J0001.2-0748
5,J0001.4-0010,bll,
6,J0001.5+2113,fsrq,J0001.4+2120
7,J0001.6+3503,,
8,J0001.6-4156,bcu,J0002.2-4152
9,J0001.8-2153,bcu,
10,J0002.1-6728,bll,J0002.0-6722
11,J0002.1+6721c,unk,
12,J0002.3-0815,bcu,
13,J0002.4-5156,bcu,
14,J0002.7+7220,spp,
15,J0002.8+6217,PSR,J0002.6+6218
16,J0003.1-5248,bcu,J0003.2-5246
17,J0003.1-1543,sey,
18,J0003.2+2207,bll,
19,J0003.3-0703,bcu,
20,J0003.3+2511,,
21,J0003.3-1928,bcu,
22,J0003.3-5905,bcu,
23,J0003.5+0717,bcu,
24,J0003.6+3059,,J0003.4+3100
25,J0003.9-1149,bll,J0003.8-1151
26,J0004.0+5715,,J0003.5+5721
27,J0004.0+0840,bll,J0004.2+0843
28,J0004.3+4614,fsrq,
29,J0004.4-4737,fsrq,J0004.7-4740
30,J0004.4-4001,,
31,J0005.5+6634,,
32,J0005.6+6746c,,
33,J0005.9+3824,fsrq,J0006.4+3825
34,J0006.3-1813,,
35,J0006.3-0620,bll,
36,J0006.4+0135,bll,J0006.2+0135
37,J0006.4-5621,bll,
38,J0006.6+4618,,J0006.6+4618
39,J0007.0+7303,PSR,J0007.0+7302
40,J0007.4-0322,,
41,J0007.5-5247,bcu,
42,J0007.7+4008,bcu,J0007.9+4006
43,J0008.0+4711,bll,J0008.0+4713
44,J0008.0-3937,bcu,
45,J0008.4+6926,,
46,J0008.4-2339,bll,J0008.6-2340
47,J0008.4+6837,bcu,J0008.5+6853
48,J0008.4+1455,bcu,J0008.3+1456
49,J0008.9+2509,,
50,J0009.1-5012,,
51,J0009.1+0628,bll,J0009.1+0630
52,J0009.2+1745,,
53,J0009.3+5030,bll,J0009.3+5030
54,J0009.7-1418,,J0010.5-1425
55,J0009.7-3217,rdg,J0009.6-3211
56,J0009.8-4317,bll,
57,J0009.8+1340,bcu,
58,J0009.8-6358,bcu,
59,J0009.9+2810,,
60,J0010.1+1631,,
61,J0010.2-2431,,
62,J0010.6+2043,fsrq,
63,J0010.6-3025,fsrq,
64,J0010.8-2154,bcu,
65,J0011.4-4110,bcu,
66,J0011.4+0057,fsrq,J0011.3+0054
67,J0011.5+4822,,
68,J0011.8-3142,bcu,
69,J0012.0+7043,bcu,J0012.4+7040
70,J0013.0+3355,fsrq,
71,J0013.1-3955,bll,J0013.2-3954
72,J0013.4+0950,bcu,
73,J0013.6+4051,agn,
74,J0013.6-0424,fsrq,
75,J0013.9-1854,bll,J0013.9-1853
76,J0014.1+1910,bll,J0013.8+1907
77,J0014.1-5022,bll,J0014.0-5025
78,J0014.2+0854,bll,
79,J0014.3-0500,bcu,J0014.3-0455
80,J0014.7+5801,bll,J0014.7+5802
81,J0014.8+6118,bcu,J0014.6+6119
82,J0014.9+3212,bcu,
83,J0015.2+3537,bll,
84,J0015.6+5551,bll,J0015.7+5552
85,J0015.9+2440,bll,
86,J0016.2-0016,fsrq,J0016.3-0013
87,J0016.5+1702,fsrq,J0016.5+1713
88,J0017.0-0649,bcu,J0017.2-0643
89,J0017.1-4605,,
90,J0017.4+6506,,
91,J0017.5-0514,FSRQ,J0017.6-0512
92,J0017.8+1455,bll,
93,J0018.4+2946,bll,J0018.4+2947
94,J0018.8+5112,,
95,J0018.8+2611,fsrq,
96,J0019.2-5640,bcu,J0019.1-5645
97,J0019.3-8152,bll,J0018.9-8152
98,J0019.6+7327,fsrq,
99,J0019.6+2022,bll,J0019.4+2021
100,J0020.3+6919,bcu,
101,J0021.0+0322,bll,J0020.9+0323
102,J0021.5-2221,bcu,
103,J0021.5-2552,bll,J0021.6-2553
104,J0021.6-0855,bll,
105,J0021.7+4533,,
106,J0021.9-5140,bll,J0022.1-5141
107,J0022.0+0006,bll,
108,J0022.0-5921,,
109,J0022.1-1854,bll,J0022.1-1855
110,J0022.5+0608,bll,J0022.5+0608
111,J0023.2+8412,,
112,J0023.4+0920,MSP,J0023.4+0923
113,J0023.6-4209,,
114,J0023.7-6820,fsrq,J0021.6-6835
115,J0023.7+4457,fsrq,J0023.5+4454
116,J0023.9+1603,bll,
117,J0024.0-7204,glc,J0023.9-7203
118,J0024.1+2402,,
119,J0024.1+7909,,
120,J0024.4+4647,bcu,
121,J0024.5-0810,bcu,
122,J0024.7+0349,fsrq,J0024.4+0350
123,J0025.0-2320,,
124,J0025.2-2231,fsrq,
125,J0025.3+6408,snr,J0025.7+6404
126,J0025.4-4838,,
127,J0025.5-5936,,
128,J0025.7-4801,bcu,
129,J0026.1-0732,,
130,J0026.2+3926,,
131,J0026.6-4600,bll,J0026.7-4603
132,J0027.0-1134,,
133,J0028.1+7505,bcu,J0028.6+7507
134,J0028.5+2001,fsrq,J0028.8+1951
135,J0028.8-0112,bll,
136,J0028.9+3553,bll,
137,J0029.0-7044,bll,J0029.1-7045
138,J0029.4+2051,bcu,
139,J0030.2+0001,bll,
140,J0030.2-5149,,
141,J0030.2-1647,bll,J0030.2-1646
142,J0030.3-4224,fsrq,J0030.3-4223
143,J0030.4+0451,MSP,J0030.4+0451
144,J0030.6-0212,fsrq,J0030.7-0209
145,J0030.6+0539,,
146,J0030.9-3618,,
147,J0031.0-2327,,J0031.2-2320
148,J0031.3+0726,bll,J0031.3+0724
149,J0031.5-4025,,
150,J0031.5-5648,,
151,J0032.3-5522,bcu,J0032.3-5522
152,J0032.3-5539,,
153,J0032.4-2849,bll,J0032.3-2852
154,J0032.5-4724,bcu,
155,J0033.3-2040,bll,
156,J0033.5-1921,bll,J0033.6-1921
157,J0033.9+3858,bcu,
158,J0034.0-4116,bcu,
159,J0034.3-0534,MSP,J0034.3-0534
160,J0034.6+6438,,
161,J0035.0-5728,bcu,
162,J0035.2+1514,bll,J0035.2+1513
163,J0035.2-1739,,
164,J0035.8-0837,bll,
165,J0035.8+6131,bcu,
166,J0035.9+5950,bll,J0035.9+5949
167,J0036.8+1431,bcu,
168,J0036.9+1832,bcu,
169,J0037.2-2653,,
170,J0037.6+3653,fsrq,
171,J0037.8+1239,bll,J0037.9+1239
172,J0037.9+2612,bll,
173,J0038.1+0012,bll,J0038.0+0012
174,J0038.2-2459,fsrq,J0038.0-2501
175,J0038.7-0204,rdg,
176,J0039.0-0946,fsrq,J0039.1-0939
177,J0039.1-2219,bll,J0039.0-2218
178,J0039.1+6257,,J0039.3+6256
179,J0039.1+4330,bcu,J0039.1+4330
180,J0039.7+4203,,
181,J0040.2-2725,,
182,J0040.3+4050,bll,J0040.3+4049
183,J0040.4-2340,bll,J0040.5-2339
184,J0040.7-7157,,
185,J0040.9+3203,bcu,
186,J0041.3-0048,,
187,J0041.3+6052,bcu,
188,J0041.4+3800,fsrq,
189,J0041.7-1607,bcu,
190,J0041.9-4702,bll,
191,J0042.0+3640,bll,J0041.9+3639
192,J0042.2+2319,fsrq,J0042.0+2318
193,J0042.3+3509,,
194,J0043.2+4114,gal,J0042.5+4117
195,J0043.5-0442,bll,J0043.5-0444
196,J0043.6+2223,bcu,
197,J0043.7-1116,bll,J0043.7-1117
198,J0043.8+3425,fsrq,J0043.8+3425
199,J0044.2-8424,fsrq,J0046.7-8419
200,J0044.8+6802,bcu,
201,J0044.9+4553,bcu,
202,J0045.1-3706,fsrq,J0045.2-3704
203,J0045.3+2128,bll,J0045.3+2126
204,J0045.7+1217,bll,J0045.7+1217
205,J0045.8-1324,,
206,J0045.9-2021,,
207,J0046.7-7048,,
208,J0046.9+0705,,
209,J0047.0+5657,bll,J0047.0+5658
210,J0047.1-6203,bcu,
211,J0047.3+6943,unk,
212,J0047.5-2517,sbg,J0047.5-2516
213,J0047.9+3947,bll,J0048.0+3950
214,J0047.9+5448,bcu,J0047.9+5447
215,J0047.9+2233,fsrq,J0048.0+2236
216,J0048.6-6347,,J0048.1-6343
217,J0048.6-2427,bcu,
218,J0049.0+2252,bll,
219,J0049.1+4223,bll,J0049.0+4224
220,J0049.2+6227,bcu,
221,J0049.4-5402,bll,J0049.4-5401
222,J0049.5-4150,bcu,J0049.4-4149
