,4FGLDR4,CLASS1-4FGLDR4,4FGLDR4-3FGL
223,J0049.6-4500,fsrq,J0050.0-4458
224,J0049.7+0237,bll,J0049.7+0237
225,J0050.0-5736,fsrq,J0049.8-5737
226,J0050.4-0452,fsrq,J0050.4-0449
227,J0050.7-0929,BLL,J0050.6-0929
228,J0050.8+3330,,
229,J0050.8-3428,bcu,
230,J0051.1-0648,fsrq,J0051.0-0649
231,J0051.2-6242,bll,J0051.2-6241
232,J0051.5-4220,fsrq,
233,J0052.1+6444,,J0051.6+6445
234,J0052.9-6644,bcu,
235,J0054.4+8627,bcu,
236,J0054.4-1503,,
237,J0054.7-2455,bll,J0054.8-2455
238,J0054.8-1954,bcu,
239,J0055.1-1219,bcu,J0055.2-1213
240,J0055.7+4507,,
241,J0056.3-0935,bll,J0056.3-0935
242,J0056.4-2118,bll,J0056.3-2116
243,J0056.5-3936,bll,
244,J0056.6-4452,bll,
245,J0056.6-5317,bcu,
246,J0056.8+1626,bll,
247,J0057.0+4101,bcu,
248,J0057.3+2216,bcu,
249,J0057.5+6814,,
250,J0057.7+3023,rdg,
251,J0057.9+6326,,
252,J0058.0-7245e,GAL,J0101.3-7257
253,J0058.0-0539,fsrq,J0057.9-0542
254,J0058.0-3233,bll,J0058.0-3233
255,J0058.1+6915,,
256,J0058.3+1723,bll,
257,J0058.3-4603,,
258,J0058.4+3315,fsrq,J0058.3+3315
259,J0058.6-1140,bcu,
260,J0059.2+0006,fsrq,J0059.6+0003
261,J0059.3-0152,bll,J0059.2-0152
262,J0059.4-5654,,J0059.1-5701
263,J0059.5-3512,bll,
264,J0059.5-3338,fsrq,
265,J0059.7-7210,sfr,
266,J0100.3+0745,bll,J0100.2+0745
267,J0101.0-0059,bll,
268,J0101.1-6422,MSP,J0101.0-6422
269,J0101.3-8019,fsrq,
270,J0101.7-5455,bll,
271,J0101.8-7543,fsrq,
272,J0102.0-6240,,
273,J0102.0+1639,bcu,
274,J0102.1+5846,bcu,
275,J0102.1+4458,,J0102.1+4458
276,J0102.3+1000,,
277,J0102.4+4214,fsrq,J0102.3+4217
278,J0102.4+0942,bll,J0102.1+0943
279,J0102.6-5639,bcu,
280,J0102.7-2001,bcu,
281,J0102.8+5824,fsrq,J0102.8+5825
282,J0102.8+4839,MSP,J0102.8+4840
283,J0102.9-7051,glc,
284,J0103.1+4954,bcu,
285,J0103.5+1526,bll,
286,J0103.5+5337,bll,J0103.4+5336
287,J0103.8+1321,bll,J0103.7+1323
288,J0104.6-0818,,
289,J0104.8-2215,,
290,J0104.8-2416,fsrq,J0105.1-2415
291,J0105.1+3929,bll,J0105.3+3928
292,J0105.5+1912,bll,
293,J0105.9+3403,bll,
294,J0106.1+1131,,
295,J0106.4+4855,PSR,J0106.5+4855
296,J0106.9-4832,bcu,
297,J0107.3-1210,bll,J0107.0-1208
298,J0107.4+0334,bll,
299,J0107.4+0459,,
300,J0107.6+4950,bcu,
301,J0108.1-0039,fsrq,J0108.5-0035
302,J0108.6+0134,fsrq,J0108.7+0134
303,J0109.1+1815,bll,J0109.1+1816
304,J0109.3+2401,bcu,
305,J0109.7+6133,fsrq,J0109.8+6132
306,J0110.0-5246,,
307,J0110.0-4019,bll,J0109.9-4020
308,J0110.1+6805,bll,J0110.2+6806
309,J0110.2+4151,bll,
310,J0110.3-0431,bcu,
311,J0110.6+0415,,
312,J0110.7-1254,bll,J0110.9-1254
313,J0110.9+4344,bcu,
314,J0111.4-7304,bcu,
315,J0111.4+0534,bll,J0111.5+0535
316,J0111.5-2546,bcu,
317,J0112.0+3442,,
318,J0112.0-6634,fsrq,
319,J0112.1+2245,BLL,J0112.1+2245
320,J0112.1-0321,fsrq,
321,J0112.5-0651,,
322,J0112.6-3158,bll,
323,J0112.8-7506,bll,J0112.9-7506
324,J0112.8-0253,bcu,
325,J0112.8+3208,fsrq,J0112.8+3207
326,J0113.1-3553,fsrq,J0113.0-3554
327,J0113.4+4948,fsrq,J0113.4+4948
328,J0113.7+0225,bll,
329,J0114.0+6418,bcu,
330,J0114.8+1326,bll,J0114.8+1326
331,J0114.9-3400,bll,
332,J0115.1+2622,bcu,
333,J0115.1-0129,fsrq,
334,J0115.4-2917,,
335,J0115.6-5653,bcu,
336,J0115.6+0356,bll,J0115.7+0356
337,J0115.8+2519,bll,J0115.8+2519
338,J0116.0-1136,fsrq,J0116.0-1134
339,J0116.0-2745,bll,J0116.2-2744
340,J0116.2-6153,bll,J0116.3-6153
341,J0116.5-2812,bll,
342,J0116.5-3046,fsrq,
343,J0116.8+6914,,J0116.8+6913
344,J0117.5-2442,bll,
345,J0117.8-2109,fsrq,J0117.8-2113
346,J0117.9+1430,,
347,J0118.3-6008,,
348,J0118.7-0848,bcu,
349,J0118.9-2141,fsrq,J0118.8-2142
350,J0119.0-1458,bll,J0118.9-1457
351,J0119.4-5354,bcu,
352,J0119.6+4158,bll,
353,J0119.9+4053,bcu,
354,J0120.1+0505,,
355,J0120.2-7944,,
356,J0120.4-2701,bll,J0120.4-2700
357,J0121.4-7216,,
358,J0121.5+7906,,
359,J0121.7+5153,bcu,J0121.7+5154
360,J0121.8+1147,fsrq,
361,J0121.8-3916,bll,J0121.8-3917
362,J0122.1-3004,bcu,
363,J0122.4+1034,,
364,J0122.4-1509,,
365,J0123.1+3421,bll,
366,J0123.7+4209,bll,
367,J0123.7-2311,bll,J0123.7-2312
368,J0123.7-4129,,
369,J0124.0+3035,,
370,J0124.8-0625,bll,J0125.2-0627
371,J0125.3+6820,,
372,J0125.3-5112,fsrq,
373,J0125.3-2548,bll,J0125.4-2548
374,J0125.4+3200,bcu,
375,J0125.7-0015,fsrq,
376,J0125.8-6348,,
377,J0125.8+2605,bcu,
378,J0125.9-6303,,
379,J0126.0-2221,fsrq,J0126.1-2227
380,J0126.3-6746,,
381,J0126.5-1553,bcu,
382,J0126.8+2412,,
383,J0127.1+3310,bll,
384,J0127.2-0819,bll,J0127.1-0818
385,J0127.2+0324,bll,J0127.2+0325
386,J0127.3-0148,bll,
387,J0127.4-4813,bcu,
388,J0127.9+4857,bll,J0127.6+4851
389,J0127.9+1737c,,
390,J0128.1+7542,,
391,J0128.2-1722,bcu,
392,J0128.2+4400,bcu,
393,J0128.3+5710,bcu,
394,J0128.4+2614,,J0127.9+2551
395,J0128.5+4440,fsrq,J0128.5+4430
396,J0128.8-4626,,
397,J0129.0+6312,bcu,
398,J0129.7+3436,bll,
399,J0129.8+1440,fsrq,J0130.8+1441
400,J0130.4-2129,bcu,
401,J0130.6+1844,bcu,
402,J0131.1+6120,bll,J0131.2+6120
403,J0131.2+5547,bcu,J0131.3+5548
404,J0131.7-5346,,J0132.1-5340
405,J0132.1-0956,,
406,J0132.7-1654,fsrq,J0132.6-1655
407,J0132.7-0804,fsrq,J0132.5-0802
408,J0132.8-4413,bll,J0133.0-4413
409,J0132.8+4324,bcu,J0133.3+4324
410,J0132.9-4259,,
411,J0133.0+5931,,J0133.3+5930
412,J0133.1-5201,fsrq,J0133.2-5159
413,J0133.2-4533,bcu,
414,J0133.7-3409,,
415,J0133.7-5527,bcu,
416,J0134.3-3842,fsrq,J0134.3-3842
417,J0134.5+2637,bll,J0134.5+2638
418,J0135.0+5338,bcu,
419,J0135.1+0255,bll,
420,J0135.3-2728,bcu,
421,J0136.2-4708,,
422,J0136.4+6911,,J0135.0+6927
423,J0136.5+3906,bll,J0136.5+3905
424,J0136.6+3130,,
425,J0136.8+2032,bcu,
426,J0137.0+4751,fsrq,J0137.0+4752
427,J0137.3-3239,,
428,J0137.5+0847,fsrq,
429,J0137.6-2430,fsrq,J0137.6-2430
430,J0137.9+5814,bll,J0137.8+5813
431,J0138.0+2247,bll,
432,J0138.5+3931,,
433,J0138.5+0300,,
434,J0138.5-4613,bll,J0138.5-4612
435,J0138.6+2923,bcu,
436,J0138.6+6821,unk,
437,J0139.0+2601,bll,
438,J0139.2-1705,,
439,J0139.5-2228,,
440,J0140.3+7054,,
441,J0140.4+5114,,
442,J0140.5-4730,,
443,J0140.6-0758,bll,
444,J0140.6+8736,bcu,J0139.9+8735
445,J0141.4-0928,bll,J0141.4-0929
446,J0142.5+6650,,
447,J0142.7-0543,bll,
448,J0143.1-3622,bcu,
449,J0143.3-0119,bcu,
450,J0143.5-3156,fsrq,
451,J0143.7-5846,bll,J0143.7-5845
452,J0143.8+4947,,
453,J0144.3+5959,,
454,J0144.6+2705,bll,J0144.6+2705
455,J0145.0-2732,fsrq,J0145.1-2732
456,J0145.9+2319,bcu,
457,J0146.0-6746,bll,J0146.4-6746
458,J0146.3+4606,bcu,
459,J0146.9-5202,bll,J0147.0-5204
460,J0147.6+1547,bcu,J0147.4+1547
461,J0147.6-6028,bcu,
462,J0147.6-0825,bcu,
463,J0147.7-1321,bcu,
464,J0148.2+5201,bll,J0148.3+5200
465,J0148.6+0127,bll,J0148.6+0128
466,J0149.6-0734,bcu,
467,J0149.8+2650,bll,
468,J0150.4+4848,,J0149.6+4846
469,J0150.5-3337,bcu,
470,J0150.6-5448,bcu,J0150.5-5447
471,J0150.9+1230,,
472,J0151.0+0539,bcu,J0151.0+0537
473,J0151.3+8601,bll,J0145.6+8600
474,J0151.4-3607,bcu,J0151.0-3609
475,J0151.7+5455,bcu,
476,J0152.2+3714,bcu,J0152.2+3707
477,J0152.2+2206,fsrq,J0151.6+2205
478,J0152.6+0147,bll,J0152.6+0148
479,J0152.6-1404,fsrq,
480,J0152.9-1109,,
481,J0153.0+7517,bll,J0152.8+7517
482,J0153.3+5416,,
483,J0153.3-1845,,
484,J0153.4+7114,rdg,J0153.4+7114
485,J0153.5-5107,fsrq,
486,J0153.9+0823,bll,J0154.0+0824
487,J0154.3-0236,fsrq,
488,J0154.5-6604,bcu,
489,J0154.6+0051,,
490,J0155.0+4433,bll,J0154.9+4433
491,J0155.4-0625,bcu,
492,J0155.5+2920,,
493,J0155.7+6642,,
494,J0156.1+1502,bcu,
495,J0156.3-2420,,J0156.5-2423
496,J0156.5+3914,fsrq,J0156.3+3913
497,J0156.6-1758,bcu,
498,J0156.8-4744,bll,J0156.9-4742
499,J0156.9-5301,bll,J0157.0-5301
500,J0156.9+4648,bcu,
501,J0156.9-3235,bcu,
502,J0157.6+1012,,
503,J0157.7-4614,fsrq,J0157.9-4615
504,J0158.2+2515,bll,
505,J0158.4+1230,,
506,J0158.5-5005,bcu,
507,J0158.5+6058,,
508,J0158.5+0549,,
509,J0158.5-3932,bll,J0158.6-3931
510,J0158.8+0101,fsrq,J0158.6+0102
511,J0158.9+7037,bcu,
512,J0159.0-4255,,
513,J0159.0+3313,,
514,J0159.3-4523,bcu,
515,J0159.5+1046,bll,J0159.4+1046
516,J0159.7-2740,bll,J0159.8-2741
517,J0159.8-2234,,
518,J0200.3-4109,bll,J0200.3-4108
519,J0200.6-6637,fsrq,J0200.9-6635
520,J0201.1+0036,bll,
521,J0201.1-4347,bcu,
522,J0202.1+3939,fsrq,
523,J0202.3-0605,bcu,
524,J0202.3-3531,,
525,J0202.4+0849,bll,J0202.3+0851
526,J0202.4+2943,,
527,J0202.6-0258,fsrq,
528,J0202.7+4204,bll,J0202.5+4206
529,J0202.7+3133,,
530,J0202.9-0225,bcu,J0203.1-0227
531,J0203.3-2507,,
532,J0203.6+7233,bll,J0204.0+7234
533,J0203.7+3042,bll,J0203.6+3043
534,J0203.9+5411,bcu,
535,J0203.9+8120,,
536,J0204.0-3334,bll,
537,J0204.1-2919,bcu,
538,J0204.3-3140,bcu,
539,J0204.3+2417,bll,J0204.2+2420
540,J0204.7+6656,,
541,J0204.8+1513,bcu,J0205.0+1510
542,J0205.0-1700,fsrq,J0205.2-1700
543,J0205.2-3050,bcu,
544,J0205.2+3212,fsrq,J0204.8+3212
545,J0205.6+6449e,PWN,J0205.5+6448
546,J0205.7+6449,PSR,J0205.5+6448
547,J0206.0-0958,fsrq,
548,J0206.4-1151,fsrq,J0206.4-1150
549,J0206.4+3829,bcu,
550,J0206.8-5744,bcu,
551,J0207.2-1832,,
552,J0207.4-3855,bll,J0207.9-3846
553,J0207.4+5214,,
554,J0207.5-1049,bcu,
555,J0207.5-2402,bcu,
556,J0207.9+2203,bcu,
557,J0207.9+0953,bcu,
558,J0208.3-6838,bll,J0208.0-6838
559,J0208.5-0046,bll,
560,J0208.6+3523,bll,J0208.6+3522
561,J0209.3+4449,bll,J0209.5+4449
562,J0209.3-5228,bll,J0209.4-5229
563,J0209.7+6437,bcu,
564,J0209.8+2626,,
565,J0209.9+7229,bll,
566,J0210.1+2518,bcu,
567,J0210.5-1445,bcu,
568,J0210.7-5101,FSRQ,J0210.7-5101
569,J0211.1-0646,bll,J0211.2-0649
570,J0211.2+1051,BLL,J0211.2+1051
571,J0211.5+6219,,
572,J0212.1+5321,bin,J0212.1+5320
573,J0212.2-2559,bcu,
574,J0212.2-0219,bll,
575,J0212.4-3502,bll,J0212.8-3504
576,J0212.8-2721,bcu,J0213.1-2720
577,J0212.9+2244,bll,J0213.0+2245
578,J0213.2-0503,bll,
579,J0213.2-8333,,
580,J0213.8-6949,bcu,
581,J0214.1-4733,bll,
582,J0214.2-7025,bcu,
583,J0214.3+5145,bll,J0214.4+5143
584,J0214.4-5822,bcu,J0214.7-5823
585,J0214.6-4333,bcu,
586,J0214.8-6150,bcu,
587,J0214.9-3722,bcu,
588,J0215.0-5330,,
589,J0215.2-1619,bll,
590,J0215.3+7555,bcu,
591,J0215.9+0521,bcu,
592,J0215.9+0300,bcu,J0216.0+0300
593,J0216.5+2313,bll,
594,J0216.6-1015,bcu,J0216.6-1019
595,J0216.8-6635,bll,J0217.0-6635
596,J0216.8+0510,bcu,J0216.4+0507
597,J0217.0-0821,fsrq,J0217.1-0833
598,J0217.2+0837,bll,J0217.2+0837
599,J0217.4+7352,fsrq,J0217.5+7349
600,J0217.8+0144,fsrq,J0217.8+0143
601,J0218.1+4232,MSP,J0218.1+4233
602,J0218.7+2640,bcu,
603,J0218.9-2305,bcu,
604,J0218.9+3643,bcu,J0218.9+3642
605,J0219.0+2443,bll,J0219.0+2440
606,J0219.1-1724,bll,J0219.1-1725
607,J0219.5+0724,bll,
608,J0220.0-3001,,
609,J0220.1+1155,,
610,J0220.2+3246,fsrq,
611,J0220.8-0841,bll,
612,J0221.1+3556,FSRQ,J0221.1+3556
613,J0221.2-1312,bcu,
614,J0221.4+6241e,SNR,
615,J0221.5+2513,bll,J0221.2+2518
616,J0221.8+3730,bcu,
617,J0222.0-1616,fsrq,J0222.1-1616
618,J0222.4+6156e,snr,
619,J0222.6+4302,BLL,J0222.6+4301
620,J0222.7+5016,,
621,J0222.8-0133,,
622,J0223.0-3447,fsrq,
623,J0223.0+6821,bll,J0223.3+6820
624,J0223.1-1117,bll,J0222.9-1117
625,J0223.2-1653,fsrq,
626,J0223.5+5415,bcu,
627,J0223.5+3912,bcu,
628,J0223.5-0928,bcu,
629,J0223.7+3158,,
630,J0224.0-7941,bll,J0224.1-7941
631,J0224.0-1850,bcu,J0224.1-1846
632,J0224.2+0700,fsrq,
633,J0224.2+1616,bcu,J0224.4+1615
634,J0224.8+2937,,
635,J0224.9+1843,fsrq,
636,J0225.1-2604,bcu,J0225.2-2602
637,J0225.5-5530,,
638,J0225.5-5618,bcu,
639,J0225.6-4502,bcu,
640,J0225.8+1310,bcu,
641,J0226.3-1845,bcu,
642,J0226.5+0938,fsrq,J0226.3+0941
643,J0226.5-4441,bll,J0226.5-4442
644,J0226.6-0553,bcu,
645,J0226.7+2312,bcu,
646,J0226.9+7744,,
647,J0227.0-1739,bcu,
648,J0227.2+3928,fsrq,J0226.0+3922
649,J0227.3-6119,bcu,
650,J0227.3+0201,bll,J0227.2+0201
651,J0227.8+2246,bcu,J0228.0+2248
652,J0228.0-3026,fsrq,
653,J0228.1+8208,bcu,J0228.5+8213
654,J0228.2-3102,bcu,J0228.7-3106
655,J0228.3-5547,fsrq,J0228.3-5545
656,J0228.5-2234,bcu,
657,J0228.7+6718,fsrq,
658,J0229.5-3644,fsrq,J0229.3-3643
659,J0230.0-5236,bcu,
660,J0230.3+1713,,
661,J0230.4-1140,,
662,J0230.8+4032,fsrq,J0230.8+4032
663,J0231.0+3505,,
664,J0231.2-5754,bll,J0230.6-5757
665,J0231.2-4745,fsrq,
666,J0231.8+1322,fsrq,
667,J0232.5-1118,bll,
668,J0232.8+2018,bll,J0232.8+2016
669,J0232.9+2608,bll,J0232.9+2606
670,J0233.0+3740,bcu,
671,J0233.5+0654,bcu,J0232.6+0646
672,J0233.7-2423,,
673,J0233.9+8041,bcu,
674,J0234.3-0628,bll,J0234.2-0629
675,J0235.3+5650,,J0235.7+5647
676,J0235.6-2939,bll,
677,J0236.8-6136,fsrq,J0236.7-6136
678,J0237.1-0714,bcu,
679,J0237.3+2000,bll,
680,J0237.6-3602,bll,J0237.5-3603
681,J0237.6+0923,bcu,
682,J0237.7+0206,rdg,
683,J0237.8+5238,,J0238.0+5237
684,J0237.8+2848,FSRQ,J0237.9+2848
685,J0238.1-3905,bll,J0238.3-3904
686,J0238.1-2621,,
687,J0238.2+1531,bcu,
688,J0238.4-3116,bll,J0238.4-3117
689,J0238.6+1637,BLL,J0238.6+1636
690,J0238.7+2555,bll,J0239.0+2555
691,J0239.1+6634,,
692,J0239.5+1326,bcu,J0239.4+1326
693,J0239.5-1353,bcu,
694,J0239.7+0415,fsrq,
695,J0240.2-0248,,J0240.0-0253
696,J0240.5+6113,HMB,J0240.5+6113
697,J0240.6+3528,bcu,
698,J0240.8-3401,bcu,
699,J0241.0-0505,bll,
700,J0241.1-3035,,
701,J0241.3+2229,,
702,J0241.3+6543,bll,J0241.3+6542
703,J0241.9-1603,bcu,
704,J0242.3+1102,fsrq,J0242.3+1059
705,J0242.3+5216,bcu,
706,J0242.6+1735,bcu,
707,J0242.6-0000,sbg,J0242.7-0001
708,J0242.9+0045,bll,
709,J0243.1-4218,,
710,J0243.2-0550,fsrq,
711,J0243.3+6319,,
712,J0243.4+7119,bll,J0243.5+7119
713,J0243.7+0321,bcu,
714,J0244.3+1719,,
715,J0244.6-5819,bll,J0244.8-5818
716,J0244.7+1316,bcu,
717,J0245.0+4755,,J0244.4+4745
718,J0245.1-0257,bll,
719,J0245.4-5950,bcu,
720,J0245.4+2408,fsrq,J0245.4+2410
721,J0245.5-4502,fsrq,
722,J0245.9-4650,fsrq,J0245.9-4651
723,J0246.0-4838,,
724,J0246.6-3348,bcu,
725,J0248.0+2232,bcu,
726,J0248.4+6021,PSR,J0248.5+6022
727,J0248.6+4230,MSP,J0248.5+4232
728,J0248.6+5131,bcu,J0248.4+5130
729,J0248.6-3511,bcu,
730,J0249.2+1652,,
731,J0249.7+4500,bcu,
732,J0250.2-8224,bcu,J0244.4-8224
733,J0250.3-3422,bcu,
734,J0250.6+1712,bll,J0250.6+1713
735,J0250.6+8435,bcu,J0249.1+8438
736,J0250.7+5630,bcu,J0250.6+5630
737,J0251.0+2605,MSP,J0251.1+2603
738,J0251.1-1830,,J0251.1-1829
739,J0251.4+4646,,
740,J0251.5-5958,fsrq,J0251.5-5959
741,J0251.6+0628,,
742,J0251.9-5146,,
743,J0252.0-3657,,
744,J0252.3-2707,,
745,J0252.8-2219,fsrq,J0252.8-2218
746,J0252.9+3834,fsrq,J0252.3+3830
747,J0253.2-5441,fsrq,J0253.1-5438
748,J0253.2-0124,bll,J0253.0-0125
749,J0253.3+5132,unk,
750,J0253.5+3216,fsrq,J0253.5+3216
751,J0253.9+5103,fsrq,J0253.8+5104
