,4fgldr2,4fgldr2_features,4fgldr2_labels,3fgl,3fgl-cls1,4fgldr1,4fgldr1-cls1,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1
12,J0009.7-3217,"[2.1454286575317383, 2.090195417404175, 1.818247675895691, 15.28574275970459, -32.47041249120934, -32.17129108009534, -28.766699112965057, -32.2355014797049, -24.27100795804523, 0.12845568358898163, 0.5761472582817078, 1.4798275232315063, 7.188787937164307, -0.8800697508692162, 0.9998189419798141, -0.47202949451688647, -0.7247302560805693, -0.39731328200685634, -0.9999961535282642]",[1],J0009.6-3211,bcu,J0009.7-3217,rdg,rdg,J0009.7-3217,rdg,J0009.7-3217,rdg
13,J0012.0+7043,"[2.409168243408203, 2.40501070022583, 2.3571839332580566, 17.850988388061523, -31.666873783868727, -31.526468787192552, -27.75467843207923, -31.310659127316683, -23.641786035773006, 0.012992526404559612, 0.5082703828811646, 0.24992617964744568, 7.696666240692139, 0.9802246790498147, -0.7202198101439758, -0.7204695422839875, -0.6408927263623816, -0.5467861484937853, -0.9996061620395864]",[1],J0012.4+7040,bcu,J0012.0+7043,bcu,bcu,J0012.0+7043,bcu,J0012.0+7043,bcu
14,J0013.1-3955,"[2.0022683143615723, 1.9179043769836426, 1.595347285270691, 12.13773250579834, -32.454964090311414, -32.15145527380625, -28.46141443175078, -32.16955280668502, -23.994891476230112, 0.11524172127246857, 0.18776029348373413, 2.4875874519348145, 18.3475341796875, -0.9399128447943434, 0.44254080478652486, -0.5231515237421284, -0.4966849100069487, -0.4474204614884687, -0.9962501376629334]",[1],J0013.2-3954,bll,J0013.1-3955,bll,bll,J0013.1-3955,bll,J0013.1-3955,bll
15,J0013.9-1854,"[1.9975508451461792, 1.9552112817764282, 1.8289291858673096, 4.385260105133057, -32.7740314662074, -32.536435881202046, -28.52212056974199, -32.62356812898997, -24.044588384867616, 0.03726464509963989, 0.0, 0.6974276900291443, 13.319672584533691, -0.8395636456159474, -0.1533466879428166, -0.4591783050032263, -0.4592666685735982, -0.5496857266949153, -0.44182594189995894]",[1],J0013.9-1853,bll,J0013.9-1854,bll,bll,J0013.9-1854,bll,J0013.9-1854,bll
16,J0014.1-5022,"[2.015000820159912, 1.967581868171692, 1.9048296213150024, 2.0987236499786377, -32.97757166647489, -32.772239028040865, -28.6161431118099, -32.882997466920884, -24.123398513264952, 0.03362283110618591, 0.0, 0.5129988789558411, 11.469014167785645, 0.9736403726464952, -0.797923815482421, -0.392791725628243, -0.5582393868477319, -0.512643730720221, -0.5137553786689147]",[1],J0014.0-5025,bll,J0014.1-5022,bll,bll,J0014.1-5022,bll,J0014.1-5022,bll
17,J0014.7+5801,"[1.72096586227417, 1.5530362129211426, 1.2771636247634888, 14.760305404663086, -35.09051338730347, -34.673448707237625, -28.335725967357735, -34.75338816111191, -23.829516007419947, 0.17607784271240234, 0.4888305366039276, 2.013796806335449, 9.670090675354004, -0.9962467964330545, 0.9973335890502338, -0.30460748538627536, 0.058198718640661465, -0.3259488293732468, -0.48581820456820457]",[1],J0014.7+5802,bll,J0014.7+5801,bll,bll,J0014.7+5801,bll,J0014.7+5801,bll
18,J0014.8+6118,"[2.0499324798583984, 1.9009732007980347, 1.5554460287094116, 6.146344184875488, -33.037832332115045, -32.70812615008003, -27.840649286567682, -32.75014329694061, -23.332975960439075, 0.13999830186367035, 0.0, 2.5531880855560303, 15.637378692626953, -0.8563633812825913, -0.03978013265420648, -0.6148493223001832, -0.3992874325780748, -0.47377909919607186, -0.7529362968639947]",[1],J0014.6+6119,bcu,J0014.8+6118,bcu,bcu,J0014.8+6118,bcu,J0014.8+6118,bcu
19,J0015.6+5551,"[1.8762322664260864, 1.8814630508422852, 1.8117730617523193, 10.359964370727539, -34.09724813319888, -33.933096116038264, -28.253449092017817, -34.01733386468475, -23.699751237817477, -0.004141819663345814, 0.20093396306037903, 0.08676213771104813, 12.751275062561035, 0.9997700320669908, -0.4158422906297915, -0.5924068015226766, -0.41114301420337723, -0.431330678095533, -0.2912334075833332]",[1],J0015.7+5552,bcu,J0015.6+5551,bll,bll,J0015.6+5551,bll,J0015.6+5551,bll
20,J0016.2-0016,"[2.7406797409057617, 2.6136598587036133, 2.1723849773406982, 82.13560485839844, -27.97988391152223, -27.661791982380446, -28.149245938482526, -27.706352169266278, -23.842952018089107, 0.18483015894889832, 0.5066494941711426, 4.125214576721191, 20.85448455810547, 0.10687363203137876, -0.6873953265018918, -0.7782240962716128, -0.9594847599890276, -0.5014086984936436, -0.9917286966648486]",[1],J0016.3-0013,fsrq,J0016.2-0016,fsrq,fsrq,J0016.2-0016,fsrq,J0016.2-0016,fsrq
21,J0017.0-0649,"[2.298107385635376, 2.278012752532959, 2.2352936267852783, 26.482019424438477, -31.167747889594057, -30.98290357026399, -28.37862268698721, -31.082320841710185, -23.89648856358419, 0.031068913638591766, 0.3136467933654785, 0.7001218795776367, 13.638586044311523, 0.9934728520136801, -0.5355643389404714, -0.6886255780016409, -0.5284826992986327, -0.725346736114974, -0.42793729099519523]",[1],J0017.2-0643,bcu,J0017.0-0649,bcu,bcu,J0017.0-0649,bcu,J0017.0-0649,bcu
