,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl,4fgldr3_features,4fgldr3_labels,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3
13,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
14,J1405.4-6119,24.82,211.356,−61.3168,1.0,0.77,YNG/YNG,J1405.1-6119,,J1405.4-6119,J1405.1-6119,,J1405.4-6119,J1409.1-6121e,,J1405.4-6119,J1405.1-6119,HMB,J1405.4-6119,,,NA,NA,NA,NA
21,J0340.4+5302,22.31,55.1,53.0484,0.99,0.28,YNG/YNG,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,J0340.4+5302,,J0340.4+5302,,,NA,NA,NA,NA
22,J0933.9-6232,22.07,143.481,−62.5338,0.99,0.96,MSP/MSP,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,J0933.8-6232,,J0933.9-6232,,,NA,NA,NA,NA
23,J0634.1+0424,21.06,98.528,4.4062,0.98,0.69,YNG/YNG,J0634.2+0436e,snr,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424,J0634.2+0436e,snr,J0634.1+0424,,,,,,NA,NA,NA,NA
24,J1745.3-2903c,20.66,266.343,−29.0630,1.0,0.87,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
25,J1622.9-5004,20.65,245.726,−50.0753,0.99,0.75,YNG/YNG,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,J1623.0-5004,PSR,J1622.9-5004,"[2.3285515308380127, 2.078021764755249, 2.03473162651062, 7.7903828620910645, -31.15462507540475, -30.713594412464015, -26.01390391790663, -30.771321057807548, -21.48768735766206, 0.40356653928756714, 0.0, 11.122803688049316, 37.881587982177734, 0.9938037448797393, -0.3996126632039704, -0.11265504981543488, -0.4913839615085858, -0.7966658245343071, -0.9350120144851565, -0.9999161448805821]",[0],PSR,PSR,PSR,PSR
26,J1946.4-5403,20.29,296.614,−54.0570,0.98,0.96,MSP/MSP,J1946.5-5402,PSR,J1946.4-5403,J1946.5-5402,PSR,J1946.4-5403,J1946.5-5402,MSP,J1946.4-5403,J1946.5-5402,MSP,J1946.4-5403,"[2.2506771087646484, 1.853751301765442, 1.7762590646743774, 3.85417103767395, -30.377494742506926, -29.83167337487395, -28.36395881576768, -29.890994848384132, -23.359150898414608, 0.5212212800979614, 0.0, 12.967143058776855, 39.9442138671875, 0.23978180178460543, -0.32105383766371187, -0.3881031262397177, -0.7664963240966137, -0.9999997483312578, 0.7848710347802397, 0.2620225343651553]",[0],PSR,PSR,PSR,PSR
27,J1747.0-2828,20.26,266.775,−28.4819,1.0,0.73,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
28,J1624.2-4041,19.27,246.059,−40.6865,0.99,0.85,YNG/YNG,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,J1624.1-4042,PSR,J1624.2-4041,"[2.372375249862671, 2.131211757659912, 2.0307419300079346, 13.49041748046875, -30.167699728363228, -29.67502659502366, -27.241469316500186, -29.71828829051057, -22.63833779491344, 0.44124558568000793, 0.030853157863020897, 13.826617240905762, 41.7386589050293, 0.9999534487200576, -0.3257139811920888, -0.489673299163171, -0.7031413692398935, -0.9614819199059543, -0.9986913837310696, -0.9422702532197468]",[0],PSR,PSR,PSR,PSR
29,J1539.2-3324,19.23,234.823,−33.4142,0.96,0.93,MSP/MSP,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,J1539.4-3323,,J1539.2-3324,,,NA,NA,NA,NA
30,J0359.5+5413,19.17,59.881,54.2220,1.0,0.83,MSP/YNG,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413,J0359.4+5414,PSR,J0359.5+5413,"[2.3823177814483643, 2.317178249359131, 2.1768736839294434, 3.154869794845581, -30.802249150044894, -30.267307182709917, -27.38775400944894, -30.35206028064222, -22.805255392535006, 0.47238513827323914, 0.0, 13.096075057983398, 33.134273529052734, 0.8786093107138311, 0.0938797081887888, -0.5072067276060791, -0.701259849103805, -0.9842945223444121, -0.9999892007275241, 0.9747845282120428]",[0],PSR,PSR,PSR,PSR
31,J0954.8-3948,18.89,148.712,−39.8087,0.86,0.26,MSP/MSP,,,,,,,,,,,,,,,NA,NA,NA,NA
32,J1848.4-0141,18.67,282.118,−1.6927,1.0,0.73,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
33,J2004.4+3338,18.46,301.103,33.6451,0.66,0.2,MSP/YNG,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,J2004.3+3339,unk,J2004.4+3338,,,NA,NA,NA,NA
34,J2041.1+4736,18.38,310.281,47.6030,0.99,0.43,YNG/YNG,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,J2041.1+4736,,J2041.1+4736,,,NA,NA,NA,NA
35,J0854.8-4503,18.21,133.711,−45.0616,0.98,0.82,YNG/YNG,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,J0854.8-4504,,J0854.8-4503,,,NA,NA,NA,NA
36,J0744.1-2523,18.1,116.045,−25.3994,0.97,0.38,MSP/YNG,J0744.0-2525,,J0744.1-2523,J0744.0-2525,bin,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523,J0744.0-2525,PSR,J0744.1-2523,"[2.3115530014038086, 2.061060905456543, 1.980044960975647, 6.112335205078125, -30.500044836467254, -29.976423575408802, -27.43529077004136, -30.03162416407811, -22.815586754797497, 0.458021342754364, 0.0, 10.803962707519531, 32.81658172607422, -0.17447957442291184, -0.2741344696710769, -0.4510375805129462, -0.6678581859755741, -0.9999950465954798, 0.9947516447701631, -0.991102983557788]",[0],PSR,PSR,PSR,PSR
37,J0002.6+6218,17.97,0.674,62.3006,0.99,0.81,YNG/YNG,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,J0002.8+6217,PSR,J0002.6+6218,"[2.4791054725646973, 2.36098575592041, 2.251392364501953, 13.166126251220703, -30.42054554409942, -29.960213684989697, -27.266886406518736, -29.99097694724387, -22.988639747280146, 0.3958846628665924, 0.047219034284353256, 11.000743865966797, 32.33150863647461, 0.9676254599743911, -0.24337672362013685, -0.579244215179305, -0.7459349350433988, -0.9747804027674097, -0.9998903937366408, -0.999391804279442]",[0],PSR,PSR,PSR,PSR
38,J0336.1+7500,17.75,54.044,75.0153,0.95,0.72,MSP/MSP,J0336.0+7502,,J0336.1+7500,J0336.0+7502,,J0336.1+7500,J0336.0+7502,lmb,J0336.1+7500,J0336.0+7502,lmb,J0336.1+7500,,,NA,NA,NA,NA
39,J1800.8-2402,17.48,270.222,−24.0351,0.98,0.77,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
40,J1754.0-2538,16.84,268.508,−25.6486,0.95,0.79,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
41,J1823.2-1339,16.64,275.82,−13.6513,1.0,0.8,YNG/YNG,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,J1823.3-1340,,J1823.2-1339,,,NA,NA,NA,NA
42,J1208.4-6239,16.23,182.12,−62.6612,0.98,0.75,YNG/YNG,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,J1208.2-6237,PSR,J1208.4-6239,"[2.3972949981689453, 2.472498655319214, 2.346879005432129, 11.097777366638184, -31.39007741632482, -31.045892464982565, -26.242914531638686, -31.038281761076593, -22.128538701741476, 0.24621742963790894, 0.04422586038708687, 8.360869407653809, 30.455080032348633, 0.746388478530406, 0.1705392250837518, -0.618710105498009, -0.6146027091851657, -0.8697067236832597, -0.7916639137114209, -0.9996239441092936]",[0],PSR,PSR,PSR,PSR
43,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,"[2.4828884601593018, 2.455848455429077, 2.3356680870056152, 13.953595161437988, -30.349890322203457, -29.899886051164525, -25.85003018482137, -29.907283739165422, -21.67316844071468, 0.42846792936325073, 0.06926136463880539, 11.344340324401855, 29.890661239624023, 0.9923289021353412, -0.43882501331789064, -0.5301460863169882, -0.6654446438951032, -0.9719716189934233, -0.8216155169598728, 0.5438407951356995]",[0],PSR,PSR,PSR,PSR
44,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1650.3-4600,PSR,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600,,,NA,NA,NA,NA
51,J1056.7-5853,16.11,164.179,−58.8960,1.0,0.67,YNG/YNG,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853,"[2.6253905296325684, 2.178783893585205, 2.1021082401275635, 2.2150349617004395, -29.911164799423773, -29.405456513226945, -27.131215894520736, -29.328738344563316, -22.628236422970296, 0.9474231004714966, 0.0, 9.427313804626465, 19.932247161865234, -0.9971672953333311, 0.9976581709372528, -0.3547795469717053, -0.878570930946807, -0.9999617661014442, 0.6206193375264054, -0.9970789693354032]",[0],PSR,PSR,PSR,PSR
52,J1112.0-6135,15.69,168.017,−61.5842,0.97,0.65,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
53,J0914.5-4736,15.57,138.641,−47.6152,0.5,0.39,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
54,J1358.5-6025,15.43,209.643,−60.4298,1.0,0.7,YNG/YNG,J1358.3-6026,,J1358.5-6025,J1358.3-6026,,J1358.5-6025,J1358.3-6026,PSR,J1358.5-6025,J1358.3-6026,PSR,J1358.5-6025,"[2.5120887756347656, 2.4779610633850098, 2.3668570518493652, 5.924801826477051, -30.495706854823833, -30.097170981188928, -26.34526144426211, -30.090331584135956, -22.34735924516787, 0.2982012927532196, 0.0, 8.16248607635498, 25.1544246673584, -0.09915785073152396, -0.4290745213675322, -0.5420302982845915, -0.7256732786142934, -0.8927468205842719, -0.9654273297492061, -0.9994611113295307]",[0],PSR,PSR,PSR,PSR
