,4FGLDR2,CLASS1-4FGLDR2,4FGLDR2-3FGL
0,J0000.3-7355,,
1,J0000.5+0743,,
2,J0001.2+4741,bcu,
3,J0001.2-0747,bll,J0001.2-0748
4,J0001.5+2113,fsrq,J0001.4+2120
5,J0001.6-4156,bcu,J0002.2-4152
6,J0002.1-6728,bcu,J0002.0-6722
7,J0002.1+6721c,unk,
8,J0002.3-0815,bcu,
9,J0002.4-5156,bcu,
10,J0002.7+7220,spp,
11,J0002.8+6217,PSR,J0002.6+6218
12,J0003.1-5248,bcu,J0003.2-5246
13,J0003.2+2207,bll,
14,J0003.3+2511,,
15,J0003.3-1928,bcu,
16,J0003.3-5905,bcu,
17,J0003.6+3059,,J0003.4+3100
18,J0003.9-1149,bll,J0003.8-1151
19,J0004.0+5715,,J0003.5+5721
20,J0004.0+0840,bll,J0004.2+0843
21,J0004.3+4614,fsrq,
22,J0004.4-4737,fsrq,J0004.7-4740
23,J0004.4-4001,,
24,J0005.6+6746c,,
25,J0005.9+3824,fsrq,J0006.4+3825
26,J0006.3-0620,bll,
27,J0006.4+0135,bll,J0006.2+0135
28,J0006.6+4618,,J0006.6+4618
29,J0007.0+7303,PSR,J0007.0+7302
30,J0007.7+4008,bcu,J0007.9+4006
31,J0008.0+4711,bll,J0008.0+4713
32,J0008.0-3937,bcu,
33,J0008.4+6926,,
34,J0008.4-2339,bll,J0008.6-2340
35,J0008.4+1455,bcu,J0008.3+1456
36,J0008.9+2509,,
37,J0009.1-5012,,
38,J0009.1+0628,bll,J0009.1+0630
39,J0009.2+6847,,J0008.5+6853
40,J0009.2+1745,,
41,J0009.3+5030,bll,J0009.3+5030
42,J0009.7-1418,,J0010.5-1425
43,J0009.7-3217,rdg,J0009.6-3211
44,J0009.8-4317,bll,
45,J0009.8+1340,bcu,
46,J0010.2-2431,,
47,J0010.6+2043,fsrq,
48,J0010.6-3025,fsrq,
49,J0010.8-2154,bcu,
50,J0011.4-4110,bcu,
51,J0011.4+0057,fsrq,J0011.3+0054
52,J0011.8-3142,bcu,
53,J0012.0+7043,bcu,J0012.4+7040
54,J0013.1-3955,bll,J0013.2-3954
55,J0013.4+0950,bcu,
56,J0013.6+4051,agn,
57,J0013.6-0424,fsrq,
58,J0013.9-1854,bll,J0013.9-1853
59,J0014.1+1910,bll,J0013.8+1907
60,J0014.1-5022,bll,J0014.0-5025
61,J0014.2+0854,bll,
62,J0014.3-0500,bcu,J0014.3-0455
63,J0014.7+5801,bll,J0014.7+5802
64,J0014.8+6118,bcu,J0014.6+6119
65,J0014.9+3212,bcu,
66,J0015.2+3537,bll,
67,J0015.6+5551,bll,J0015.7+5552
68,J0015.9+2440,bll,
69,J0016.2-0016,fsrq,J0016.3-0013
70,J0016.5+1702,fsrq,J0016.5+1713
71,J0017.0-0649,bcu,J0017.2-0643
72,J0017.1-4605,,
73,J0017.5-0514,FSRQ,J0017.6-0512
74,J0017.8+1455,bll,
75,J0018.4+2946,bll,J0018.4+2947
76,J0019.2-5640,bcu,J0019.1-5645
77,J0019.3-8152,bll,J0018.9-8152
78,J0019.6+7327,fsrq,
79,J0019.6+2022,bll,J0019.4+2021
80,J0020.3+6919,bcu,
81,J0021.0+0322,bcu,J0020.9+0323
82,J0021.5-2552,bll,J0021.6-2553
83,J0021.6-0855,bll,
84,J0021.9-5140,bll,J0022.1-5141
85,J0022.0+0006,bll,
86,J0022.0-5921,,
87,J0022.1-1854,bll,J0022.1-1855
88,J0022.5+0608,bll,J0022.5+0608
89,J0023.4+0920,PSR,J0023.4+0923
90,J0023.6-4209,,
91,J0023.7-6820,fsrq,J0021.6-6835
92,J0023.7+4457,fsrq,J0023.5+4454
93,J0023.9+1603,bll,
94,J0024.0-7204,glc,J0023.9-7203
95,J0024.1+2402,,
96,J0024.4+4647,bcu,
97,J0024.7+0349,fsrq,J0024.4+0350
98,J0025.2-2231,fsrq,
99,J0025.3+6408,snr,J0025.7+6404
100,J0025.4-4838,,
101,J0025.5-5936,,
102,J0025.7-4801,bcu,
103,J0026.1-0732,,
104,J0026.6-4600,bll,J0026.7-4603
105,J0028.1+7505,bcu,J0028.6+7507
106,J0028.4+2001,fsrq,J0028.8+1951
107,J0028.8-0112,bll,
108,J0028.9+3553,bcu,
109,J0029.0-7044,bll,J0029.1-7045
110,J0029.4+2051,bcu,
111,J0030.2-1647,bll,J0030.2-1646
112,J0030.3-4224,fsrq,J0030.3-4223
113,J0030.4+0451,PSR,J0030.4+0451
114,J0030.6-0212,bcu,J0030.7-0209
115,J0030.6+0539,,
116,J0030.9-3618,,
117,J0031.0-2327,,J0031.2-2320
118,J0031.3+0726,bll,J0031.3+0724
119,J0031.5-5648,,
120,J0032.3-5522,bcu,J0032.3-5522
121,J0032.3-5539,,
122,J0032.4-2849,bll,J0032.3-2852
123,J0033.3-2040,bll,
124,J0033.5-1921,bll,J0033.6-1921
125,J0033.9+3858,bcu,
126,J0034.0-4116,bcu,
127,J0034.3-0534,PSR,J0034.3-0534
128,J0034.6+6438,,
129,J0035.0-5728,bcu,
130,J0035.2+1514,bll,J0035.2+1513
131,J0035.2-1739,,
132,J0035.8-0837,bll,
133,J0035.8+6131,bcu,
134,J0035.9+5950,bll,J0035.9+5949
135,J0036.9+1832,bcu,
136,J0037.2-2653,,
137,J0037.6+3653,fsrq,
138,J0037.8+1239,bll,J0037.9+1239
139,J0037.9+2612,bll,
140,J0038.1+0012,bll,J0038.0+0012
141,J0038.2-2459,fsrq,J0038.0-2501
142,J0038.7-0204,rdg,
143,J0039.0-0946,fsrq,J0039.1-0939
144,J0039.1-2219,bcu,J0039.0-2218
145,J0039.1+6257,,J0039.3+6256
146,J0039.1+4330,bcu,J0039.1+4330
147,J0039.7+4203,,
148,J0040.2-2725,,
149,J0040.3+4050,bll,J0040.3+4049
150,J0040.4-2340,bll,J0040.5-2339
151,J0040.7-7157,,
152,J0040.9+3203,bcu,
153,J0041.3+6052,bcu,
154,J0041.4+3800,fsrq,
155,J0041.7-1607,bcu,
156,J0041.9-4702,bcu,
157,J0042.0+3640,bll,J0041.9+3639
158,J0042.2+2319,fsrq,J0042.0+2318
159,J0043.2+4114,gal,J0042.5+4117
160,J0043.5-0442,bll,J0043.5-0444
161,J0043.6+2223,bcu,
162,J0043.7-1116,bll,J0043.7-1117
163,J0043.8+3425,fsrq,J0043.8+3425
164,J0044.2-8424,fsrq,J0046.7-8419
165,J0044.8+6802,bcu,
166,J0045.1-3706,fsrq,J0045.2-3704
167,J0045.3+2128,bll,J0045.3+2126
168,J0045.7+1217,bll,J0045.7+1217
169,J0045.8-1324,,
170,J0045.9-2021,,
171,J0046.7-7048,,
172,J0047.0+5657,bll,J0047.0+5658
173,J0047.1-6203,bcu,
174,J0047.3+6943,unk,
175,J0047.5-2517,sbg,J0047.5-2516
176,J0047.9+3947,bll,J0048.0+3950
177,J0047.9+5448,bcu,J0047.9+5447
178,J0047.9+2233,fsrq,J0048.0+2236
179,J0048.6-6347,,J0048.1-6343
180,J0048.6-2427,bcu,
181,J0049.0+2252,bll,
182,J0049.1+4223,bll,J0049.0+4224
183,J0049.4-5402,bcu,J0049.4-5401
184,J0049.5-4150,bcu,J0049.4-4149
185,J0049.6-4500,fsrq,J0050.0-4458
186,J0049.7+0237,bll,J0049.7+0237
187,J0050.0-5736,fsrq,J0049.8-5737
188,J0050.4-0452,fsrq,J0050.4-0449
189,J0050.7-0929,BLL,J0050.6-0929
190,J0051.1-0648,fsrq,J0051.0-0649
191,J0051.2-6242,bll,J0051.2-6241
192,J0051.5-4220,fsrq,
193,J0052.1+6444,,J0051.6+6445
194,J0052.9-6644,bcu,
195,J0054.4+8627,bcu,
196,J0054.4-1503,,
197,J0054.7-2455,bll,J0054.8-2455
198,J0054.8-1954,bcu,
199,J0055.1-1219,bcu,J0055.2-1213
200,J0055.7+4507,,
201,J0056.3-0935,bll,J0056.3-0935
202,J0056.4-2118,bll,J0056.3-2116
203,J0056.5-3936,bcu,
204,J0056.6-4452,bcu,
205,J0056.6-5317,bcu,
206,J0056.8+1626,bll,
207,J0057.0+4101,bcu,
208,J0057.3+2216,bcu,
209,J0057.5+6814,,
210,J0057.7+3023,rdg,
211,J0057.9+6326,,
212,J0058.0-7245e,GAL,J0059.0-7242e
213,J0058.0-0539,fsrq,J0057.9-0542
