,3fgl,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl
87,J1857.2+0059,J1857.1+0056,,J1857.2+0059,J1857.1+0056,,J1857.2+0059,J1857.1+0056,,J1857.2+0059,J1857.1+0056,,J1857.2+0059
88,J2103.7-1113,J2103.7-1112,bcu,J2103.7-1113,J2103.7-1112,bcu,J2103.7-1113,J2103.7-1112,bcu,J2103.7-1113,J2103.7-1112,bcu,J2103.7-1113
89,J0802.3-5610,J0802.1-5612,,J0802.3-5610,J0802.1-5612,,J0802.3-5610,J0802.1-5612,PSR,J0802.3-5610,J0802.1-5612,PSR,J0802.3-5610
90,J1350.4-6224,J1350.6-6224,PSR,J1350.4-6224,J1350.6-6224,PSR,J1350.4-6224,J1350.6-6224,PSR,J1350.4-6224,J1350.6-6224,PSR,J1350.4-6224
91,J1139.0-6244,,,,,,,,,,,,
92,J0847.4-4327,,,,,,,,,,,,
93,J0758.6-1451,J0758.8-1450,,J0758.6-1451,J0758.8-1450,,J0758.6-1451,J0758.8-1450,,J0758.6-1451,J0758.8-1450,,J0758.6-1451
94,J0039.3+6256,J0039.1+6257,,J0039.3+6256,J0039.1+6257,,J0039.3+6256,J0039.1+6257,,J0039.3+6256,J0039.1+6257,,J0039.3+6256
95,J2035.0+3634,J2035.0+3632,,J2035.0+3634,J2035.0+3632,psr,J2035.0+3634,J2035.0+3632,MSP,J2035.0+3634,J2035.0+3632,MSP,J2035.0+3634
96,J2048.8+4436,,,,,,,J2049.3+4440c,,J2048.8+4436,J2049.3+4440c,,J2048.8+4436
97,J1329.8-6109,J1329.9-6108,,J1329.8-6109,J1329.9-6108,,J1329.8-6109,J1329.9-6108,,J1329.8-6109,J1329.9-6108,,J1329.8-6109
98,J1813.6-1148,J1813.7-1152,,J1813.6-1148,J1813.7-1152,,J1813.6-1148,J1813.7-1152,,J1813.6-1148,J1813.7-1152,,J1813.6-1148
99,J2038.4+4212,J2038.4+4212,,J2038.4+4212,J2038.4+4212,,J2038.4+4212,J2038.4+4212,,J2038.4+4212,J2038.4+4212,,J2038.4+4212
