,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl
41,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1652.2-4633e,,J1650.3-4600,J1650.3-4600,PSR,J1650.3-4600
42,J1650.3-4600,16.18,252.599,−46.0141,0.99,0.84,YNG/YNG,J1652.2-4633e,,J1650.3-4600,J1652.2-4633e,,J1650.3-4600
43,J1056.7-5853,16.11,164.179,−58.8960,1.0,0.67,YNG/YNG,J1056.9-5852,PSR,J1056.7-5853,J1056.9-5852,PSR,J1056.7-5853
44,J1112.0-6135,15.69,168.017,−61.5842,0.97,0.65,YNG/YNG,,,,,,
45,J0914.5-4736,15.57,138.641,−47.6152,0.5,0.39,YNG/YNG,,,,,,
46,J1358.5-6025,15.43,209.643,−60.4298,1.0,0.7,YNG/YNG,J1358.3-6026,,J1358.5-6025,J1358.3-6026,,J1358.5-6025
47,J1104.9-6036,15.4,166.248,−60.6091,1.0,0.85,YNG/YNG,J1104.9-6037,PSR,J1104.9-6036,J1104.9-6037,PSR,J1104.9-6036
48,J0545.6+6019,15.39,86.415,60.3219,0.56,0.37,MSP/MSP,J0545.7+6016,,J0545.6+6019,J0545.7+6016,,J0545.6+6019
49,J1742.6-3321,15.31,265.665,−33.3562,1.0,0.83,YNG/YNG,,,,,,
50,J1857.9+0210,15.19,284.49,2.1704,1.0,0.85,YNG/YNG,,,,,,
51,J1740.5-2843,15.13,265.125,−28.7170,1.0,0.76,YNG/YNG,,,,,,
52,J1748.3-2815c,15.11,267.092,−28.2589,0.98,0.78,YNG/YNG,,,,,,
53,J1754.0-2930,15.03,268.5,−29.5059,0.99,0.65,YNG/YNG,,,,,,
54,J0238.0+5237,14.99,39.505,52.6256,0.97,0.65,MSP/MSP,J0237.8+5238,,J0238.0+5237,J0237.8+5238,,J0238.0+5237
55,J1839.3-0552,14.92,279.848,−5.8816,1.0,0.88,YNG/YNG,J1839.4-0553,unk,J1839.3-0552,J1839.4-0553,unk,J1839.3-0552
56,J2117.6+3725,14.5,319.421,37.4256,0.98,0.3,MSP/MSP,J2117.9+3729,,J2117.6+3725,J2117.9+3729,,J2117.6+3725
57,J0419.1+6636,14.47,64.778,66.6049,0.26,0.33,MSP/MSP,J0418.9+6636,,J0419.1+6636,J0418.9+6636,,J0419.1+6636
58,J2212.5+0703,14.28,333.147,7.0598,0.69,0.4,MSP/MSP,J2212.4+0708,,J2212.5+0703,J2212.4+0708,,J2212.5+0703
59,J1447.3-5800,14.23,221.831,−58.0049,1.0,0.61,YNG/YNG,J1447.4-5757,,J1447.3-5800,J1447.4-5757,,J1447.3-5800
60,J0426.7+5437,14.19,66.681,54.6168,1.0,0.71,YNG/YNG,J0426.5+5434,,J0426.7+5437,J0426.5+5434,,J0426.7+5437
61,J0858.6-4357,14.13,134.657,−43.9582,0.94,0.56,YNG/YNG,,,,,,
62,J0953.7-1510,14.0,148.429,−15.1745,0.97,0.88,MSP/MSP,J0953.6-1509,,J0953.7-1510,J0953.6-1509,,J0953.7-1510
63,J1901.5-0126,13.97,285.399,−1.4481,0.31,0.26,YNG/YNG,J1901.4-0126,PSR,J1901.5-0126,J1901.4-0126,PSR,J1901.5-0126
64,J1624.1-4700,13.9,246.042,−47.0058,0.88,0.58,YNG/YNG,,,,,,
65,J0838.8-2829,13.74,129.704,−28.4892,0.6,0.57,MSP/MSP,J0838.7-2827,unk,J0838.8-2829,J0838.7-2827,bin,J0838.8-2829
66,J1852.8+0158,13.71,283.209,1.9722,0.98,0.78,YNG/YNG,,,,J1852.6+0203,,J1852.8+0158
67,J1317.6-6315,13.53,199.403,−63.2598,0.97,0.64,YNG/YNG,J1317.5-6316,,J1317.6-6315,J1317.5-6316,,J1317.6-6315
68,J1231.6-5113,13.45,187.902,−51.2210,0.99,0.39,YNG/MSP,J1231.6-5116,,J1231.6-5113,J1231.6-5116,,J1231.6-5113
69,J1641.5-5319,13.22,250.378,−53.3237,0.99,0.57,YNG/MSP,J1641.2-5317,PSR,J1641.5-5319,J1641.2-5317,PSR,J1641.5-5319
70,J1120.6+0713,13.18,170.172,7.2235,0.11,0.45,MSP/MSP,J1120.6+0713,bcu,J1120.6+0713,J1120.6+0713,bcu,J1120.6+0713
71,J1026.2-5730,13.14,156.56,−57.5166,0.96,0.85,YNG/YNG,J1026.2-5731,,J1026.2-5730,J1026.2-5731,,J1026.2-5730
72,J1843.7-0322,13.09,280.928,−3.3772,1.0,0.7,YNG/YNG,J1843.7-0326,,J1843.7-0322,J1843.7-0326,,J1843.7-0322
73,J0223.6+6204,12.88,35.906,62.0811,1.0,0.86,YNG/YNG,J0222.4+6156e,snr,J0223.6+6204,J0222.4+6156e,snr,J0223.6+6204
74,J0737.2-3233,12.87,114.314,−32.5588,0.98,0.51,YNG/MSP,J0736.9-3231,,J0737.2-3233,J0736.9-3231,,J0737.2-3233
75,J1503.5-5801,12.8,225.893,−58.0294,0.92,0.51,YNG/YNG,J1503.7-5801,bcu,J1503.5-5801,J1503.7-5801,bcu,J1503.5-5801
76,J0318.1+0252,12.76,49.536,2.8695,0.88,0.82,MSP/MSP,J0318.2+0254,PSR,J0318.1+0252,J0318.2+0254,PSR,J0318.1+0252
77,J1740.5-2726,12.75,265.134,−27.4500,1.0,0.7,YNG/YNG,,,,,,
78,J2233.1+6542,12.69,338.279,65.7148,0.98,0.32,YNG/YNG,,,,,,
