,4FGLDR3,CLASS1-4FGLDR3,4FGLDR3-3FGL
169,J0039.1+4330,bcu,J0039.1+4330
170,J0039.7+4203,,
171,J0040.2-2725,,
172,J0040.3+4050,bll,J0040.3+4049
173,J0040.4-2340,bll,J0040.5-2339
174,J0040.7-7157,,
175,J0040.9+3203,bcu,
176,J0041.3+6052,bcu,
177,J0041.4+3800,fsrq,
178,J0041.7-1607,bcu,
179,J0041.9-4702,bll,
180,J0042.0+3640,bll,J0041.9+3639
181,J0042.2+2319,fsrq,J0042.0+2318
182,J0042.3+3509,,
183,J0043.2+4114,gal,J0042.5+4117
184,J0043.5-0442,bll,J0043.5-0444
185,J0043.6+2223,bcu,
186,J0043.7-1116,bll,J0043.7-1117
187,J0043.8+3425,fsrq,J0043.8+3425
188,J0044.2-8424,fsrq,J0046.7-8419
189,J0044.8+6802,bcu,
190,J0044.9+4553,bcu,
191,J0045.1-3706,fsrq,J0045.2-3704
192,J0045.3+2128,bll,J0045.3+2126
193,J0045.7+1217,bll,J0045.7+1217
194,J0045.8-1324,,
195,J0045.9-2021,,
196,J0046.7-7048,,
197,J0046.9+0705,,
198,J0047.0+5657,bll,J0047.0+5658
199,J0047.1-6203,bcu,
200,J0047.3+6943,unk,
201,J0047.5-2517,sbg,J0047.5-2516
202,J0047.9+3947,bll,J0048.0+3950
203,J0047.9+5448,bcu,J0047.9+5447
204,J0047.9+2233,fsrq,J0048.0+2236
205,J0048.6-6347,,J0048.1-6343
206,J0048.6-2427,bcu,
207,J0049.0+2252,bll,
208,J0049.1+4223,bll,J0049.0+4224
209,J0049.4-5402,bll,J0049.4-5401
210,J0049.5-4150,bcu,J0049.4-4149
211,J0049.6-4500,fsrq,J0050.0-4458
212,J0049.7+0237,bll,J0049.7+0237
213,J0050.0-5736,fsrq,J0049.8-5737
214,J0050.4-0452,fsrq,J0050.4-0449
215,J0050.7-0929,BLL,J0050.6-0929
216,J0050.8-3428,bcu,
217,J0051.1-0648,fsrq,J0051.0-0649
218,J0051.2-6242,bll,J0051.2-6241
219,J0051.5-4220,fsrq,
220,J0052.1+6444,,J0051.6+6445
221,J0052.9-6644,bcu,
222,J0054.4+8627,bcu,
223,J0054.4-1503,,
224,J0054.7-2455,bll,J0054.8-2455
225,J0054.8-1954,bcu,
226,J0055.1-1219,bcu,J0055.2-1213
227,J0055.7+4507,,
228,J0056.3-0935,bll,J0056.3-0935
229,J0056.4-2118,bll,J0056.3-2116
230,J0056.5-3936,bll,
231,J0056.6-4452,bll,
232,J0056.6-5317,bcu,
233,J0056.8+1626,bll,
234,J0057.0+4101,bcu,
235,J0057.3+2216,bcu,
236,J0057.5+6814,,
237,J0057.7+3023,rdg,
238,J0057.9+6326,,
239,J0058.0-7245e,GAL,J0059.0-7242e
240,J0058.0-0539,fsrq,J0057.9-0542
241,J0058.0-3233,bll,J0058.0-3233
242,J0058.1+6915,,
243,J0058.3+1723,bll,
244,J0058.3-4603,,
245,J0058.4+3315,fsrq,J0058.3+3315
246,J0058.6-1140,bcu,
247,J0059.2+0006,fsrq,J0059.6+0003
248,J0059.3-0152,bll,J0059.2-0152
249,J0059.4-5654,,J0059.1-5701
250,J0059.5-3512,bll,
251,J0059.5-3338,fsrq,
252,J0059.7-7210,sfr,
253,J0100.3+0745,bll,J0100.2+0745
254,J0101.0-0059,bll,
255,J0101.1-6422,MSP,J0101.0-6422
256,J0101.7-5455,bll,
257,J0101.8-7543,fsrq,
258,J0102.0-6240,,
259,J0102.0+1639,bcu,
260,J0102.1+5846,bcu,
261,J0102.1+4458,,J0102.1+4458
262,J0102.3+1000,,
263,J0102.4+4214,fsrq,J0102.3+4217
264,J0102.4+0942,bll,J0102.1+0943
265,J0102.6-5639,bcu,
266,J0102.7-2001,bcu,
267,J0102.8+5824,fsrq,J0102.8+5825
268,J0102.8+4839,MSP,J0102.8+4840
269,J0102.9-7051,glc,
270,J0103.1+4954,bcu,
271,J0103.5+1526,bll,
272,J0103.5+5337,bll,J0103.4+5336
273,J0103.8+1321,bll,J0103.7+1323
274,J0104.6-0818,,
275,J0104.8-2215,,
276,J0104.8-2416,fsrq,J0105.1-2415
277,J0105.1+3929,bll,J0105.3+3928
278,J0106.1+1131,,
279,J0106.4+4855,PSR,J0106.5+4855
280,J0106.9-4832,bcu,
281,J0107.3-1210,bll,J0107.0-1208
282,J0107.4+0334,bll,
283,J0107.4+0459,,
284,J0107.6+4950,bcu,
285,J0108.1-0039,fsrq,J0108.5-0035
286,J0108.6+0134,fsrq,J0108.7+0134
287,J0109.1+1815,bll,J0109.1+1816
288,J0109.3+2401,bcu,
289,J0109.7+6133,fsrq,J0109.8+6132
290,J0110.0-5246,,
291,J0110.0-4019,bll,J0109.9-4020
292,J0110.1+6805,bll,J0110.2+6806
293,J0110.2+4151,bll,
294,J0110.3-0431,bcu,
295,J0110.7-1254,bll,J0110.9-1254
296,J0110.9+4344,bcu,
297,J0111.4+0534,bll,J0111.5+0535
298,J0111.5-2546,bcu,
299,J0112.0+3442,,
300,J0112.0-6634,fsrq,
301,J0112.1+2245,BLL,J0112.1+2245
302,J0112.1-0321,fsrq,
303,J0112.5-0651,,
304,J0112.6-3158,bll,
305,J0112.8-7506,bll,J0112.9-7506
306,J0112.8+3208,fsrq,J0112.8+3207
307,J0113.1-3553,fsrq,J0113.0-3554
308,J0113.4+4948,fsrq,J0113.4+4948
309,J0113.7+0225,bll,
310,J0114.0+6418,bcu,
311,J0114.8+1326,bll,J0114.8+1326
312,J0114.9-3400,bll,
313,J0115.1+2622,bcu,
314,J0115.1-0129,fsrq,
315,J0115.4-2917,,
316,J0115.6+0356,bll,J0115.7+0356
317,J0115.8+2519,bll,J0115.8+2519
318,J0116.0-1136,fsrq,J0116.0-1134
319,J0116.0-2745,bll,J0116.2-2744
320,J0116.2-6153,bll,J0116.3-6153
321,J0116.5-2812,bll,
322,J0116.5-3046,fsrq,
323,J0116.8+6914,,J0116.8+6913
324,J0117.5-2442,bll,
325,J0117.8-2109,fsrq,J0117.8-2113
326,J0117.9+1430,,
327,J0118.3-6008,,
328,J0118.7-0848,bcu,
329,J0118.9-2141,fsrq,J0118.8-2142
330,J0119.0-1458,bll,J0118.9-1457
331,J0119.4-5354,bcu,
332,J0119.6+4158,bll,
333,J0119.9+4053,bcu,
334,J0120.1+0505,,
335,J0120.2-7944,,
336,J0120.4-2701,bll,J0120.4-2700
337,J0121.7+5153,bcu,J0121.7+5154
338,J0121.8+1147,fsrq,
339,J0121.8-3916,bll,J0121.8-3917
340,J0122.1-3004,bcu,
341,J0122.4+1034,,
342,J0123.1+3421,bll,J0122.8+3423
343,J0123.7+4209,bll,
344,J0123.7-2311,bll,J0123.7-2312
345,J0124.0+3035,,
346,J0124.8-0625,bll,J0125.2-0627
347,J0125.3+6820,,
348,J0125.3-5112,fsrq,
349,J0125.3-2548,bll,J0125.4-2548
350,J0125.4+3200,bcu,
351,J0125.7-0015,fsrq,
352,J0125.8-6348,,
353,J0125.8+2605,bcu,
354,J0125.9-6303,,
355,J0126.0-2221,fsrq,J0126.1-2227
356,J0126.3-6746,,
357,J0126.5-1553,bcu,
358,J0126.8+2412,,
359,J0127.1+3310,bll,
360,J0127.2-0819,bll,J0127.1-0818
361,J0127.2+0324,bll,J0127.2+0325
362,J0127.3-0148,bll,
363,J0127.4-4813,bcu,
364,J0127.9+4857,bll,J0127.6+4851
365,J0127.9+1737c,,
366,J0128.1+7542,,
367,J0128.2-1722,bcu,
368,J0128.2+4400,bcu,
369,J0128.3+5710,bcu,
370,J0128.4+2614,,J0127.9+2551
371,J0128.5+4440,fsrq,J0128.5+4430
372,J0128.8-4626,,
373,J0129.0+6312,bcu,J0128.4+6257
374,J0129.7+3436,bll,
375,J0129.8+1440,fsrq,J0130.8+1441
376,J0130.4-2129,bcu,
377,J0130.6+1844,bcu,
378,J0131.1+6120,bll,J0131.2+6120
