,1FGL,CLASS1-1FGL,1FGL-BSL
171,J0310.6+3812,bzq,
172,J0311.3-0922,,
173,J0312.6+0131,bzq,
174,J0315.6-5109,,
175,J0315.9-2609,bzb,
176,J0315.9-1033,bzq,
177,J0316.1+0904,bzb,
178,J0316.3-6438,,
179,J0318.1+0254,,
180,J0319.7+1847,bzb,
181,J0319.7+4130,agn,J0320.0+4131
182,J0322.1+2336,bzb,
183,J0323.7-0106,bzb,
184,J0325.0+3403,agn,
185,J0325.6-5626,agu,
186,J0325.9-1649,bzb,
187,J0325.9+2219,bzq,
188,J0326.2+0222,bzb,
189,J0332.0+6310,,
190,J0333.7+2919,,
191,J0334.2-4010,bzb,J0334.1-4006
192,J0334.2+3233,,
193,J0334.2+7501,,
194,J0334.3+6536,agu,
195,J0334.4-3727,bzb,
196,J0335.5-4501,,
197,J0336.0+7845,,
198,J0338.8+1313,,
199,J0339.1-1734,agn,
200,J0339.2-0143,bzq,
201,J0340.4+4130,,
202,J0341.5+5304,,
203,J0342.2+3859,,
204,J0343.4-2536,bzq,
205,J0345.2-2355,,
206,J0348.5-2751,bzq,
207,J0349.9-2104,bzq,J0349.8-2102
208,J0352.8+5658,,
209,J0354.6+8009,agu,
210,J0357.1-4949,bzb,
211,J0357.8+3205,PSR,J0357.5+3205
212,J0359.5+5410,,
213,J0401.3-3152,,
214,J0402.1-2618,agu,
215,J0402.2+6810,,
216,J0403.9-3603,bzq,
217,J0404.5-0850,,
218,J0405.6-1309,bzq,
219,J0407.4-3827,bzq,J0407.6-3829
220,J0407.5+0749,bzq,
221,J0409.9-0357,,
222,J0411.6+5459,,
223,J0412.2+2103,,
224,J0413.4-5334,bzq,J0412.9-5341
225,J0416.5-1851,bzq,
226,J0416.8+0107,bzb,
227,J0419.0+3811,agn,
228,J0422.0-0647,bzq,
229,J0422.1+0211,bzq,
230,J0423.2-0118,bzq,J0423.1-0112
231,J0423.8+4148,agu,
232,J0424.8+0036,bzb,
233,J0426.5+5437,,
234,J0427.3+2028,,
235,J0427.5+0515,,
236,J0427.9+5556,,
237,J0428.6-3756,bzb,J0428.7-3755
238,J0430.3+3511c,,
239,J0430.4-2509,bzb,
240,J0433.5+2905,bzb,
