,1FGL,CLASS1-1FGL,1FGL-BSL
876,J1522.6-2732,bzb,
877,J1527.6+4152,,
878,J1531.8+3018,bzb,
879,J1536.5-4949,,J1536.7-4947
880,J1536.6+8200,agu,
881,J1539.0-3328,,
882,J1539.7+2747,bzq,
883,J1542.6-5407c,,
884,J1542.9+6129,bzb,J1543.1+6130
885,J1542.9-2559,,
886,J1544.0-0252,,
887,J1544.5-1127,,
888,J1548.6+1451,,
889,J1548.7-2250,bzb,
890,J1548.7+6311,,
891,J1548.9-5509c,,
892,J1549.3+0235,bzq,
893,J1549.7-0659,,
894,J1550.7+0527,bzq,
895,J1551.7+0851,bzb,
896,J1552.4-5609,spp,
897,J1553.4+1255,bzq,J1553.4+1255
898,J1553.4-2425,agu,
899,J1553.5-3116,,
900,J1553.6-0300c,,
901,J1553.9+4952,,
902,J1554.0-5345c,,
903,J1554.8-5312c,,
904,J1555.7+1111,bzb,J1555.8+1110
905,J1555.9-5226c,,
906,J1558.9+5627,bzb,
907,J1600.7-3055,psr,
908,J1601.7-4217c,,
909,J1603.8-4903,agu,J1604.0-4904
910,J1604.3+5710,bzq,
911,J1604.7-4443,agu,
912,J1607.1+1552,agn,
913,J1607.5-2030,,
914,J1609.0+1031,bzq,
915,J1610.6-6649,bzb,
916,J1610.8-3955,bzq,
917,J1613.5+3411,bzq,
918,J1613.6-5100c,,
919,J1614.0-2230,PSR,
920,J1614.7-5138c,,
921,J1616.1+4637,bzq,
922,J1616.6-5035c,,
923,J1617.5-5105c,spp,
924,J1617.7-5843,agu,
925,J1617.9-7716,bzq,
926,J1619.3-5222,,
927,J1619.7-5043c,,
928,J1620.8-4928c,,
929,J1620.9-2731,,
930,J1622.9-5008c,,
931,J1623.5-2345c,,
932,J1623.7-4943c,,
933,J1624.0-4041,,
934,J1624.7-0642,agu,
935,J1625.3-0019,,
936,J1625.7-2524,bzq,J1625.8-2527
937,J1625.8-2429c,,J1625.9-2423
938,J1626.0-4917c,,
939,J1626.2-2956,bzq,
940,J1626.2-2038,,
941,J1627.6+3218,,
942,J1627.8-3204,,
943,J1627.8-1711c,,
944,J1627.9+0254,,
945,J1628.6-2419c,,
946,J1629.5-6147,agu,
947,J1630.2+5220,bzb,
948,J1630.3-1042,,
949,J1630.5+3735,,
950,J1632.7-4733c,,
951,J1632.7-2431c,,
952,J1632.9-4802c,,
953,J1635.0+3808,bzq,J1635.2+3809
954,J1635.4+8228,agn,
955,J1635.7-4715c,pwn,
956,J1636.4-4737c,,
957,J1637.9+4707,bzq,
958,J1639.5-5152,,
959,J1640.8-4634c,spp,
960,J1641.0+1143,agn,
961,J1642.5+3947,,
962,J1643.5-0646,,
963,J1645.0-2155c,,
964,J1647.4+4948,agn,
965,J1647.9-1119,,
966,J1648.4-4609c,psr,J1648.1-4606
967,J1649.3-4501c,,
968,J1649.6+5241,,
969,J1650.3-5410,,
970,J1650.4-5042,agu,
971,J1651.5-4602c,,
972,J1652.8-4350c,,
973,J1653.6-0158,,J1653.4-0200
974,J1653.9+3945,bzb,J1653.9+3946
975,J1656.2-3257,,
976,J1656.9+6017,bzq,
977,J1656.9-1033,,
978,J1658.8-5317,,
979,J1700.1+6830,bzq,
980,J1701.1-3005,glc,
981,J1702.4-4147c,,
982,J1702.4-5653,,
983,J1702.7-6217,bzq,
984,J1705.5-4034c,,
985,J1707.1-4158c,,
986,J1707.9-4110c,,
987,J1708.4-0755,,
988,J1709.1-0343,,
989,J1709.6+4320,bzq,
990,J1709.7-4429,PSR,J1709.7-4428
991,J1709.8-2026,,
992,J1711.7-3944c,spp,
993,J1713.9+0750,psr,
994,J1714.5-3830c,,J1714.7-3827
995,J1715.2-3319,,
996,J1716.9-3830c,,
997,J1717.9-3729c,,
998,J1717.9-3343,bzb,
999,J1718.2-3825,PSR,
1000,J1719.2+1745,bzb,J1719.3+1746
1001,J1720.7-3707c,,
1002,J1721.1+0713,,
1003,J1722.4-0421,,
1004,J1722.5+1012,bzq,
1005,J1724.0-3611c,,
1006,J1724.0-3448c,,
1007,J1724.0+4002,agn,
1008,J1725.0+1151,bzb,
1009,J1725.2-0509,,
1010,J1725.5+5854,bzb,
1011,J1725.5-2832,spp,
1012,J1726.2-3521c,,
1013,J1726.2-0724,,
1014,J1727.3+4525,bzq,
1015,J1727.9+5010,bzb,
1016,J1728.2+0431,bzq,
1017,J1729.1-3452c,,
1018,J1729.1-3641c,,
1019,J1729.8-4148,,
1020,J1730.0-3408c,,
1021,J1730.4-2406,,
1022,J1730.4+0008,bzq,
1023,J1730.7-0352,,
1024,J1730.8+3716,bzb,
1025,J1732.0-2957,,
1026,J1732.3-3243c,,
1027,J1732.5-3131,PSR,
1028,J1733.0-1308,bzq,
1029,J1733.2-2628,,
1030,J1734.4+3859,bzq,
1031,J1735.1-0729,,
1032,J1735.4-1118,agu,
1033,J1735.7+2031,,
1034,J1735.9-4438,glc,
1035,J1736.3+0628,bzq,
1036,J1738.5-2656,,
1037,J1739.4+8717,,
1038,J1740.0+5209,,
1039,J1740.3-3053c,,
1040,J1741.8-2101,PSR,J1742.1-2054
1041,J1742.1+5947,bzb,
1042,J1743.5-3314,,
1043,J1743.8-7620,,
1044,J1744.0-2931c,,
1045,J1744.2+1934,bzb,
1046,J1744.4-1134,PSR,
1047,J1744.6-0354,,
1048,J1745.5+1018,,
1049,J1745.6-2900c,spp,
1050,J1745.6-0751,bzb,
1051,J1746.4-2849c,pwn,
1052,J1746.7-3233,,
1053,J1747.0+0221c,,
1054,J1747.2-2958,PSR,
1055,J1747.4-4035,,
1056,J1747.6-2820c,,
1057,J1747.9-2448,glc,
1058,J1748.3-2916c,,
1059,J1748.5+7004,bzb,
1060,J1748.7-2020,glc,
1061,J1749.0+4323,bzb,
1062,J1749.5-0301,,
1063,J1751.5+0937,bzb,J1751.5+0935
1064,J1754.0-5002,,
1065,J1754.3+3212,,
1066,J1754.5-2537c,,
1067,J1756.6+5524,bzb,
1068,J1800.4+7827,bzb,J1802.2+7827
1069,J1800.5-2359c,,
1070,J1801.3-2322c,spp,J1801.6-2327
1071,J1802.5-3939,agu,J1802.6-3939
1072,J1803.1-2147c,,
1073,J1804.1+0336,bzq,
1074,J1805.2-2137c,spp,J1805.3-2138
1075,J1806.2+0609,,
1076,J1806.8-2109c,spp,
1077,J1807.0+6945,bzb,
1078,J1807.0-0906,,
1079,J1807.6-4341,glc,
1080,J1808.5-1954c,,
1081,J1809.6+2908,bzb,
1082,J1809.8-2332,PSR,J1809.5-2331
1083,J1810.3+1741,,
1084,J1810.9-1905c,,
1085,J1811.0+1607,,
1086,J1811.3-1959c,psr,
1087,J1811.3+0340,,
1088,J1813.3-1246,PSR,J1813.5-1248
1089,J1813.4+3141,bzb,
1090,J1814.0-1736c,,J1814.3-1739
1091,J1816.2-0942,,
1092,J1816.7+4509,,
1093,J1817.0+2519,,
1094,J1817.6-1651c,,
1095,J1818.1+0905,bzq,
1096,J1818.7-1557c,,
1097,J1819.4-1518c,,
1098,J1820.5-3216,,
1099,J1821.1-1425c,,
1100,J1822.6-0340,,
1101,J1823.0+0828,,
1102,J1823.2-1336c,,
1103,J1823.4-3009,,
1104,J1823.5-3454,,
1105,J1824.0+5651,bzb,
1106,J1824.5-2449,glc,
1107,J1824.6+1013,,
1108,J1825.7-1410c,,
1109,J1826.1-1256,PSR,J1825.9-1256
1110,J1826.2-1450,HXB,J1826.3-1451
1111,J1827.9-1128c,,
1112,J1829.3-2423,,
1113,J1829.6-1006c,,
1114,J1829.8+5404,bzb,
1115,J1829.8+4845,agn,
1116,J1830.0+0043,,
1117,J1830.1+0618,agu,J1830.3+0617
1118,J1830.1-0425,,
1119,J1831.5-0200c,,
1120,J1832.6-5700,bzb,
1121,J1833.2-6502,,
1122,J1833.5-1034,PSR,
1123,J1833.6-2103,bzq,J1833.4-2106
1124,J1834.3-0842c,spp,J1834.4-0841
1125,J1834.7-0709c,spp,
1126,J1835.3-3255,glc,
1127,J1835.3+1345,,
1128,J1836.2+5925,PSR,J1836.2+5924
1129,J1836.3+3135,,
1130,J1837.5-0659c,,
1131,J1838.6+4756,bzb,
1132,J1839.1-0543c,,J1839.0-0549
1133,J1841.9+3220,,
1134,J1842.0-1409,,
1135,J1842.3-5845,,
1136,J1842.9-0359c,,
1137,J1844.1+1547,,
1138,J1844.2-0342c,,J1844.1-0335
1139,J1844.3-0309c,,
1140,J1845.9-1133,,
1141,J1846.0-0831,,
1142,J1846.4+0919,PSR,
1143,J1846.8-0233c,,
1144,J1848.1-0145c,,J1848.6-0138
1145,J1848.5+3224,bzq,J1847.8+3223
1146,J1849.0-0055c,,
1147,J1849.3+6705,bzq,J1849.4+6706
1148,J1849.6-4314,bzb,
1149,J1849.7-0121c,,
1150,J1850.2-0019c,,
1151,J1852.5+4853,bzq,
1152,J1853.1+0032c,,
1153,J1855.7-1136c,,
1154,J1856.1+0122,SNR,J1855.9+0126
1155,J1857.1+0212c,,
1156,J1857.9+0352c,,
1157,J1858.1-2218,,
1158,J1900.3+0420c,,
1159,J1901.6-7051,,
1160,J1902.0-5110,,
1161,J1902.3+0503c,,
1162,J1902.3-6802,bzq,
1163,J1903.0+5539,bzb,
1164,J1903.8-3718c,,
1165,J1904.4-2725,,
1166,J1904.4-0703,,
1167,J1906.6+0716c,,
1168,J1907.4-0358,,
1169,J1907.9+0602,PSR,
1170,J1908.2+0803c,,
1171,J1908.5-0138,,
1172,J1910.9+0906c,,J1911.0+0905
1173,J1911.1-5306,,
1174,J1911.2-2007,bzq,J1911.2-2011
1175,J1911.7+0307,,
1176,J1913.2-0744,,
1177,J1913.7+1007c,,
1178,J1916.0+1110c,spp,
1179,J1916.9-3028,,
1180,J1917.7-1922,bzb,
1181,J1918.4-4108,bzb,
1182,J1919.9+6633,,
1183,J1921.1-1234,agu,
1184,J1921.2+0132,,
1185,J1922.0-1608,bzb,
1186,J1922.9+1411,SNR,J1923.0+1411
1187,J1923.5-2104,bzq,J1923.3-2101
1188,J1925.0+1720c,,
1189,J1925.1-1018,bzb,
1190,J1925.2-2919,bzq,
1191,J1925.4-3811,,
1192,J1926.1+1601c,,
1193,J1926.5+1647c,,
1194,J1926.8+6153,,
1195,J1927.3-7932c,,
1196,J1928.7-0506,agu,
1197,J1929.0+1741c,,
1198,J1930.8+1653c,,
1199,J1931.2+0939,bzb,
1200,J1932.1+1914c,,
1201,J1933.3+0723,,
1202,J1934.9+2031c,agu,
1203,J1936.9-4720,bzb,
1204,J1938.2+2125c,,
1205,J1938.2-3957,bzq,
1206,J1940.1+2209c,,
1207,J1941.6+7214,agu,
1208,J1942.7+1033,,
1209,J1943.4+2340c,,
1210,J1945.0-0724c,,
1211,J1946.1-3118,bzb,
1212,J1946.7-5404,,
1213,J1948.6+2437,,
1214,J1950.0+0904,,
1215,J1950.4+1226,,
1216,J1952.9+3252,PSR,
1217,J1954.3+2836,PSR,J1954.4+2838
1218,J1954.8-1124,bzq,
1219,J1954.8+1402,agu,
1220,J1956.2-0238,,
1221,J1957.6+5033,PSR,
1222,J1958.4-3847,bzq,
1223,J1958.4-3013,,
1224,J1958.6+2845,PSR,
1225,J1958.9+3459,,
1226,J1959.3-4241,bzq,
1227,J1959.6+2047,psr,
1228,J1959.7-4730,,
1229,J2000.0+6508,bzb,J2000.2+6506
1230,J2000.9-1749,bzq,
1231,J2001.1+4351,agu,J2001.0+4352
1232,J2001.9+7040,agu,
1233,J2004.7+3343,,
1234,J2004.8+7004,,
1235,J2006.0+7751,bzb,
1236,J2006.6-2302,bzq,
1237,J2007.0+0145,,
1238,J2007.9-4430,agn,
1239,J2008.6-0419,agn,
1240,J2009.1+7228,bzb,
1241,J2009.5-4849,bzb,J2009.4-4850
1242,J2011.4-2903,,
1243,J2012.2+4629,agu,
1244,J2014.4+0647,,
1245,J2014.5-0047,,
1246,J2015.3-0129,bzb,
1247,J2015.7+3708,,
1248,J2015.8-3251,,
1249,J2016.2-0903,,
1250,J2017.3+0603,,J2017.2+0602
1251,J2017.9-1621,,
1252,J2020.0+4049,spp,
1253,J2020.4+7608,bzb,
1254,J2021.0+3651,PSR,J2020.8+3649
1255,J2021.5+4026,PSR,J2021.5+4026
1256,J2022.5-4532,,
1257,J2023.7-1141,bzq,
1258,J2025.6-0735,bzq,J2025.6-0736
1259,J2025.9-2852,agu,
1260,J2027.6+3335,,J2027.5+3334
1261,J2029.0-1840,,
1262,J2029.2+4924,agu,
1263,J2030.0+3641,,
1264,J2030.3-0617,bzq,
1265,J2030.9+4411,,
1266,J2031.5+1219,bzb,
1267,J2032.2+4127,PSR,J2032.2+4122
1268,J2032.4+4057,MQO,
1269,J2032.8+3928,,
1270,J2034.6-4202,,
1271,J2034.7+3639,,
1272,J2035.4+1100,bzq,
1273,J2037.0-3329,,
1274,J2037.1+5718c,,
1275,J2037.2+4944,,
1276,J2038.1+6552,,
1277,J2039.0-1047,bzb,
1278,J2039.4-5621,,
1279,J2040.0+4157c,,
1280,J2040.4+4652,,
1281,J2040.9-3701,,
1282,J2042.2+2427,,
1283,J2042.3+5041,spp,
1284,J2043.0-7317,,
1285,J2043.2+1709,,
1286,J2043.7+2740,PSR,
1287,J2046.0+4954,spp,
1288,J2046.4+3041,spp,
1289,J2047.6+1055,,
1290,J2049.1+3142,spp,
1291,J2049.7+1003,agu,
1292,J2050.1+0407,bzb,
1293,J2052.2+5059,,
1294,J2054.0-3307,,
1295,J2055.2+3144,spp,
1296,J2055.5-0023,bzb,
1297,J2055.8+2539,PSR,J2055.5+2540
1298,J2056.3-4714,bzq,J2056.1-4715
1299,J2056.7+4938,,
1300,J2057.4+3057,spp,
1301,J2058.8-3903,,
1302,J2103.0-1127,,
1303,J2103.9-6237,agu,
1304,J2104.6+2119,,
1305,J2105.9+6917,,
1306,J2107.5+5202c,,
1307,J2108.2+5246c,,
1308,J2108.5-0249,agu,
1309,J2108.6-6646,agu,
1310,J2110.0+0811,bzq,
1311,J2110.3+3820,,
1312,J2110.6+0403,,
1313,J2111.3+4607,,J2110.8+4608
1314,J2112.5-3044,,
1315,J2115.5+2937,bzq,
1316,J2116.1+3338,bzb,
1317,J2116.8+3729,,
1318,J2117.8+0016,bzq,
1319,J2118.3-3237,,
1320,J2120.2-1259,,
1321,J2120.9+1901,bzq,
1322,J2124.7-3358,PSR,J2124.7-3358
1323,J2126.1-4603,bzq,
1324,J2128.0+3623,,
1325,J2129.8-0427,,
1326,J2131.7-0914,bzb,
1327,J2133.4+2532,,
1328,J2134.0-0203,bzq,
1329,J2134.3-6429,,
1330,J2134.5-2130,,
1331,J2135.8-4957,bzq,
1332,J2139.3-4235,bzb,J2139.4-4238
1333,J2139.9+4715,,
1334,J2140.8-6743,,
1335,J2143.1-3927,bzb,
1336,J2143.4+1742,bzq,J2143.2+1741
1337,J2145.4-3358,bzq,
1338,J2146.6-1345,,
1339,J2147.0+3119,,
1340,J2147.2+0929,bzq,J2147.1+0931
1341,J2148.5+0654,bzq,
1342,J2149.7+0327,bzb,
1343,J2150.3-1410,bzb,
1344,J2152.4-7532,,
1345,J2152.5+1734,bzb,
1346,J2157.4+3129,bzq,J2157.5+3125
1347,J2157.9-1503,bzq,
1348,J2158.7+6547,,
1349,J2158.8-3013,bzb,J2158.8-3014
1350,J2159.9-1234,,
1351,J2201.6-8327,bzq,
1352,J2202.8+4216,bzb,J2202.4+4217
1353,J2203.5+1726,bzq,J2203.2+1731
1354,J2204.3-5017,,
1355,J2204.6+0442,agn,
1356,J2207.1-0021,bzb,
1357,J2207.5+6440,,
1358,J2207.8-5344,bzq,J2207.0-5347
1359,J2208.6+3903,,
1360,J2212.1+2358,bzq,
1361,J2212.9+0654,bzq,
1362,J2213.1-2529,bzq,
1363,J2214.5+5949,,
1364,J2214.8+3002,,J2214.8+3002
1365,J2216.1+5139,,
1366,J2217.1+2423,bzb,
1367,J2219.3+1804,bzq,
1368,J2222.5-5218,bzb,
1369,J2223.3+0103,,
1370,J2225.8-0457,bzq,
1371,J2227.4-7804,,
1372,J2227.7-3036,,
1373,J2228.5-1633,,
1374,J2229.0+6114,PSR,J2229.0+6114
1375,J2229.7-0832,bzq,J2229.8-0829
1376,J2232.5+1144,bzq,J2232.4+1141
1377,J2234.8+0944,,
1378,J2235.7-4817,bzq,
1379,J2236.2+2828,bzq,
1380,J2236.4-1432,bzb,
1381,J2237.2-3919,bzq,
1382,J2238.4+5903,PSR,
1383,J2241.9-5236,,J2241.7-5239
1384,J2243.1-2541,bzb,
1385,J2243.4+4104,,
1386,J2244.0+2021,bzb,
1387,J2246.3+1549,,
1388,J2247.3+0000,bzb,
1389,J2250.1+3825,bzb,
1390,J2250.8-2809,agn,
1391,J2250.8+6336,,
1392,J2251.2-4928,,
1393,J2251.7+4030,bzb,
1394,J2253.9+1608,BZQ,J2254.0+1609
1395,J2256.1+2414,,
1396,J2256.3-2009,bzb,
1397,J2256.9-1024,,
1398,J2257.9-3643,,
1399,J2258.0-2757,bzq,
1400,J2258.9-5525,bzb,
1401,J2259.9-8255,,
1402,J2300.4+3138,,
1403,J2302.8+4443,,J2302.9+4443
1404,J2304.3+3709,bzb,
1405,J2307.3+1452,bzb,
1406,J2310.0-3627,,
1407,J2310.9+0204,,
1408,J2311.0+3425,bzq,
1409,J2314.1+1444,agu,
1410,J2315.9-5014,bzb,
1411,J2321.4+1738,,
1412,J2321.6+2726,bzq,
1413,J2322.0+3208,bzq,
1414,J2322.3-0153,bzq,
1415,J2322.6+3435,bzb,
1416,J2323.0-4919,,
1417,J2323.4+5849,spp,
1418,J2323.5-0315,bzq,
1419,J2323.5+4211,bzb,
1420,J2325.2+3957,bzb,J2325.3+3959
1421,J2325.5-3559,bzq,
1422,J2325.6-4758,bzb,
1423,J2325.8-4043,,
1424,J2327.7+0943,bzq,J2327.3+0947
1425,J2328.6+1209,,
1426,J2329.2+3755,,
1427,J2329.2-4954,bzq,
1428,J2330.3-4745,,
1429,J2331.0-2145,bzq,
1430,J2333.0-5535,,
1431,J2334.2+4319,,
1432,J2334.3+0735,bzq,
1433,J2334.7+1429,bzb,
1434,J2338.3-0231,bzq,
1435,J2339.0+2123,bzb,
1436,J2339.7-0531,,J2339.8-0530
1437,J2341.6+8015,bzb,
1438,J2343.6+3437,bzb,
1439,J2344.6-1554,bzq,J2345.5-1559
1440,J2347.1+5142,bzb,
1441,J2347.3+0710,,
1442,J2348.0-1629,bzq,
1443,J2350.1-3005,,
1444,J2352.1+1752,,
1445,J2355.9-6613,,
1446,J2356.0-5253,,
1447,J2356.1+4037,,
1448,J2357.2+0445,,
1449,J2358.5-1809,,
1450,J2359.0-3035,bzb,
