,3fgl,signif,ra,decl,lr_p,rf_p,blr,4fgldr1,4fgldr1-cls1,4fgldr1-3fgl,4fgldr2,4fgldr2-cls1,4fgldr2-3fgl,4fgldr3,4fgldr3-cls1,4fgldr3-3fgl,4fgldr4,4fgldr4-cls1,4fgldr4-3fgl,4fgldr4_features,4fgldr4_labels,predict_lr_dr4,predict_nn_dr4,predict_dnn_dr4,predict_rf_dr4
0,J1744.1-7619,32.85,266.045,−76.3286,1.0,0.96,MSP/MSP,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,PSR,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619,J1744.0-7618,MSP,J1744.1-7619,"[2.17270565032959, 1.7611101865768433, 1.6676706075668335, 11.509117126464844, -30.631698326412778, -30.0527860967463, -28.161656456272848, -30.10925058262978, -23.074111772860462, 0.563420832157135, 0.0, 21.995731353759766, 67.72821807861328, -0.32520679063274727, 0.19862265598453366, -0.3298541681943984, -0.6660422074619055, -0.9793912620004541, -0.9999555919546463, -0.5633766025169012]",[0],PSR,PSR,PSR,PSR
1,J1653.6-0158,31.95,253.419,−1.9801,0.99,0.73,MSP/MSP,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,PSR,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158,J1653.6-0158,MSP,J1653.6-0158,"[2.3124747276306152, 2.0782742500305176, 2.0200955867767334, 23.96932029724121, -29.379030535031042, -28.964589735197258, -27.64947774695279, -29.036231312029663, -22.878322660117632, 0.28045085072517395, 0.07607295364141464, 15.45759105682373, 66.95426177978516, -0.1622043997881, -0.3566460933243639, -0.5859759122322097, -0.7313865965170941, -0.9548603050386226, -0.9999977803874203, 0.7714128718296855]",[0],PSR,PSR,PSR,PSR
2,J1035.7-6720,30.48,158.926,−67.3335,1.0,0.94,MSP/MSP,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,PSR,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720,J1035.4-6720,MSP,J1035.7-6720,"[2.2360355854034424, 1.9472793340682983, 1.8574066162109375, 5.971482753753662, -30.70937661252361, -30.17177400902841, -27.93301569498923, -30.21504379058716, -23.085959634647566, 0.4834795594215393, 0.0, 17.80937385559082, 56.503211975097656, 0.9902513706661025, 0.18668125240500033, -0.38123629422577426, -0.6863836316076456, -0.9503576356180036, -0.9999999647570709, -0.9950884605857147]",[0],PSR,PSR,PSR,PSR
3,J1119.9-2204,30.16,169.984,−22.0673,0.99,0.91,MSP/MSP,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,,J1119.9-2204,J1120.0-2204,lmb,J1119.9-2204,,,NA,NA,NA,NA
4,J2112.5-3044,30.14,318.145,−30.7344,0.99,0.94,MSP/MSP,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,J2112.5-3043,,J2112.5-3044,,,NA,NA,NA,NA
5,J1702.8-5656,28.81,255.72,−56.9357,0.92,0.36,MSP/MSP,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,,J1702.8-5656,J1702.7-5655,bin,J1702.8-5656,,,NA,NA,NA,NA
6,J1625.1-0021,28.53,246.279,−0.3586,1.0,0.98,MSP/MSP,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,PSR,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021,J1625.1-0020,MSP,J1625.1-0021,"[2.0818405151367188, 1.6389962434768677, 1.5597844123840332, 6.495921611785889, -30.71449637674858, -30.106391960506766, -28.107243600989758, -30.273617346455293, -22.893793346350705, 0.5675565004348755, 0.0, 20.76995849609375, 65.89846801757812, -0.5712036054117495, 0.034673469664352315, -0.234433816082001, -0.6083469185081225, -0.9821359174149449, -0.9999963225609189, 0.915793604346985]",[0],PSR,PSR,PSR,PSR
7,J1906.6+0720,26.27,286.671,7.3339,1.0,0.85,YNG/YNG,,,,,,,,,,,,,,,NA,NA,NA,NA
8,J0523.3-2528,26.14,80.839,−25.4763,0.52,0.36,MSP/MSP,J0523.3-2527,,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,J0523.3-2527,bin,J0523.3-2528,,,NA,NA,NA,NA
9,J1306.4-6043,25.45,196.615,−60.7317,1.0,0.9,MSP/MSP,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,,J1306.4-6043,J1306.3-6043,MSP,J1306.4-6043,"[2.1613926887512207, 1.7860713005065918, 1.7262948751449585, 19.327651977539062, -31.33043256824404, -30.82244178853285, -27.508931139525007, -30.89021856630226, -22.666461473488567, 0.45459994673728943, 0.07338503748178482, 16.045085906982422, 52.583984375, -0.33450755721674114, -0.10433471665048176, -0.17435972864174168, -0.46415398728271423, -0.8330291115384346, -0.9689268258329296, -0.9999704293420283]",[0],PSR,PSR,PSR,PSR
