,BSL,CLASS1-BSL,1FGL,CLASS1-1FGL,1FGL-BSL,2FGL,CLASS1-2FGL,2FGL-BSL,2FGL-1FGL
40,J0534.6+2201,PSR,J0534.5+2200,PSR,J0534.6+2201,J0534.5+2201,PSR,J0534.6+2201,J0534.5+2200
41,J0538.4-6856,,J0538.9-6914,gal,J0538.4-6856,,,,
42,J0538.8-4403,bzb,J0538.8-4404,bzb,J0538.8-4403,J0538.8-4405,BZB,J0538.8-4403,J0538.8-4404
43,J0613.9-0202,PSR,J0613.7-0200,PSR,J0613.9-0202,J0613.8-0200,PSR,J0613.9-0202,J0613.7-0200
44,J0614.3-3330,,J0614.1-3328,,J0614.3-3330,J0614.1-3329,PSR,J0614.3-3330,J0614.1-3328
45,J0617.4+2234, x,J0617.2+2233,SNR,J0617.4+2234,J0617.2+2234e,SNR,J0617.4+2234,J0617.2+2233
46,J0631.8+1034,PSR,J0631.4+1037,PSR,J0631.8+1034,J0631.5+1035,PSR,J0631.8+1034,J0631.4+1037
47,J0633.5+0634,PSR,J0633.7+0632,PSR,J0633.5+0634,J0633.7+0633,PSR,J0633.5+0634,J0633.7+0632
48,J0634.0+1745,PSR,J0633.9+1746,PSR,J0634.0+1745,J0633.9+1746,PSR,J0634.0+1745,J0633.9+1746
49,J0643.2+0858,,J0643.2+0859,agu,J0643.2+0858,J0643.2+0858,bzq,J0643.2+0858,J0643.2+0859
50,J0654.3+4513,bzq,J0654.3+4514,bzq,J0654.3+4513,J0654.2+4514,bzq,J0654.3+4513,J0654.3+4514
51,J0654.3+5042,bzu,J0654.4+5042,agu,J0654.3+5042,J0654.5+5043,bzq,J0654.3+5042,J0654.4+5042
52,J0700.0-6611,bzu,J0700.4-6611,agu,J0700.0-6611,J0700.3-6611,bzb,J0700.0-6611,J0700.4-6611
53,J0712.9+5034,bzb,J0712.7+5033,bzb,J0712.9+5034,J0712.9+5032,bzb,J0712.9+5034,J0712.7+5033
54,J0714.2+1934,bzq,J0714.0+1935,bzq,J0714.2+1934,J0714.0+1933,bzq,J0714.2+1934,J0714.0+1935
55,J0719.4+3302,bzq,J0719.3+3306,bzq,J0719.4+3302,J0719.3+3306,bzq,J0719.4+3302,J0719.3+3306
56,J0722.0+7120,bzb,J0721.9+7120,bzb,J0722.0+7120,J0721.9+7120,bzb,J0722.0+7120,J0721.9+7120
57,J0730.4-1142,bzq,J0730.3-1141,bzq,J0730.4-1142,J0730.2-1141,bzq,J0730.4-1142,J0730.3-1141
58,J0738.2+1738,bzb,J0738.2+1741,bzb,J0738.2+1738,J0738.0+1742,bzb,J0738.2+1738,J0738.2+1741
59,J0818.3+4222,bzb,J0818.2+4222,bzb,J0818.3+4222,J0818.2+4223,bzb,J0818.3+4222,J0818.2+4222
60,J0824.9+5551,bzq,J0825.0+5555,bzq,J0824.9+5551,J0824.9+5552,bzq,J0824.9+5551,J0825.0+5555
61,J0826.0-2228,bzb,J0825.8-2230,bzb,J0826.0-2228,J0825.9-2229,bzb,J0826.0-2228,J0825.8-2230
62,J0835.4-4510,PSR,J0835.3-4510,PSR,J0835.4-4510,J0835.3-4510,PSR,J0835.4-4510,J0835.3-4510
63,J0855.4+2009,bzb,J0854.8+2006,bzb,J0855.4+2009,J0854.8+2005,BZB,J0855.4+2009,J0854.8+2006
64,J0909.7+0145,bzb,,,,J0909.6+0158,bzb,J0909.7+0145,
65,J0910.2-5044,,J0910.4-5055,,J0910.2-5044,J0910.4-5050,agu,J0910.2-5044,J0910.4-5055
66,J0921.2+4437,bzq,J0920.9+4441,bzq,J0921.2+4437,J0920.9+4441,bzq,J0921.2+4437,J0920.9+4441
67,J0948.3+0019,bzq,J0949.0+0021,agn,J0948.3+0019,J0948.8+0020,SEY,J0948.3+0019,J0949.0+0021
68,J0957.6+5522,bzq,J0957.7+5523,bzq,J0957.6+5522,J0957.7+5522,bzq,J0957.6+5522,J0957.7+5523
69,J1012.9+2435,bzq,J1012.7+2440,bzq,J1012.9+2435,J1012.6+2440,bzq,J1012.9+2435,J1012.7+2440
70,J1015.2+4927,bzb,J1015.1+4927,bzb,J1015.2+4927,J1015.1+4925,bzb,J1015.2+4927,J1015.1+4927
71,J1015.9+0515,bzq,J1016.1+0514,bzq,J1015.9+0515,J1016.0+0513,bzq,J1015.9+0515,J1016.1+0514
72,J1018.2-5858, x,J1018.6-5856,spp,J1018.2-5858,J1019.0-5856,HMB,J1018.2-5858,
73,J1024.0-5754,,,,,J1023.5-5749c,,J1024.0-5754,
74,J1028.6-5817,PSR,J1028.4-5819,PSR,J1028.6-5817,J1028.5-5819,PSR,J1028.6-5817,J1028.4-5819
75,J1034.0+6051,bzq,J1033.8+6048,bzq,J1034.0+6051,J1033.9+6050,BZQ,J1034.0+6051,J1033.8+6048
76,J1045.6-5937,,J1045.2-5942,,J1045.6-5937,J1045.0-5941,,J1045.6-5937,J1045.2-5942
77,J1047.6-5834,PSR,J1048.2-5832,PSR,J1047.6-5834,J1048.2-5831,PSR,J1047.6-5834,J1048.2-5832
78,J1053.7+4926,bzb,J1053.6+4927,bzb,J1053.7+4926,J1053.6+4928,bzb,J1053.7+4926,J1053.6+4927
79,J1054.5+2212,bzb,J1054.5+2212,bzb,J1054.5+2212,J1054.5+2212,bzb,J1054.5+2212,J1054.5+2212
80,J1057.8+0138,bzq,J1058.4+0134,bzq,J1057.8+0138,J1058.4+0133,bzb,J1057.8+0138,J1058.4+0134
81,J1058.1-5225,PSR,J1057.9-5226,PSR,J1058.1-5225,J1057.9-5226,PSR,J1058.1-5225,J1057.9-5226
82,J1058.9+5629,bzb,J1058.6+5628,bzb,J1058.9+5629,J1058.6+5628,bzb,J1058.9+5629,J1058.6+5628
83,J1100.2-8000,bzb,J1058.1-8006,bzb,J1100.2-8000,J1057.0-8004,bzb,J1100.2-8000,J1058.1-8006
84,J1104.5+3811,bzb,J1104.4+3812,bzb,J1104.5+3811,J1104.4+3812,bzb,J1104.5+3811,J1104.4+3812
85,J1106.4-6055, x,,,,,,,
86,J1115.8-6108,,,,,,,,
87,J1123.0-6416,,J1122.9-6415,agu,J1123.0-6416,,,,
88,J1129.8-1443,bzq,J1130.2-1447,bzq,J1129.8-1443,J1130.3-1448,bzq,J1129.8-1443,J1130.2-1447
89,J1146.7-3808,bzq,J1146.9-3812,bzq,J1146.7-3808,J1146.8-3812,bzq,J1146.7-3808,J1146.9-3812
90,J1159.2+2912,bzq,J1159.4+2914,bzq,J1159.2+2912,J1159.5+2914,bzq,J1159.2+2912,J1159.4+2914
91,J1218.0+3006,bzb,J1217.7+3007,bzb,J1218.0+3006,J1217.8+3006,bzb,J1218.0+3006,J1217.7+3007
92,J1221.7+2814,bzb,J1221.5+2814,bzb,J1221.7+2814,J1221.4+2814,bzb,J1221.7+2814,J1221.5+2814
93,J1229.1+0202,bzq,J1229.1+0203,bzq,J1229.1+0202,J1229.1+0202,BZQ,J1229.1+0202,J1229.1+0203
94,J1231.5-1410,,J1231.1-1410,,J1231.5-1410,J1231.2-1411,PSR,J1231.5-1410,J1231.1-1410
95,J1246.6-2544,bzq,J1246.7-2545,bzq,J1246.6-2544,J1246.7-2546,bzq,J1246.6-2544,J1246.7-2545
96,J1248.7+5811,bzb,,,,,,,
97,J1253.4+5300,bzb,J1253.0+5301,bzb,J1253.4+5300,J1253.1+5302,bzb,J1253.4+5300,J1253.0+5301
98,J1256.1-0547,bzq,J1256.2-0547,BZQ,J1256.1-0547,J1256.1-0547,BZQ,J1256.1-0547,J1256.2-0547
99,J1310.6+3220,bzq,J1310.6+3222,bzq,J1310.6+3220,J1310.6+3222,bzq,J1310.6+3220,J1310.6+3222
100,J1311.9-3419,,J1311.7-3429,,J1311.9-3419,J1311.7-3429,,J1311.9-3419,J1311.7-3429
101,J1325.4-4303,rdg,J1325.6-4300,agn,J1325.4-4303,J1325.6-4300,RDG,J1325.4-4303,J1325.6-4300
