,3fgl,3fgl_features,3fgl_labels,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3,predict_lr_dr4
24,J0954.8-3948,"[2.2835311889648438, 3.938398696725973, -24.115409643370647, -27.426553266070623, 1.3622629045462475, -0.8902980790757848]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
25,J1848.4-0141,"[2.585076093673706, 3.9633103832027343, -25.318420701879006, -25.54504146676233, 2.330614829447537, -0.8479875126356313]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
26,J2004.4+3338,"[2.296311140060425, 3.9178647501056316, -26.299527416602253, -26.605729104464118, 1.2148442953727572, -0.8212505966336014]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
27,J2041.1+4736,"[2.1398167610168457, 4.030332635807625, -24.922816684887117, -26.779156418697195, 1.7477098523783454, -0.8343931106315731]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
28,J0854.8-4503,"[2.357306480407715, 3.8052347742920953, -27.065184241297654, -26.54040883705754, 1.8679520540629062, -0.633993252390884]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
29,J0744.1-2523,"[2.088628053665161, 4.11645834256464, -25.152554361483674, -27.054632305700405, 1.8150667597609358, -0.8508659935223293]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
30,J0002.6+6218,"[2.0862560272216797, 3.8716906822336505, -26.17163594467321, -27.09017557853559, 1.9800005308519917, -0.7886313770658465]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
31,J0336.1+7500,"[1.9428688287734985, 3.521888127921202, -27.11347099277701, -27.592253255440557, 1.5469001553596644, -0.7609981919197211]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
32,J1800.8-2402,"[2.3386693000793457, 3.842670016180377, -27.87729258862295, -25.711199819073066, 1.6921676594822492, -0.7682803820801796]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
33,J1754.0-2538,"[2.1505069732666016, 4.20308049352395, -27.391434146268406, -26.329007863322246, 2.0583207034054505, -0.035898228928277896]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
