,3fgl,3fgl_features,3fgl_labels,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1,predict_lr_dr2,predict_nn_dr2,predict_dnn_dr2,predict_rf_dr2,predict_lr_dr3,predict_nn_dr3,predict_dnn_dr3,predict_rf_dr3,predict_lr_dr4
97,J0541.1+3553,"[2.537951707839966, 3.560129832189234, -26.711851252839626, -26.78578043282824, 1.8016803616417074, -0.8443846927038091]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
98,J0312.1-0921,"[1.8716264963150024, 3.8619872079915307, -27.6457614017936, -27.8032912646863, 1.3873792921599606, -0.6246151920164974]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
99,J0855.4-4818,"[2.807915687561035, 3.521575336808051, -25.435193729669503, -26.462525758717074, 1.9704676032376451, -0.8738401236956435]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
100,J1919.9+1407,"[2.6945111751556396, 4.215524193786778, -26.842175119041052, -25.95957037801286, 1.405031231936145, -0.8485834353541495]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
101,J1544.6-1125,"[2.412781238555908, 3.8601519588532143, -26.649810598593987, -27.292108134602948, 1.3146313694946703, -0.8219401710727334]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
102,J2042.4+4209,"[2.6338536739349365, 3.9100803543219262, -26.989544767143414, -26.33511550433013, 1.6351441623448164, -0.8371379638828861]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
103,J1737.9-2511,"[2.647509813308716, 4.166313263441015, -25.268785360153593, -26.49941020589991, 1.8156955397331576, -0.9111995320332704]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
104,J2333.0-5525,"[2.22139048576355, 3.742545881206555, -28.329433143462513, -27.92033465660337, 0.9286073766452501, -0.8206408745129219]",[1],AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
105,J2039.4+4111,"[2.843832015991211, 3.8153316384591727, -25.34458035509555, -26.257328800849542, 1.9328478112313676, -0.8442318534597945]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
106,J1616.8-5343,"[2.530057668685913, 3.9207845594989035, -25.840365688617357, -26.66768768703668, 0.6251107657770136, -0.8833633273681469]",[1],AGN,PSR,PSR,AGN,AGN,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
107,J0857.6-4258,"[2.7347428798675537, 4.104983164954114, -26.509889482683192, -26.49535562553805, 1.5084972202227018, -0.8017079538691911]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
108,J1518.2-5232,"[2.2412147521972656, 4.13566893297169, -27.797941787625522, -27.04656763722827, 1.3068775496882041, -0.8108435861937016]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
109,J2034.6+4302,"[2.6670782566070557, 3.7233147333929355, -25.16986036836654, -26.382995547364683, 1.9612073982943854, -0.8681390586937786]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
110,J0641.1+1004,"[2.402113437652588, 3.815570113650942, -24.922634467984444, -26.74483596672871, 1.5298309866401598, -0.7937445358372155]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
111,J1652.8-4351,"[2.201786518096924, 4.1674707762330625, -27.328815159799806, -26.372947112585507, 1.675367204654248, -0.02080619386114684]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
112,J1627.8+3217,"[2.1392769813537598, 3.4973403213890992, -28.532669426761807, -27.81555466033546, 1.336758160320054, -0.13530459508119974]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
113,J2133.0-6433,"[2.3177871704101562, 3.9075632310413813, -28.448460435130656, -28.03746967625779, 1.567137663791156, -0.7759286820493476]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
114,J0915.8-5110,"[2.3481907844543457, 3.869923065828424, -23.47689695518855, -26.80881964314729, 1.6614504762835838, -0.825109667408156]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
115,J1900.8+0337,"[2.6127915382385254, 3.8257687880099116, -23.68089916205224, -25.941512070771743, 1.8891412232921823, -0.8734944827762631]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
116,J1844.3-0344,"[2.2825231552124023, 3.8018258984237554, -27.851962656929107, -26.075089191215305, 1.7458009949339832, 0.04134108808984392]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,AGN,AGN,PSR
117,J0940.6-7609,"[2.3902747631073, 3.875905528892137, -27.17952296093231, -27.454343681230743, 0.11391019792412575, -0.8781043052187139]",[1],AGN,PSR,PSR,AGN,AGN,PSR,PSR,AGN,AGN,PSR,AGN,AGN,PSR
118,J1744.7-2252,"[2.5729331970214844, 3.921325005317849, -24.5549918005328, -26.820925219967467, 1.8204511507326993, -0.8339277318048742]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
119,J1727.7-2637,"[2.488084077835083, 3.953249044288055, -24.429505850665155, -26.711339727734043, 1.8369253479270833, -0.9261372896948054]",[1],PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR,PSR,PSR,AGN,PSR
