,4fgldr1,4fgldr1-cls1_x,4fgldr1-3fgl,4fgldr1_features,4fgldr1_labels,3fgl,3fgl-cls1,4fgldr1-cls1_y,4fgldr2,4fgldr2-cls1,4fgldr3,4fgldr3-cls1,4fgldr4,4fgldr4-cls1,predict_lr_dr1,predict_nn_dr1,predict_dnn_dr1,predict_rf_dr1
10,J0009.1+0628,bll,J0009.1+0630,"[2.117138624191284, 2.0867202281951904, 1.999100685119629, 11.290437698364258, -31.81349808206431, -31.580117579177234, -28.188668404046684, -31.684115714516302, -23.679511190085726, 0.04512153938412666, 0.23110011219978333, 0.9813812971115112, 13.052364349365234, 0.9991807564316246, 0.1635193210567474, -0.6908289915688088, -0.4201161411655252, -0.602862467464339, -0.4903843654409759]",[1],J0009.1+0630,bll,bll,J0009.1+0628,bll,J0009.1+0628,bll,J0009.1+0628,bll,AGN,AGN,AGN,AGN
11,J0009.3+5030,bll,J0009.3+5030,"[1.9870309829711914, 1.8825231790542603, 1.7909055948257446, 132.09710693359375, -30.609822047990917, -30.41218371779509, -27.461054102575066, -30.50317535172283, -23.028304672492443, 0.06981314718723297, 0.3889666497707367, 4.384577751159668, 54.228363037109375, 0.2176459228751099, -0.44758024151472386, -0.49609715853839037, -0.4564067587982485, -0.6103414831422604, -0.5451608223783598]",[1],J0009.3+5030,bll,bll,J0009.3+5030,bll,J0009.3+5030,bll,J0009.3+5030,bll,AGN,AGN,AGN,AGN
12,J0009.7-3217,rdg,J0009.6-3211,"[2.198152780532837, 2.1488535404205322, 2.0064148902893066, 16.0730037689209, -32.04181721283755, -31.77599020039433, -28.609457873237996, -31.88076693734776, -24.122917339653608, 0.07579900324344635, 0.540166974067688, 0.8613283038139343, 7.085835933685303, -0.9999934189102634, 0.999981559537703, -0.5080588932403236, -0.7994822752674213, -0.1573300652453447, -0.9999585622079897]",[1],J0009.6-3211,bcu,rdg,J0009.7-3217,rdg,J0009.7-3217,rdg,J0009.7-3217,rdg,AGN,AGN,AGN,AGN
13,J0012.0+7043,bcu,J0012.4+7040,"[2.474785327911377, 2.47369647026062, 2.425987958908081, 13.295852661132812, -31.416287885515914, -31.270830619013566, -27.537375806785253, -31.04988645726774, -23.53246776499303, 0.008237446658313274, 0.35219794511795044, 0.16537851095199585, 7.808200836181641, 0.9143199778794447, -0.7198110113003547, -0.7224102377869138, -0.6352235392261114, -0.6704732337157497, -0.9943312035209722]",[1],J0012.4+7040,bcu,bcu,J0012.0+7043,bcu,J0012.0+7043,bcu,J0012.0+7043,bcu,AGN,AGN,AGN,AGN
14,J0013.1-3955,bll,J0013.2-3954,"[2.0500717163085938, 1.980901837348938, 1.7801696062088013, 11.164630889892578, -32.1054349053975, -31.82963864795633, -28.355093693895643, -31.894389223547922, -23.861212793772534, 0.07450506091117859, 0.22682440280914307, 1.4529521465301514, 16.90583038330078, 0.7558755047356513, -0.32381836188679275, -0.5099508598922553, -0.5840131907810057, -0.36393547710441415, -0.9730556847937828]",[1],J0013.2-3954,bll,bll,J0013.1-3955,bll,J0013.1-3955,bll,J0013.1-3955,bll,AGN,AGN,AGN,AGN
15,J0013.9-1854,bll,J0013.9-1853,"[1.9660696983337402, 1.8764379024505615, 1.6217029094696045, 2.608107805252075, -32.77742988690368, -32.49507585048442, -28.41901234948237, -32.54547730777722, -23.961176568550762, 0.08232986181974411, 0.0, 1.2266416549682617, 11.50899600982666, -0.7748841889822307, -0.4590175565075695, -0.4506054083966389, -0.39003388474819356, -0.6016833860403772, -0.4578392955893909]",[1],J0013.9-1853,bll,bll,J0013.9-1854,bll,J0013.9-1854,bll,J0013.9-1854,bll,AGN,AGN,AGN,AGN
16,J0014.1-5022,bll,J0014.0-5025,"[1.9924736022949219, 1.8677359819412231, 1.5867220163345337, 1.6824188232421875, -32.78903117297839, -32.46782662690577, -28.498568990939972, -32.5386367485034, -24.0226090227511, 0.1357184201478958, 0.0, 1.7620410919189453, 10.176718711853027, 0.9285300874060958, -0.6754038577791616, -0.3540413868673038, -0.5579059920578666, -0.4151482938405895, -0.9998083086156024]",[1],J0014.0-5025,bll,bll,J0014.1-5022,bll,J0014.1-5022,bll,J0014.1-5022,bll,AGN,AGN,AGN,AGN
17,J0014.7+5801,bll,J0014.7+5802,"[1.7403266429901123, 1.6241787672042847, 1.3411040306091309, 12.931756019592285, -35.00237407997385, -34.53853099360009, -28.19055243852531, -34.633549325966, -23.66003306363199, 0.15785686671733856, 0.5282782316207886, 1.9213199615478516, 9.260634422302246, -0.9962923748175028, 0.9950866600154405, -0.6760727052990033, 0.14505652270411384, -0.3875114229428948, -0.4480388311657517]",[1],J0014.7+5802,bll,bll,J0014.7+5801,bll,J0014.7+5801,bll,J0014.7+5801,bll,AGN,AGN,AGN,AGN
18,J0014.8+6118,bcu,J0014.6+6119,"[2.0077273845672607, 1.658998966217041, 1.0941685438156128, 3.5426340103149414, -32.8392253040927, -32.405174085721264, -27.827376528212877, -32.433725209888415, -22.99974877136961, 0.2768091559410095, 0.0, 3.4934656620025635, 14.04809856414795, -0.8956940868137568, -0.46390439246935855, -0.314360610994805, -0.30697996071834543, -0.4602656893616224, -0.7904480230029498]",[1],J0014.6+6119,bcu,bcu,J0014.8+6118,bcu,J0014.8+6118,bcu,J0014.8+6118,bcu,AGN,AGN,AGN,AGN
19,J0015.6+5551,bll,J0015.7+5552,"[1.9079774618148804, 1.9389119148254395, 1.9070624113082886, 8.877668380737305, -34.07302561294025, -33.920069185307774, -28.15162888827241, -33.99497597732072, -23.57505807820404, -0.02944173477590084, 0.27289721369743347, 0.5630202889442444, 10.681838989257812, 0.7700384701876717, -0.5396964017156689, -0.6401996703637272, -0.46400206860901244, -0.46495737806790166, -0.1825568980241705]",[1],J0015.7+5552,bcu,bll,J0015.6+5551,bll,J0015.6+5551,bll,J0015.6+5551,bll,AGN,AGN,AGN,AGN
