,4FGLDR1,CLASS1-4FGLDR1,4FGLDR1-3FGL
0,J0000.3-7355,,
1,J0001.2+4741,bcu,
2,J0001.2-0747,bll,J0001.2-0748
3,J0001.5+2113,fsrq,J0001.4+2120
4,J0001.6-4156,bcu,J0002.2-4152
5,J0002.1-6728,bcu,J0002.0-6722
6,J0002.1+6721,unk,
7,J0002.8+6217,PSR,J0002.6+6218
8,J0003.1-5248,bcu,J0003.2-5246
9,J0003.2+2207,bll,
10,J0003.3+2511,,
11,J0003.3-1928,bcu,
12,J0003.3-5905,bcu,
13,J0003.6+3059,,J0003.4+3100
14,J0003.9-1149,bll,J0003.8-1151
15,J0004.0+5715,,J0003.5+5721
16,J0004.0+0840,bcu,J0004.2+0843
17,J0004.4-4737,fsrq,J0004.7-4740
18,J0004.4-4001,,
19,J0005.6+6746c,,
20,J0005.9+3824,fsrq,J0006.4+3825
21,J0006.3-0620,bll,
22,J0006.4+0135,bcu,J0006.2+0135
23,J0006.6+4618,,J0006.6+4618
24,J0007.0+7303,PSR,J0007.0+7302
25,J0007.7+4008,bcu,J0007.9+4006
26,J0008.0+4711,bll,J0008.0+4713
27,J0008.0-3937,bcu,
28,J0008.4+6926,,
29,J0008.4-2339,bll,J0008.6-2340
30,J0008.4+1455,bcu,J0008.3+1456
31,J0008.9+2509,,
32,J0009.1-5012,,
33,J0009.1+0628,bll,J0009.1+0630
34,J0009.2+6847,,J0008.5+6853
35,J0009.2+1745,,
36,J0009.3+5030,bll,J0009.3+5030
37,J0009.7-1418,,J0010.5-1425
38,J0009.7-3217,rdg,J0009.6-3211
39,J0009.8-4317,bll,
40,J0010.6+2043,fsrq,
41,J0010.6-3025,fsrq,
42,J0010.8-2154,bcu,
43,J0011.4+0057,fsrq,J0011.3+0054
44,J0011.8-3142,bcu,
45,J0012.0+7043,bcu,J0012.4+7040
46,J0013.1-3955,bll,J0013.2-3954
47,J0013.6+4051,agn,
48,J0013.6-0424,fsrq,
49,J0013.9-1854,bll,J0013.9-1853
50,J0014.1+1910,bll,J0013.8+1907
51,J0014.1-5022,bll,J0014.0-5025
52,J0014.2+0854,bll,
53,J0014.3-0500,bcu,J0014.3-0455
54,J0014.7+5801,bll,J0014.7+5802
55,J0014.8+6118,bcu,J0014.6+6119
56,J0014.9+3212,bcu,
57,J0015.2+3537,bll,
58,J0015.6+5551,bll,J0015.7+5552
59,J0015.9+2440,bcu,
60,J0016.2-0016,fsrq,J0016.3-0013
61,J0016.5+1702,fsrq,J0016.5+1713
62,J0017.0-0649,bcu,J0017.2-0643
63,J0017.1-4605,,
64,J0017.5-0514,FSRQ,J0017.6-0512
65,J0017.8+1455,bll,
66,J0018.4+2946,bll,J0018.4+2947
67,J0019.2-5640,bcu,J0019.1-5645
68,J0019.3-8152,bll,J0018.9-8152
69,J0019.6+7327,fsrq,
70,J0019.6+2022,bll,J0019.4+2021
71,J0021.0+0322,bcu,J0020.9+0323
72,J0021.5-2552,bll,J0021.6-2553
73,J0021.6-0855,bll,
74,J0021.9-5140,bll,J0022.1-5141
75,J0022.0+0006,bll,
76,J0022.0-5921,,
77,J0022.1-1854,bll,J0022.1-1855
78,J0022.5+0608,bll,J0022.5+0608
79,J0023.4+0920,PSR,J0023.4+0923
80,J0023.6-4209,,
81,J0023.7-6820,bcu,J0021.6-6835
82,J0023.7+4457,fsrq,J0023.5+4454
83,J0023.9+1603,bll,
84,J0024.0-7204,glc,J0023.9-7203
85,J0024.1+2402,,
86,J0024.4+4647,bcu,
87,J0024.7+0349,fsrq,J0024.4+0350
88,J0025.2-2231,fsrq,
89,J0025.3+6408,snr,J0025.7+6404
90,J0025.4-4838,,
91,J0025.7-4801,bcu,
92,J0026.1-0732,,
93,J0026.6-4600,bll,J0026.7-4603
94,J0028.1+7505,bcu,J0028.6+7507
95,J0028.4+2001,fsrq,J0028.8+1951
96,J0028.9+3553,bcu,
97,J0029.0-7044,bll,J0029.1-7045
98,J0029.4+2051,bcu,
99,J0030.2-1647,bll,J0030.2-1646
100,J0030.3-4224,fsrq,J0030.3-4223
101,J0030.4+0451,PSR,J0030.4+0451
102,J0030.6-0212,bcu,J0030.7-0209
103,J0031.0-2327,,J0031.2-2320
104,J0031.3+0726,bll,J0031.3+0724
105,J0031.5-5648,,
106,J0032.3-5522,bcu,J0032.3-5522
107,J0032.4-2849,bll,J0032.3-2852
108,J0033.5-1921,bll,J0033.6-1921
109,J0033.9+3858,bcu,
110,J0034.0-4116,bcu,
111,J0034.3-0534,PSR,J0034.3-0534
112,J0034.6+6438,,
113,J0035.0-5728,bcu,
114,J0035.2+1514,bll,J0035.2+1513
115,J0035.2-1739,,
116,J0035.8+6131,bcu,
117,J0035.9+5950,bll,J0035.9+5949
118,J0036.9+1832,bcu,
119,J0037.2-2653,,
120,J0037.6+3653,fsrq,
121,J0037.8+1239,bll,J0037.9+1239
122,J0037.9+2612,bll,
123,J0038.1+0012,bll,J0038.0+0012
124,J0038.2-2459,fsrq,J0038.0-2501
125,J0038.7-0204,rdg,
126,J0039.0-0946,fsrq,J0039.1-0939
127,J0039.1-2219,bcu,J0039.0-2218
128,J0039.1+6257,,J0039.3+6256
129,J0039.1+4330,bcu,J0039.1+4330
130,J0039.7+4203,,
131,J0040.3+4050,bll,J0040.3+4049
132,J0040.4-2340,bll,J0040.5-2339
133,J0040.7-7157,,
134,J0040.9+3203,bcu,
135,J0041.3+6052,bcu,
136,J0041.4+3800,fsrq,
137,J0041.7-1607,bcu,
138,J0042.0+3640,bll,J0041.9+3639
139,J0042.2+2319,fsrq,J0042.0+2318
140,J0043.2+4114,gal,J0042.5+4117
141,J0043.5-0442,bll,J0043.5-0444
