,3fgl,3fgl_features,3fgl_labels
182,J0623.1-4143,"[2.2900795936584473, 3.4577963620437173, -29.53781522903583, -27.8856537962801, -0.6139750061447152, -0.723373324587375]",[1]
183,J0626.8+1743,"[2.6996076107025146, 3.8935687027424524, -26.798231247483063, -26.494994063203226, 1.2684090014052418, -0.8043621617409314]",[1]
184,J0628.4+2429,"[2.207289934158325, 3.7382155159198733, -29.97070948370706, -27.361063615744424, -0.42656880967261984, -0.743390844906535]",[1]
185,J0630.2-0929c,"[2.510225534439087, 3.7617323460871153, -26.80851055921187, -27.20770360051912, 1.1403158524997394, -0.8358115744335324]",[1]
186,J0634.1+0424,"[2.7587954998016357, 3.7581778616023014, -25.414924103824564, -26.564735149435286, 2.351031330316761, -0.8607695080977752]",[1]
187,J0636.7+7115,"[2.6067097187042236, 4.21262728312786, -27.243191413950278, -27.820058106654052, -1.5291776852211423, -0.8647807764003999]",[1]
188,J0637.5+0418,"[3.0386080741882324, 4.267822596875228, -25.778355711610732, -26.735965762305167, 1.6695297708614565, -0.8382170629915271]",[1]
189,J0638.4+5704,"[2.9271509647369385, 4.1225699737441515, -25.520931289682494, -27.929492914909336, 0.35770408443043905, -0.849502216697333]",[1]
190,J0639.9+3250,"[2.6458585262298584, 3.9014289081366873, -26.65766037673512, -27.615370820298043, -2.5582055457659263, -0.8556364950622777]",[1]
191,J0641.1+1004,"[2.402113437652588, 3.815570113650942, -24.922634467984444, -26.74483596672871, 1.5298309866401598, -0.7937445358372155]",[1]
192,J0644.6+6035,"[2.276465654373169, 4.099094514131664, -28.126592800084893, -27.873067132951245, 0.05741648189487748, -0.7729448310655241]",[1]
193,J0647.6+0032,"[2.457404375076294, 3.8976970924079515, -25.8942324727064, -26.94188136336237, 0.8962084138263177, -0.8333241678203086]",[1]
194,J0647.8+1751,"[2.702812433242798, 3.7167934550537356, -26.852528787374574, -27.202762569421278, 1.2423765635500077, -0.838114363715133]",[1]
195,J0650.9+6524,"[2.5400683879852295, 3.8531116882448604, -27.333142758571125, -28.045740898698845, -2.6072739731973242, -0.8727811871527716]",[1]
196,J0657.6-4701,"[2.0111169815063477, 3.6414344008073036, -31.194445211143776, -27.70952234116149, 0.6496113358333305, -0.1725304406166486]",[1]
197,J0658.8+2318,"[2.2943332195281982, 3.757043760796858, -29.66788176542662, -27.743740781857397, -2.0566767663466385, -0.7783585798496688]",[1]
198,J0659.2-0439c,"[2.400320291519165, 3.7262653763120204, -27.889415634654032, -26.851079281731792, 0.34929751964125405, -0.8427295501565568]",[1]
199,J0700.6+3557,"[2.4031946659088135, 3.5770698932834972, -28.363504925904657, -27.851873478585784, 0.6834920333058021, -0.8733520335962053]",[1]
200,J0704.1-1043,"[2.743385076522827, 3.713511401873571, -26.667560425085654, -26.7599955778001, 1.4395907541758008, -0.8740470253454609]",[1]
201,J0704.3-4828,"[1.9742727279663086, 3.3400936422936045, -31.919383819050974, -27.756255830010907, -0.263688584643679, 0.03908165745626394]",[1]
202,J0705.7-0006,"[2.273289918899536, 3.9823528632029537, -29.164531580130483, -27.35430291554291, 0.8220998728300255, -0.47630473558142955]",[1]
203,J0707.5-3111,"[2.7119014263153076, 3.7939790581280266, -25.94203453096566, -27.577814040796504, -4.632542334927527, -0.8441022186857252]",[1]
204,J0707.7-1035c,"[2.494269847869873, 3.8565835059717983, -28.400194931495825, -26.558710025086032, 0.9227281542408494, -0.6189897058434211]",[1]
205,J0708.7+1747,"[1.8367233276367188, 3.979969604258144, -32.13476808310576, -27.717069912834972, -2.136687522082955, -0.668842596766423]",[1]
206,J0711.1-1037,"[2.638019323348999, 3.6559172906710935, -26.39673924907656, -26.79584470242353, 1.5369647562413116, -0.8982904792579282]",[1]
207,J0712.2-3806,"[2.401038646697998, 4.078120728476178, -28.105920916561683, -27.460287118406303, 0.8229173996867455, -0.8774759415517905]",[1]
208,J0714.7-3924,"[2.3835997581481934, 3.686339074930036, -28.624310569670037, -27.398189726420558, 0.6850500381700088, -0.7266053086871526]",[1]
209,J0716.0-4525,"[2.258249521255493, 3.6441377758782623, -30.142196341076936, -27.756129389297765, -2.7436327729211616, -0.8253756618077055]",[1]
210,J0718.9-5004,"[2.3917365074157715, 3.555509791574461, -28.249906321526712, -27.629641449056095, 0.18989649926778396, -0.8430623652898573]",[1]
211,J0721.5-0221,"[2.002668619155884, 3.70108870508562, -31.31957632818804, -27.614640154941835, -2.0920608136134473, -0.2890796659166255]",[1]
212,J0722.2-2648,"[2.451223611831665, 3.6918286303732426, -27.468859905592094, -27.322776326246085, -1.0593332128082975, -0.8648498885516922]",[1]
213,J0725.4-5007,"[1.941528558731079, 3.4339360739291673, -32.53805374496458, -27.847576797280635, 0.9081018530560482, -0.47818173673136377]",[1]
214,J0725.7-0550,"[1.8505795001983643, 3.861470692356894, -31.727740103024274, -27.567828911469128, 0.7464339666824072, 0.11417444450911281]",[1]
215,J0725.8-3532,"[2.35854434967041, 3.572375169179414, -29.095952515165685, -27.444007176015592, 0.25735453832008665, -0.7730546223938688]",[1]
216,J0725.8+0212,"[2.184701681137085, 3.9949911408372736, -28.682715927052612, -27.4838926650192, 0.15809322116485222, -0.7818414849184212]",[1]
217,J0731.7-1914c,"[2.521024703979492, 3.847984440671761, -26.124580403345664, -26.924578351264845, 0.9213293434758302, -0.8220038622461152]",[1]
218,J0731.8-3010,"[1.6692367792129517, 3.4720674066161235, -33.475962238809814, -27.56194145820552, -0.3528872009494566, 0.08130441336519183]",[1]
219,J0733.3+5904,"[2.7803707122802734, 4.3099087013189825, -26.01410681173106, -27.975093418844637, 0.09890083348544246, -0.8482862226288944]",[1]
220,J0737.2-3233,"[2.2528483867645264, 3.9383371678538652, -25.765077183260537, -27.212863841139374, 1.798460371879, -0.8555252677824259]",[1]
221,J0737.8-8245,"[1.9193196296691895, 3.7326305347968303, -31.223229151707017, -27.654834820064032, -1.763022158412651, -0.6168965231501989]",[1]
222,J0739.8+1312,"[2.734588861465454, 3.5892283632590254, -26.295411076809565, -27.707269812118508, 1.2705446586013849, -0.8870038304223262]",[1]
223,J0740.6-5230,"[2.2304062843322754, 3.620033267413987, -29.14536828711547, -27.56099584045607, -1.596610380693904, -0.7969615735113778]",[1]
224,J0742.7-3110,"[2.342766761779785, 3.751799413259773, -28.447951992720565, -27.120489358121475, -2.1486594204682112, -0.8704730802171042]",[1]
225,J0744.1-2523,"[2.088628053665161, 4.11645834256464, -25.152554361483674, -27.054632305700405, 1.8150667597609358, -0.8508659935223293]",[1]
226,J0744.3+1715,"[2.2611725330352783, 3.4506645767359583, -29.18118735097845, -27.73563770394709, 0.9019951184560802, -0.8088099258333689]",[1]
227,J0746.4-0225,"[2.0025746822357178, 4.091157331513528, -29.69272527889931, -27.568618330224357, -0.1809777316616963, -0.7115171924372791]",[1]
228,J0747.4-0734,"[2.1131224632263184, 3.5502653245817837, -30.43716670686799, -27.46810966702372, 0.40607432038885694, -0.7097216967793696]",[1]
229,J0747.5-4927,"[2.273484230041504, 3.6801520775779237, -29.574803429524856, -27.418586426900646, -0.25375098379946504, -0.7657271351007948]",[1]
230,J0748.7-5116,"[2.620751142501831, 3.7405391450312737, -27.22797721738553, -27.390074362369194, -0.544183819160718, -0.721611387403431]",[1]
231,J0748.8-2208,"[2.365657329559326, 3.680431701709894, -27.9721215043592, -27.187786076182576, -0.4510693346662203, -0.8380935707002342]",[1]
232,J0749.0+4459,"[2.3717525005340576, 4.323988445247852, -27.785079583573495, -27.886472316541987, -0.687881764627693, -0.8403809719671221]",[1]
233,J0749.5+1320,"[2.2493107318878174, 3.841011512681735, -29.26878364552202, -27.623951044447676, 0.8047628990341139, -0.784380587821932]",[1]
234,J0751.7-2944,"[2.450683355331421, 3.9561924670951973, -27.63775047759359, -27.100974770000615, -0.22946870090449584, -0.7014816505325243]",[1]
235,J0752.6-1629,"[2.1992740631103516, 3.739561098888916, -29.482292997816707, -27.492756005994227, 0.4536061392459225, -0.7911632847814472]",[1]
236,J0755.2-2633,"[2.6043951511383057, 4.039934895583877, -25.673474082027273, -27.181768623863285, 0.5675956140767169, -0.8841374888619338]",[1]
237,J0757.5-0536,"[2.6949706077575684, 3.5489925678297918, -26.139529515638646, -27.585855302246088, 1.045680059309769, -0.9248545188364506]",[1]
238,J0758.6-1451,"[1.9843422174453735, 3.653969952811001, -27.178284945894415, -27.574564298437572, 1.4436523114018271, -0.7475134218048474]",[1]
239,J0800.6-4806,"[2.6858489513397217, 3.925221952806255, -26.42331380260477, -27.367349378790305, -0.7018640349064487, -0.9212357969735379]",[1]
240,J0802.3-5610,"[2.470546007156372, 3.792388395520617, -26.12780302129686, -27.466737453041688, 1.2892070642566724, -0.8952136072701607]",[1]
241,J0802.3-0941,"[2.282055616378784, 3.5802761739974915, -28.438289643485856, -27.557115038850284, -1.0448547018545984, -0.7728917442196197]",[1]
242,J0810.5-5214,"[2.5500571727752686, 3.9202501019739837, -26.517901408588635, -27.270050374583562, 0.40194072071867154, -0.8520521259900846]",[1]
243,J0813.5-0356,"[1.667009711265564, 3.469690233276106, -32.5896980841034, -27.70961417117002, 0.68813560199492, -0.14249682160614535]",[1]
244,J0816.1-5044,"[2.493579149246216, 3.7799198613441383, -26.754289939690626, -27.140599482632393, 1.2889041599300475, -0.8796951687497115]",[1]
245,J0818.0+3237,"[2.180354595184326, 4.032933807821326, -29.28513506019008, -27.902402295697755, -0.05007128029721662, -0.5496494636160962]",[1]
246,J0823.3-4205c,"[2.0618700981140137, 3.9135661561993196, -31.6729974422427, -26.730553468958977, -1.0655653260162279, -0.7920626158702628]",[1]
247,J0823.6-4838,"[2.612471342086792, 4.498429578223003, -26.19740336660205, -26.952036949403336, 1.3285160421805875, -0.8975442564448102]",[1]
248,J0826.3-5056,"[2.2284369468688965, 3.9226172462254953, -28.64380953120928, -27.165068144881296, 1.0403683410683922, -0.781586941648524]",[1]
249,J0826.3-6400,"[2.342020034790039, 3.565351656399849, -28.46533984218809, -27.677385063928533, -1.447216420816403, -0.818382437636927]",[1]
250,J0829.8-5239,"[2.561513900756836, 3.6877594041795314, -26.88604433100283, -27.22753091950446, 0.37269108436487586, -0.8721503475792318]",[1]
251,J0830.5-4452,"[1.9515341520309448, 3.886005395848963, -32.4704496412091, -26.189601995492954, -0.6238671036163282, 0.37731503901257957]",[1]
252,J0830.8+2629,"[2.556795120239258, 4.028596135181331, -27.60094047472842, -27.789558149219694, -0.2899325722372776, -0.8786308281839326]",[1]
253,J0832.8-4321,"[2.2607696056365967, 3.8427859635090207, -29.45982350963969, -26.439446818096673, 0.7380763297474681, -0.770239982851849]",[1]
254,J0834.5-4825,"[2.4370241165161133, 3.969432157551761, -29.11714194538207, -26.769514943406776, -0.14794817402329913, -0.8684069350847278]",[1]
255,J0834.6+6101,"[2.4156408309936523, 3.4743178043492886, -28.566169704524487, -28.052462499943125, 0.2901854904112807, -0.8268034677023838]",[1]
256,J0838.8-2829,"[2.225034475326538, 3.759709410218777, -27.537451830286226, -27.4460114126322, 1.143984614174512, -0.819130866342854]",[1]
257,J0838.9-4056c,"[2.6630795001983643, 3.9810804907129977, -25.92353225735302, -26.42705167663081, 0.15906614617704193, -0.8992514381294138]",[1]
258,J0839.6-4133,"[2.668410062789917, 3.8576562092604942, -24.61875976481437, -26.603646179424576, 1.8333731577222057, -0.872599415782083]",[1]
259,J0843.4+6713,"[1.9921931028366089, 4.024863699154188, -29.61163621651705, -27.80692857289761, 0.7436713687504989, -0.7689105257623643]",[1]
260,J0844.3-4741,"[2.461545944213867, 3.910479532782351, -28.422349798341365, -26.612652937716806, 0.8779475403854079, -0.12705271668780416]",[1]
261,J0846.8-2638,"[2.472825288772583, 3.6016605360578993, -27.717340424079826, -27.611286144880594, 0.02350921693942716, -0.7031896295947136]",[1]
262,J0847.2-6936,"[2.525861978530884, 3.9380027799331905, -27.638658818646245, -27.726254215924936, -1.3589194997177032, -0.7961242858821469]",[1]
263,J0847.4-4327,"[2.752105712890625, 3.8666965317958293, -25.266946616427088, -26.39986036231047, 1.8849112081406298, -0.7430267081436561]",[1]
264,J0848.2-4524,"[2.528322219848633, 4.041689900084795, -27.09605231774604, -26.255039558592774, 0.44308274012942767, -0.865735852877409]",[1]
265,J0848.5+7018,"[2.0133776664733887, 3.9989924452998205, -31.49249778720099, -28.009420053794504, -2.3840516300984076, -0.6097254360721305]",[1]
266,J0851.4-4244,"[2.7557621002197266, 3.7425050266632756, -25.073774804101944, -26.413308161777906, 1.359290148382743, -0.8685275641070642]",[1]
267,J0854.4-4404,"[2.600573778152466, 4.013765878427967, -26.942550831482556, -26.26692623102481, 0.822178669413438, -0.8506798924036773]",[1]
268,J0854.8-4503,"[2.357306480407715, 3.8052347742920953, -27.065184241297654, -26.54040883705754, 1.8679520540629062, -0.633993252390884]",[1]
269,J0855.4-4818,"[2.807915687561035, 3.521575336808051, -25.435193729669503, -26.462525758717074, 1.9704676032376451, -0.8738401236956435]",[1]
270,J0855.4+7142,"[2.5718791484832764, 4.34361952478186, -27.348889246378235, -27.745079939272554, 0.20443468027803158, -0.8832873717947478]",[1]
271,J0856.4+6429,"[2.5515213012695312, 3.8367611789883664, -28.112540497007604, -27.995105375060373, -0.03807881585146452, -0.8208368610689224]",[1]
272,J0857.6-4258,"[2.7347428798675537, 4.104983164954114, -26.509889482683192, -26.49535562553805, 1.5084972202227018, -0.8017079538691911]",[1]
273,J0858.0-4834,"[2.4482197761535645, 3.735553857702222, -28.939810655600184, -26.33095907539024, 1.026080292385399, -0.8751277499168124]",[1]
274,J0858.6-4357,"[2.54891037940979, 4.039888975283652, -25.364155200831753, -26.436317595045296, 2.101272739771982, -0.8213531180621685]",[1]
275,J0859.3-4732,"[2.42120623588562, 3.6495596988857404, -28.6439520798311, -26.291709371092114, 0.8731871927527401, -0.7938810142779722]",[1]
276,J0900.0+6754,"[2.2386300563812256, 3.832597280894139, -29.42522223639975, -28.061354076600114, 0.2601993378123141, -0.81220067627461]",[1]
277,J0901.0-6725,"[2.5238523483276367, 3.6570135023591597, -27.998194307740242, -27.72964381896836, -1.0744137548897752, -0.8551544529686833]",[1]
278,J0901.6-4700,"[2.5923519134521484, 4.009122756755263, -26.757303129886555, -26.309960364948733, 1.6844319390146927, -0.8798156579224828]",[1]
279,J0903.0-4826,"[2.466892719268799, 3.6502464664705716, -27.953198345174386, -26.348522886718428, 1.3223480235140992, -0.6498770991428985]",[1]
280,J0903.2-4744,"[2.2821731567382812, 4.193082550299783, -29.269106033875886, -26.361382229944308, 1.2252148921072747, -0.753090148413997]",[1]
281,J0905.6-4917,"[2.5635063648223877, 4.086046385123526, -25.117883467935382, -26.718835525586282, 2.1967964978828425, -0.5508154425956344]",[1]
282,J0905.8-2127,"[2.659956932067871, 3.8090375797430926, -26.03608184822823, -27.49103517818566, 1.2007612088831583, -0.9082113821783528]",[1]
283,J0906.0-4705,"[2.79042911529541, 4.043188453676678, -25.744999674772835, -26.49041116007924, 1.570952608427677, -0.7203278393618924]",[1]
284,J0907.0-4802,"[2.6750664710998535, 3.7075781833516888, -27.03461588938129, -26.606017394492415, 1.6794660652964963, -0.3433708936697829]",[1]
285,J0914.5-4736,"[2.414038896560669, 4.275625542980605, -24.479935376205706, -26.61842390894828, 2.0161777788798334, -0.8170506687471681]",[1]
286,J0915.8-5110,"[2.3481907844543457, 3.869923065828424, -23.47689695518855, -26.80881964314729, 1.6614504762835838, -0.825109667408156]",[1]
287,J0918.2-4859,"[2.440824031829834, 3.7191417094121726, -27.917592718789415, -26.644571519888043, 0.6584166698423002, -0.8358809357723966]",[1]
288,J0919.4+6604,"[2.1582159996032715, 3.8556694021340525, -30.393822983715285, -28.04972945985252, -0.21703176476180755, -0.7404169632820129]",[1]
289,J0919.5-2200,"[2.1976702213287354, 3.6249467268225164, -30.372791649308496, -27.743496641956988, -0.3160320382427069, -0.5003348774286732]",[1]
290,J0921.6+2339,"[1.9771367311477661, 4.068887654832867, -29.94719523783238, -27.68911861302933, -0.6231016889352564, -0.6905957959139363]",[1]
291,J0923.8-5154,"[2.630905866622925, 3.6598353823901277, -25.699018105426735, -26.78950978343366, 0.5821190276923602, -0.8763203042230003]",[1]
292,J0928.3-5255,"[1.6503435373306274, 3.841934770630224, -33.56265305914981, -27.237614422730825, 0.49043634380525897, -0.4196985192359863]",[1]
293,J0930.7+5133,"[2.0683469772338867, 3.4916155770241297, -31.131212485911544, -28.13137232806425, -0.7366424346125606, -0.7451422870658961]",[1]
294,J0931.8+6739,"[2.1661109924316406, 3.784354085866046, -29.80976494954433, -28.063394958094136, 0.07907822469456231, -0.669359571563137]",[1]
295,J0933.9-6232,"[1.480199933052063, 4.0809441720676745, -27.480399853572365, -27.574717090998604, 2.1768005844453397, -0.6265419624108708]",[1]
296,J0935.1-1736,"[1.7486419677734375, 3.5099536145983894, -31.912352019647095, -27.551961015218893, 0.3866197546797399, 0.027433408104934488]",[1]
297,J0935.2+0903,"[2.4023611545562744, 4.210503422631812, -27.51441699346065, -27.784481329114556, 1.332622763571416, -0.8357087455368672]",[1]
298,J0936.3-2114,"[1.8428966999053955, 3.8475298120392987, -31.648836678213446, -27.72641981249052, -1.012956293191614, -0.5363306564258881]",[1]
299,J0937.1-4544c,"[2.4900124073028564, 3.9372039288915897, -27.68788000718775, -27.25586629305358, -0.22730042400821587, -0.787551715062399]",[1]
300,J0937.8-6407,"[2.545048713684082, 3.8035821719812755, -27.294027347704798, -27.52115816506904, 0.19190948318710394, -0.8136976586756699]",[1]
301,J0937.9-1435,"[1.8897830247879028, 3.926855692520354, -31.234978254477873, -27.725169958978924, 0.6019431925976884, -0.016270406640062574]",[1]
302,J0940.6-7609,"[2.3902747631073, 3.875905528892137, -27.17952296093231, -27.454343681230743, 0.11391019792412575, -0.8781043052187139]",[1]
303,J0941.0+6151,"[2.296452760696411, 3.9680081187119813, -28.710600296419756, -28.04177014488685, 0.40978916251641684, -0.8092690244626064]",[1]
304,J0946.2+5209,"[2.7351112365722656, 3.976885389597991, -26.399844092460896, -28.062517078041967, 0.646773004017464, -0.9397286376282545]",[1]
305,J0948.1-3641,"[2.722136974334717, 3.9256681934620277, -25.05963763321742, -27.51782793421975, 0.8933897905454706, -0.9163113937107811]",[1]
306,J0948.8-4243,"[2.4929299354553223, 3.688101430126722, -27.22205554663895, -27.459683491031647, -0.4203802101509679, -0.8423201666905099]",[1]
307,J0950.4+7550,"[2.1966805458068848, 3.7436550947611233, -30.1883750354955, -28.238858290592237, -0.8810774745603517, -0.7924144271166851]",[1]
308,J0952.8+0711,"[1.6993800401687622, 3.676919427141742, -32.39480852449106, -27.707330308352635, 0.3224774134596689, 0.13964261444294768]",[1]
309,J0953.7-1510,"[1.810007095336914, 3.6942313372156472, -27.76481095778751, -27.97639767739022, 1.7700756246610554, -0.46084143533046423]",[1]
310,J0954.8-3948,"[2.2835311889648438, 3.938398696725973, -24.115409643370647, -27.426553266070623, 1.3622629045462475, -0.8902980790757848]",[1]
311,J1002.0-2837,"[2.576190710067749, 3.534677560664492, -27.179552781598282, -27.71034242483252, 0.7430610951043863, -0.7955964046435964]",[1]
312,J1002.5-5709,"[2.379826545715332, 3.451314059170546, -25.873143193434053, -26.30912862198176, 1.431370295283642, -0.750111184985336]",[1]
313,J1003.7-5215,"[2.31017804145813, 4.022261238833977, -28.759949231118657, -27.216269130727174, 0.9183015338682966, -0.7175353054581064]",[1]
314,J1008.6-5706,"[2.509049415588379, 3.702983641426671, -26.889528665505598, -26.159298286152726, 0.4279073258204336, -0.8614407123958122]",[1]
315,J1010.8-7645c,"[2.306610584259033, 3.619703017533833, -29.503479128893108, -27.433741885960433, -2.402211516615759, -0.7733354768410857]",[1]
316,J1013.4-4008,"[2.251354455947876, 3.7749733809940915, -29.598907215228543, -27.66546704437323, -0.503352432808539, -0.7712815610319843]",[1]
317,J1013.6-5734,"[2.6835427284240723, 3.777842249529663, -25.4957765160248, -26.52887408154183, 1.7507436149906712, -0.12277855098878705]",[1]
318,J1016.5-6034,"[2.9677140712738037, 3.9028411955627904, -24.864958861856095, -26.927814627441368, 1.7627202082100895, -0.8984668321273116]",[1]
319,J1016.6-4244,"[1.7821834087371826, 3.9338314967587524, -31.811649720558254, -27.567712582677423, 0.538453126333178, 0.04093573176354102]",[1]
320,J1016.9-2653,"[2.605057954788208, 3.784264017748395, -26.89286202744938, -27.7551772968501, 0.655381744951536, -0.902994097096536]",[1]
321,J1018.2-6254,"[2.567744731903076, 3.5205076160803532, -27.23155806134716, -27.25444188758122, 0.9583312220082647, -0.8688894520297292]",[1]
322,J1021.9-5815c,"[2.3012726306915283, 3.680149768694099, -30.001258997908504, -25.97239271211155, 1.1261409799246143, -0.8806657465967067]",[1]
323,J1024.3-5757,"[1.8954859972000122, 3.493529053407506, -32.434960061736106, -26.183047853509407, -0.26946846875816194, -0.6869860791486352]",[1]
324,J1024.4-4545,"[1.9641941785812378, 3.6577297053625037, -31.925474486220054, -27.679232661038323, -0.391215746245815, -0.6901465249067777]",[1]
325,J1025.1-6507,"[2.418780565261841, 3.968479514529759, -27.433528999550106, -27.311600708424635, 1.0121243418647023, -0.7197590752723809]",[1]
326,J1025.7-5659c,"[2.3450043201446533, 3.791852879926991, -29.84240340142031, -26.310490542664446, 0.751637784389249, -0.8829810515898011]",[1]
327,J1025.9-5930,"[2.217162609100342, 3.7969040833492285, -30.114639131609252, -26.46245768557846, -1.584990226422143, -0.801248608078091]",[1]
328,J1026.2-5730,"[2.84201979637146, 3.920365490301421, -26.840829673112793, -25.992197425199265, 1.9840182854714765, -0.8571745815992152]",[1]
329,J1027.8+8253,"[2.073071241378784, 3.7327617939557225, -30.29448513113548, -28.10767982055924, 0.30831672537060223, -0.7534371006650256]",[1]
330,J1028.3-7419,"[2.6900532245635986, 3.5387092190481866, -26.249499076819575, -27.56385383098163, -0.20786401699195858, -0.8911560260669381]",[1]
331,J1030.0-5809,"[1.7922911643981934, 3.9146690377277564, -32.76364339281726, -26.282221966209608, -0.6774520426424734, -0.571149552713303]",[1]
332,J1031.4-5855,"[2.085076093673706, 3.7096845076029794, -31.02251759195318, -26.552218562270316, 0.5679900576569411, -0.16965813162436946]",[1]
333,J1033.0-5945,"[2.379606246948242, 3.6457148779553177, -27.500378306702416, -26.42041059547857, 0.5349944156848132, -0.8140741082392665]",[1]
334,J1033.4-5035,"[2.0194091796875, 3.840819746055478, -29.645836879551254, -27.371245407900265, -0.36436827381160314, -0.7071992834907993]",[1]
335,J1034.0-5731c,"[2.283524513244629, 4.050115636949247, -28.350878826484543, -26.426693692584465, 1.0760769489404376, -0.12482069646027845]",[1]
336,J1035.7-6720,"[1.9564838409423828, 3.8504100509046393, -25.47308965222786, -27.24795947620838, 2.127202866090172, -0.7754479012406336]",[1]
337,J1036.4-4348,"[2.276811361312866, 3.6929545821770087, -28.905191822290995, -27.696680350863474, 0.1989946069990855, -0.8073712427129124]",[1]
338,J1037.2-6052,"[2.759517192840576, 3.7201578535952766, -27.0914620765187, -26.960533450647958, 1.5329639238417188, -0.8786915580034996]",[1]
339,J1037.9-5843,"[2.5920827388763428, 3.6603879712978786, -27.936040107662723, -26.387684506336548, 1.588120264018819, -0.8687090795669794]",[1]
340,J1038.0-2425,"[2.396660327911377, 4.078931680866432, -28.519301410471343, -27.780504709482774, -1.2783363969212247, -0.8216875526882456]",[1]
341,J1039.1-5809,"[2.6934597492218018, 3.623387923668677, -27.85308743273186, -26.470872101459953, 1.601186821601949, -0.3231174182749095]",[1]
342,J1039.5+7324,"[2.0938541889190674, 4.133422421876941, -30.86485790625829, -27.91364238737317, -1.4938137943303391, -0.763034497345158]",[1]
343,J1040.5-5926c,"[2.16679310798645, 3.5611705076868043, -30.295507833712296, -26.295106020693126, 0.8808218219946179, -0.12431220113177392]",[1]
344,J1043.6-5930,"[2.065910577774048, 3.5747006455916788, -31.231941423432943, -26.014796631449364, 0.9898566044403078, 0.15170850090007615]",[1]
345,J1043.8-5851,"[1.926296591758728, 3.620584190423104, -32.3625798192374, -26.71161283713291, -0.6085010983101599, -0.29345995209667364]",[1]
346,J1045.3-6414,"[2.4894845485687256, 3.8483599147915344, -27.462952236704954, -27.035075633401508, 1.288293013779374, -0.49267151720493657]",[1]
347,J1045.5-2335,"[2.3675408363342285, 3.7451651295421224, -29.043992489690485, -27.775965646542733, -0.2704780156588862, -0.8366525620731275]",[1]
348,J1047.3-6005,"[2.6357080936431885, 3.892595626626134, -27.9511442616777, -26.233163740584835, 1.531072756412245, -0.748172893321346]",[1]
349,J1047.8-3737,"[1.8951390981674194, 3.839878155419127, -31.199470688068185, -27.679014122421446, -0.3572142729671282, -0.5308987986986048]",[1]
350,J1048.2-5928,"[2.811328887939453, 4.186301440146049, -27.24641431133908, -26.21592235734942, 2.262949956821203, -0.17668112259997332]",[1]
351,J1048.8-5006,"[2.298590898513794, 3.6565972449971893, -29.181276635358458, -27.439660024653897, -0.35118505816393814, -0.8187822401453392]",[1]
352,J1049.7+1548,"[2.152986526489258, 4.067155738109613, -29.58669307674323, -27.823114628205325, 0.09989573171942255, -0.7494186574982552]",[1]
353,J1050.4+0435,"[2.470104455947876, 5.916933147825401, -25.867928075062164, -27.55254512677044, 1.0092038850817944, -0.8710620569235102]",[1]
354,J1050.6-6112,"[2.352140188217163, 3.3599828863878316, -29.01824887249169, -26.577486604369096, 1.0856083590297279, -0.18158526904576808]",[1]
355,J1051.0+5332,"[2.86673641204834, 3.950008387792076, -26.606559271676993, -28.004347871384457, -0.23550564054819811, -0.8812186844947885]",[1]
356,J1052.0+0816,"[2.2235260009765625, 3.600273407266074, -29.78219222283991, -27.887231060326428, -0.04350975942637409, -0.738468167446308]",[1]
357,J1054.2-3123,"[2.7191660404205322, 4.102035666240912, -25.99604782163245, -27.701445411079966, 0.8719564724148745, -0.9133648042834286]",[1]
358,J1054.7-6006,"[2.176612138748169, 3.721864238182922, -30.021498048946235, -26.21729041843296, 0.7108521952612787, -0.12025358045302939]",[1]
359,J1056.7-5853,"[2.5418245792388916, 3.57543757270323, -25.68879175708692, -26.6895527945842, 2.220550864093588, -0.8483181311182278]",[1]
360,J1057.6-4051,"[1.756625771522522, 3.6342369753110226, -32.69516837176127, -27.76927092283906, 0.634927282942241, -0.5991725360158011]",[1]
361,J1057.7-6624,"[2.459559440612793, 3.3977936539583067, -27.693153729473362, -27.098581940384214, 0.2030680443825421, -0.799038471664783]",[1]
362,J1058.5-6106c,"[2.157595634460449, 3.784019865480095, -30.979850068766748, -26.28229209518786, 1.2870088440337037, -0.835984017755387]",[1]
363,J1059.3+0224,"[2.351989269256592, 3.958447950820241, -28.735128906380645, -27.299057137239867, 0.4282454589851872, -0.7746391518749508]",[1]
364,J1100.2-2044,"[2.4129748344421387, 3.8742003440858612, -28.323237187594156, -27.83773400455689, -0.9742857732986705, -0.814342035742488]",[1]
365,J1101.3-6032,"[1.9662587642669678, 3.711350563680833, -32.175083846010246, -26.42527401081099, -0.31008281470251364, -0.17113099212526442]",[1]
366,J1103.3+5239,"[2.618117094039917, 4.1770520090283965, -27.208283990884144, -28.070415260872355, -0.122710362642911, -0.8888651879433223]",[1]
367,J1104.3-7736c,"[2.512964963912964, 3.913889167726693, -26.324693105420256, -27.320276371685928, 0.9714835786419276, -0.8580231910937229]",[1]
368,J1104.9-6036,"[2.558131694793701, 3.7633902793221097, -27.105172556298598, -26.0998457805108, 2.1501004763709197, -0.11084345529337876]",[1]
369,J1105.7+4427,"[2.4056918621063232, 3.35061062740269, -28.743247011000737, -28.118096205184475, -0.07647097740671475, -0.8112407724682559]",[1]
370,J1106.6-1744,"[2.032255172729492, 3.6353502570957814, -30.005273195695338, -27.74801961623269, 1.371611069421936, -0.28757427110424444]",[1]
