,3fgl,3fgl_features,3fgl_labels
43,J0138.5-4612,"[2.0609827041625977, 3.6933890194102976, -30.121151278124675, -27.957480446642087, -0.5641880963143303, -0.725639261753295]",[1]
44,J0149.6+4846,"[2.6199347972869873, 3.5754122551860443, -27.57919758527614, -27.611706336765184, -0.01615576484437719, -0.8232680870382729]",[1]
45,J0154.1+4642,"[2.5520541667938232, 3.6253970970438973, -27.9676134066163, -27.724973185796426, -1.120688681548215, -0.6980713856626812]",[1]
46,J0156.5-2423,"[1.8884518146514893, 3.778896019719899, -31.09551367400465, -27.894155041208368, 0.1863822518129877, -0.4550026519487365]",[1]
47,J0158.6+0102,"[2.5585057735443115, 3.7890877408475756, -28.026174683716654, -27.770433571175833, 0.3455815344829678, -0.7172547350984818]",[1]
48,J0200.3-4108,"[1.8781707286834717, 3.8462885383123977, -31.35840068254615, -27.920167937530447, -0.6872598703005195, -0.44311213841246405]",[1]
49,J0203.6+1148,"[2.714515447616577, 3.4980505137175717, -26.895609158459106, -27.423123721216587, -0.005547084935275186, -0.7744347982633413]",[1]
50,J0211.0+1922,"[2.3835859298706055, 3.7134793001290896, -28.442149852933618, -27.69663554581492, 0.12764168367483436, -0.8724970295008078]",[1]
51,J0212.1+5320,"[1.9522794485092163, 3.941008179366129, -26.63279003322684, -27.185070662351908, 1.8421887907212648, -0.7050412628181496]",[1]
52,J0216.0+0300,"[2.013767719268799, 3.6270176046538483, -31.460830745358262, -27.893684452068488, -0.8398752926939451, -0.7671913535081882]",[1]
53,J0216.4+0507,"[2.24003005027771, 3.9011666345143925, -29.476243916008283, -27.876963793951983, 0.15101239547413606, -0.7763869544516615]",[1]
54,J0221.1+6059,"[2.6818604469299316, 3.840972523385848, -26.121815607714563, -26.557323919774177, 0.8898530257351174, -0.9324981121730849]",[1]
55,J0221.2+2518,"[1.9356745481491089, 3.6385254390208, -31.154553278375037, -27.762214362721487, -0.18511253730700888, -0.5411849299204453]",[1]
56,J0221.8+6138c,"[2.4198193550109863, 3.788839758485668, -29.853557571340552, -26.222660546981157, 0.810680110343938, -0.13832349563328203]",[1]
57,J0223.6+6204,"[2.8026669025421143, 3.7322277957458816, -27.181793668596153, -25.87844195139143, 2.2167066979280814, -0.8497068211991221]",[1]
58,J0223.6+3927,"[2.403754472732544, 3.869910095102993, -27.743072329836917, -27.752639112793027, 0.39726671023731286, -0.8445701476996472]",[1]
59,J0224.1-1846,"[2.4003536701202393, 3.720782951590383, -28.02782284313266, -27.88268344400521, -0.21116970915448327, -0.81507830540402]",[1]
60,J0224.4+1615,"[2.261836051940918, 3.9618117582210473, -29.63321873993227, -27.66363415391243, -1.0051141377284951, -0.7946708277404284]",[1]
61,J0225.8+6159,"[2.882110118865967, 3.8434883920492093, -27.40820539834253, -26.085557992559096, 1.672123128775157, -0.37384117525467586]",[1]
62,J0226.7-4747,"[2.9186465740203857, 3.6388753986837497, -25.817646163867362, -27.91380521680826, 0.030963184366025073, -0.873644038376907]",[1]
63,J0228.5+8213,"[2.7715609073638916, 3.7231011316221223, -25.89419788010435, -27.83606487347969, 0.10939129914257455, -0.8716778692178121]",[1]
64,J0231.0+1302,"[2.5481932163238525, 3.9690043083836075, -27.47012592436975, -27.61488144593301, -1.0217275377645814, -0.8492741206333833]",[1]
65,J0232.6+0646,"[2.6659579277038574, 4.006103958807338, -26.32416614544105, -27.70930224148723, 0.848959108740999, -0.9071313814695919]",[1]
66,J0233.0+6237,"[2.668113946914673, 4.13003077151671, -26.95765959904047, -26.695761736587755, -0.7401584477588149, -0.8665829593939417]",[1]
67,J0234.2-0629,"[1.813387393951416, 3.562483276912179, -31.976957226851248, -27.852930540364575, -0.19301100082713618, -0.4998380672644063]",[1]
68,J0235.7+5647,"[2.60725736618042, 4.107493525974762, -25.997576627709353, -27.296620754613908, 0.03023040318714592, -0.8891546271070802]",[1]
69,J0238.0+5237,"[2.1331167221069336, 3.599507950020212, -26.74227473299464, -27.44062570111448, 1.5127925559418678, -0.8411139330703403]",[1]
70,J0239.0+2555,"[2.0618743896484375, 3.2945188676311643, -31.548996811517053, -27.79080963933716, -0.4332450856700798, -0.7656439034840196]",[1]
71,J0239.4+1326,"[1.9952142238616943, 3.932947645997825, -30.678137239966357, -27.630909128110805, -0.9615283842657463, -0.5886344315916716]",[1]
72,J0240.0-0253,"[2.437889814376831, 4.168971371154504, -27.96184208935462, -27.89296242900271, 0.7522703778072296, -0.6009446092493758]",[1]
73,J0242.1-0534,"[2.480423927307129, 4.184595700128817, -28.11968524689052, -27.890224947163567, -0.9690790364042834, -0.881551774743912]",[1]
74,J0244.4+4745,"[2.624293327331543, 3.5457274775507255, -26.205614563496894, -27.661471032374628, 1.2195165220817341, -0.9415207582720531]",[1]
75,J0248.4+5130,"[2.0670924186706543, 3.4976884952668383, -29.662846975117564, -27.31143442847727, -0.2641414949766511, -0.6186387437548283]",[1]
76,J0251.1-1829,"[1.6198902130126953, 3.6290943271493505, -32.746978559257236, -27.763635512217405, 0.8836967332550559, 0.10000922914386676]",[1]
77,J0254.2+5903,"[2.6585659980773926, 3.5848290641601372, -27.121115083770935, -26.83359743258321, 0.005661761190791441, -0.7899925775746406]",[1]
78,J0258.2+3555,"[2.6097490787506104, 3.690906531047579, -27.21796203821633, -27.68713764821089, -4.45619404359472, -0.7220310146960529]",[1]
79,J0258.9+0552,"[2.124621868133545, 3.6617914300685857, -29.626174203595514, -27.523942081755244, 0.5444116859790245, -0.7623547220084257]",[1]
80,J0307.3+4916,"[2.0957446098327637, 3.9792314896186314, -28.643165927207697, -27.296183476170206, 0.4017659656475082, -0.7494140869694463]",[1]
81,J0308.4-2852,"[2.5369458198547363, 3.262073437754139, -28.191866159013514, -27.959915777732782, 0.26585207089058926, -0.8618978750212085]",[1]
82,J0312.1-0921,"[1.8716264963150024, 3.8619872079915307, -27.6457614017936, -27.8032912646863, 1.3873792921599606, -0.6246151920164974]",[1]
83,J0312.7-2222,"[1.6247706413269043, 3.5784603806549597, -32.434440965571575, -27.707425682189186, 0.8343165431633764, 0.2682846647085816]",[1]
84,J0312.7+2011,"[1.718597173690796, 3.7932630446767153, -32.394178602147754, -27.592410861275784, -0.43378952480250405, -0.37856499597126503]",[1]
85,J0318.1+0252,"[1.713058590888977, 3.9164080608419654, -27.94280465766827, -27.93148070251134, 1.7471619753258603, -0.6835353038994774]",[1]
86,J0322.5-3721,"[2.1997873783111572, 3.897573253072612, -28.394636914701994, -27.86828529001321, 0.6638696881676223, -0.6591043620658651]",[1]
87,J0323.7-6038,"[2.439836263656616, 3.9270195511170662, -29.053493110736362, -27.878279482936353, -1.746124485063899, -0.8459503302114173]",[1]
88,J0324.5-1315,"[2.646927833557129, 3.6905785065800667, -27.228399938847627, -27.824799179349604, -3.1811350363292, -0.8432293735748578]",[1]
89,J0327.4+5828c,"[2.5017504692077637, 3.9699231154772674, -26.309510744526772, -27.023366458376653, 0.9746195037619333, -0.8461460537391886]",[1]
90,J0330.6+0437,"[2.23633074760437, 4.121634801316707, -28.584362802842918, -27.57362213249148, 0.8758897952483499, -0.7847233336197544]",[1]
91,J0332.4+6110,"[2.4476478099823, 3.8521053022649325, -25.81032189420558, -27.36630453704004, 1.414821037691293, -0.8790418258932975]",[1]
92,J0332.4+4644,"[2.4689900875091553, 3.6734607295360213, -27.245868313639807, -27.419873022588146, 0.9174449650878046, -0.8626133702126207]",[1]
93,J0333.6+0233,"[2.0710270404815674, 3.6462669632759774, -30.560314510827354, -27.731117834367385, -1.0506444275785543, -0.7483154135591213]",[1]
94,J0336.1+7500,"[1.9428688287734985, 3.521888127921202, -27.11347099277701, -27.592253255440557, 1.5469001553596644, -0.7609981919197211]",[1]
95,J0340.4+5302,"[2.3673298358917236, 3.841460926563691, -21.938156571630234, -27.061407586280193, 1.7832881212480798, -0.9120026977414832]",[1]
96,J0340.4-2423,"[2.088470220565796, 3.366244525775056, -30.940506312461466, -27.93939780886812, 0.12538578709521825, -0.7764525486798324]",[1]
97,J0342.3+3148c,"[2.276012897491455, 3.869541114933401, -28.46304905558703, -27.016309958205547, 0.9315966753538122, -0.16557525715919724]",[1]
98,J0342.8+1321,"[1.9091171026229858, 3.662522922310047, -31.96436962834832, -27.648255703712874, 0.6309548683400368, -0.5209600311013542]",[1]
99,J0345.3+3236,"[2.424194097518921, 3.996283747469743, -25.719094239477666, -27.52441794857452, 1.610406090601499, -0.7902117817390719]",[1]
100,J0348.1+4431,"[2.276014566421509, 3.39721116303895, -29.257185707946547, -27.430626717342214, 0.10164729415451292, -0.7848963969210349]",[1]
101,J0348.4+6039,"[1.8813974857330322, 3.6711786832179376, -32.53292690818668, -27.506609030682075, -0.29696686240196796, 0.04894719288447292]",[1]
102,J0351.0-2816,"[2.042626142501831, 3.6490844565230387, -31.203784659340524, -28.026852080118783, -0.6883369907511578, -0.3025146381548126]",[1]
103,J0351.4-3248,"[2.797072649002075, 3.411523735708803, -26.638758644555157, -27.959706256016922, -0.4148827114872206, -0.9074800372581191]",[1]
104,J0359.5+5413,"[2.0204341411590576, 3.5154418106745013, -25.519908830328237, -26.966364948832403, 1.8251888645106844, -0.8234686021584597]",[1]
105,J0359.7+7649,"[2.1660029888153076, 3.9927033740856297, -30.810687292517336, -27.99369337133034, -0.4524117796455535, -0.7607304360928914]",[1]
106,J0401.0-5359,"[2.223421096801758, 3.377864375241566, -30.895598131644746, -28.012608294102108, 0.5888070127894023, -0.7097567243448382]",[1]
107,J0402.7+2616,"[2.772857904434204, 3.9201459005489787, -25.96392555885947, -27.568507002053188, 0.02318301681910962, -0.9146065311952867]",[1]
108,J0412.0+0229,"[2.398650884628296, 4.084009907520897, -28.4528400450828, -27.510760164959457, -0.016774431259314795, -0.8053873128406174]",[1]
