,BSL,CLASS1-BSL,1FGL,CLASS1-1FGL,1FGL-BSL
115,J1511.2-0536,bzq,J1511.1-0545,bzq,J1511.2-0536
116,J1512.7-0905,bzq,J1512.8-0906,BZQ,J1512.7-0905
117,J1514.3-4946,,J1514.1-4945,,J1514.3-4946
118,J1517.9-2423,bzb,J1517.8-2423,bzb,J1517.9-2423
119,J1522.2+3143,bzq,J1522.1+3143,bzq,J1522.2+3143
120,J1536.7-4947,,J1536.5-4949,,J1536.7-4947
121,J1543.1+6130,bzb,J1542.9+6129,bzb,J1543.1+6130
122,J1553.4+1255,bzq,J1553.4+1255,bzq,J1553.4+1255
123,J1555.8+1110,bzb,J1555.7+1111,bzb,J1555.8+1110
124,J1604.0-4904,,J1603.8-4903,agu,J1604.0-4904
125,J1615.6-5049, x,,,
126,J1622.4-4945,,,,
127,J1625.8-2527,bzq,J1625.7-2524,bzq,J1625.8-2527
128,J1625.9-2423,bzu,J1625.8-2429c,,J1625.9-2423
129,J1634.9-4737,,,,
130,J1635.2+3809,bzq,J1635.0+3808,bzq,J1635.2+3809
131,J1641.4+3939,bzq,,,
132,J1648.1-4606, x,J1648.4-4609c,psr,J1648.1-4606
133,J1653.4-0200,,J1653.6-0158,,J1653.4-0200
134,J1653.9+3946,bzb,J1653.9+3945,bzb,J1653.9+3946
135,J1709.7-4428,PSR,J1709.7-4429,PSR,J1709.7-4428
136,J1714.7-3827, x,J1714.5-3830c,,J1714.7-3827
137,J1719.3+1746,bzb,J1719.2+1745,bzb,J1719.3+1746
138,J1732.8-3135,PSR,,,
139,J1741.4-3046,,,,
140,J1742.1-2054,PSR,J1741.8-2101,PSR,J1742.1-2054
141,J1746.0-2900,,,,
142,J1751.5+0935,bzb,J1751.5+0937,bzb,J1751.5+0935
143,J1801.6-2327, x,J1801.3-2322c,spp,J1801.6-2327
144,J1802.2+7827,bzb,J1800.4+7827,bzb,J1802.2+7827
145,J1802.6-3939,bzu,J1802.5-3939,agu,J1802.6-3939
146,J1805.3-2138,,J1805.2-2137c,spp,J1805.3-2138
147,J1809.5-2331,PSR,J1809.8-2332,PSR,J1809.5-2331
148,J1813.5-1248,,J1813.3-1246,PSR,J1813.5-1248
149,J1814.3-1739, x,J1814.0-1736c,,J1814.3-1739
150,J1821.4-1444,,,,
151,J1825.9-1256,PSR,J1826.1-1256,PSR,J1825.9-1256
152,J1826.3-1451,hxb,J1826.2-1450,HXB,J1826.3-1451
153,J1830.3+0617,,J1830.1+0618,agu,J1830.3+0617
154,J1833.4-2106,bzq,J1833.6-2103,bzq,J1833.4-2106
155,J1834.4-0841, x,J1834.3-0842c,spp,J1834.4-0841
156,J1836.1-0727,,,,
157,J1836.2+5924,PSR,J1836.2+5925,PSR,J1836.2+5924
158,J1839.0-0549,,J1839.1-0543c,,J1839.0-0549
159,J1844.1-0335,,J1844.2-0342c,,J1844.1-0335
160,J1847.8+3223,bzq,J1848.5+3224,bzq,J1847.8+3223
161,J1848.6-0138,,J1848.1-0145c,,J1848.6-0138
162,J1849.4+6706,bzq,J1849.3+6705,bzq,J1849.4+6706
163,J1855.9+0126, x,J1856.1+0122,SNR,J1855.9+0126
164,J1900.0+0356,,,,
165,J1907.5+0602,PSR,,,
166,J1911.0+0905, x,J1910.9+0906c,,J1911.0+0905
167,J1911.2-2011,bzq,J1911.2-2007,bzq,J1911.2-2011
168,J1923.0+1411, x,J1922.9+1411,SNR,J1923.0+1411
